osmid,highway,oneway,reversed,length,lanes,ref,name,geometry,maxspeed,junction
144733563,residential,False,False,65.468,,,,"LINESTRING (103.4209133 4.7599105, 103.420752 4.7604769)",,
526223079,residential,False,False,76.173,,,,"LINESTRING (103.4209133 4.7599105, 103.4215841 4.7600602)",,
276297926,secondary,False,False,182.247,2,T116,Jalan Teluk Lipat,"LINESTRING (103.4220293 4.7601596, 103.4217739 4.7617787)",,
526223079,residential,False,True,50.556,,,,"LINESTRING (103.4220293 4.7601596, 103.4215841 4.7600602)",,
144733563,residential,False,True,60.438,,,,"LINESTRING (103.4205615 4.7609862, 103.420752 4.7604769)",,
533190694,residential,False,True,149.782,1,,,"LINESTRING (103.4205615 4.7609862, 103.4193328 4.7604248)",,
144733563,residential,False,False,79.28800000000001,,,,"LINESTRING (103.4205615 4.7609862, 103.4203483 4.7614619, 103.4203366 4.7614984, 103.4203161 4.7615622, 103.4203014 4.7616477)",,
144733563,residential,False,False,5.523,,,,"LINESTRING (103.4203014 4.7616477, 103.4202953 4.761697)",,
533190695,residential,False,True,121.441,,,,"LINESTRING (103.4203014 4.7616477, 103.4213942 4.7617301)",,
144733563,residential,False,True,79.288,,,,"LINESTRING (103.4203014 4.7616477, 103.4203161 4.7615622, 103.4203366 4.7614984, 103.4203483 4.7614619, 103.4205615 4.7609862)",,
144733563,residential,False,True,35.596,,,,"LINESTRING (103.4202076 4.7624172, 103.4202462 4.7620994)",,
144733563,residential,False,False,120.372,,,,"LINESTRING (103.4202076 4.7624172, 103.4200137 4.7633515, 103.4199876 4.7634773)",,
471137963,residential,False,True,156.567,,,,"LINESTRING (103.4202076 4.7624172, 103.4214392 4.7625179, 103.4216158 4.7625321)",,
926177710,tertiary,False,False,11.806999999999999,2,,Jalan Masjid,"LINESTRING (103.4187108 4.7625257, 103.4187546 4.7625125, 103.4188128 4.762495)",,
926177711,primary,True,False,40.916,2,,Jalan Yahya Ahmad,"LINESTRING (103.4187108 4.7625257, 103.418739 4.7626454, 103.4187953 4.7628839)",60,
1246740796,tertiary,False,True,38.661,2,,Jalan Masjid,"LINESTRING (103.4187108 4.7625257, 103.418631 4.7625545, 103.418507 4.7625993, 103.4183916 4.7626634)",,
1246740797,tertiary,False,True,19.259,2,,Jalan Masjid,"LINESTRING (103.4183916 4.7626634, 103.4182763 4.762793)",,
1246740796,tertiary,False,False,38.661,2,,Jalan Masjid,"LINESTRING (103.4183916 4.7626634, 103.418507 4.7625993, 103.418631 4.7625545, 103.4187108 4.7625257)",,
