osmid,oneway,highway,reversed,length,geometry,ref,name,lanes,bridge
513503292,False,unclassified,False,278.25100000000003,"LINESTRING (100.2699348 6.4295447, 100.2699045 6.4295664, 100.2698864 6.4295892, 100.2698658 6.4296383, 100.2698458 6.4297221, 100.2697959 6.4299471, 100.2697491 6.4301451, 100.2697059 6.430337, 100.269657 6.4304872, 100.26958 6.4307006, 100.2694597 6.4310337, 100.269211 6.4317377, 100.2691484 6.4319086)",,,,
513503292,False,unclassified,True,104.712,"LINESTRING (100.2699348 6.4295447, 100.2699678 6.4295379, 100.2699997 6.4295394, 100.2708763 6.4296364)",,,,
"[765874563, 815052749]",False,residential,"[False, True]",186.13,"LINESTRING (100.2699348 6.4295447, 100.2698737 6.429358, 100.269843 6.4291266, 100.2698377 6.428892, 100.2698358 6.42867, 100.2698228 6.4285654, 100.2698039 6.428414, 100.2698209 6.4282025, 100.2699103 6.4278978)",,,,
513503292,False,unclassified,True,9.757,"LINESTRING (100.2708763 6.4296364, 100.2709635 6.4296502)",,,,
"[458686348, 1250697308]",True,trunk,False,132.495,"LINESTRING (100.2708763 6.4296364, 100.2707049 6.4304141, 100.2706923 6.4305339, 100.270694 6.4306298, 100.2707015 6.4308087)",179,Jalan Tuanku Syed Sirajuddin,,
513503292,False,unclassified,False,104.712,"LINESTRING (100.2708763 6.4296364, 100.2699997 6.4295394, 100.2699678 6.4295379, 100.2699348 6.4295447)",,,,
301329128,True,trunk,False,15.099,"LINESTRING (100.2706147 6.4316132, 100.2705435 6.4317291)",179,Jalan Tuanku Syed Sirajuddin,,
"[458686344, 1250697305]",False,trunk,True,89.978,"LINESTRING (100.2706147 6.4316132, 100.2706339 6.4313879, 100.2706682 6.4310964, 100.2707015 6.4308087)",179,Jalan Tuanku Syed Sirajuddin,4,
546570706,False,residential,False,107.20299999999999,"LINESTRING (100.2736041 6.4334944, 100.2735895 6.4334433, 100.2735515 6.4333733, 100.2734825 6.4333033, 100.2731365 6.4330833, 100.2730535 6.4330133, 100.2729855 6.4329423, 100.2729018 6.4328571)",,,,
546570706,False,residential,True,307.744,"LINESTRING (100.2736041 6.4334944, 100.2735978 6.4335691, 100.2735336 6.4336615, 100.2734778 6.4337135, 100.2734609 6.4337437, 100.2734389 6.4338193, 100.2734457 6.4339049, 100.2734778 6.4340392, 100.2735133 6.4341349, 100.2735741 6.4342088, 100.2736687 6.4342777, 100.2737363 6.4343129, 100.2740405 6.4344153, 100.2742449 6.4344825, 100.2745322 6.4345833, 100.2748279 6.4346655, 100.27523 6.4347898, 100.2754422 6.4348448)",,,,
