osmid,oneway,lanes,ref,highway,reversed,length,name,geometry,bridge
572960102,False,2,D17,secondary,False,96.58,,"LINESTRING (102.2132906 5.7617692, 102.2141414 5.7615747)",
351091052,False,,,unclassified,False,78.506,Jalan Wataniah,"LINESTRING (102.2132906 5.7617692, 102.2133274 5.7619853, 102.2133482 5.7620787, 102.2134286 5.7624616)",
572960102,False,2,D17,secondary,True,78.272,,"LINESTRING (102.2132906 5.7617692, 102.2127749 5.7618959, 102.2126057 5.7619452)",
572963489,False,,,residential,True,82.23,,"LINESTRING (102.2132906 5.7617692, 102.2132661 5.7615703, 102.2132299 5.7613075, 102.2131652 5.7610413)",
759044442,False,,,secondary,False,53.498,,"LINESTRING (102.2150474 5.7647941, 102.2152063 5.7643397)",
759044442,False,,,secondary,True,10.2,,"LINESTRING (102.2150474 5.7647941, 102.2150239 5.7648828)",
351091052,False,,,unclassified,True,167.273,Jalan Wataniah,"LINESTRING (102.2150474 5.7647941, 102.2149515 5.7647687, 102.2145706 5.76467, 102.2141932 5.764556, 102.2141201 5.7645253, 102.2140585 5.7644957, 102.2140197 5.7644636, 102.2139992 5.7644342, 102.2139888 5.7644035, 102.2139788 5.7641935, 102.2139681 5.7641341, 102.2139551 5.7640495)",
351119319,False,,,tertiary,True,35.746,Jalan Pejabat,"LINESTRING (102.2186811 5.7646313, 102.218359 5.7646566)",
351119320,False,,,tertiary,True,38.353,Jalan Bakat,"LINESTRING (102.2186811 5.7646313, 102.2186588 5.7642871)",
351119320,False,,,tertiary,False,76.108,Jalan Bakat,"LINESTRING (102.2186811 5.7646313, 102.2186844 5.7646849, 102.2187227 5.7653145)",
572968223,False,,D18,secondary,True,25.862,Jalan Pasir Puteh,"LINESTRING (102.2186221 5.7637486, 102.2183888 5.763734)",
351119320,False,,,tertiary,False,60.019,Jalan Bakat,"LINESTRING (102.2186221 5.7637486, 102.2186328 5.7638694, 102.2186503 5.7641556, 102.2186588 5.7642871)",
351211668,False,,,tertiary,False,36.529,,"LINESTRING (102.2187227 5.7653145, 102.2183931 5.765334)",
351119320,False,,,tertiary,True,76.108,Jalan Bakat,"LINESTRING (102.2187227 5.7653145, 102.2186844 5.7646849, 102.2186811 5.7646313)",
759044442,False,,,secondary,False,77.298,,"LINESTRING (102.2150078 5.7655753, 102.2149964 5.7652431, 102.2149944 5.7651123, 102.2149964 5.7650363, 102.2150239 5.7648828)",
759044442,False,,,secondary,True,109.668,,"LINESTRING (102.2150078 5.7655753, 102.215029 5.7658366, 102.2150782 5.766474, 102.2150831 5.7665587)",
351211668,False,,,tertiary,True,35.776,,"LINESTRING (102.2180703 5.7653532, 102.2183931 5.765334)",
351211668,False,,,tertiary,False,64.666,,"LINESTRING (102.2180703 5.7653532, 102.2177459 5.7653842, 102.2174882 5.7654059)",
572960093,False,,,unclassified,False,38.076,,"LINESTRING (102.2180703 5.7653532, 102.2180478 5.7650322, 102.2180464 5.7650116)",
