osmid,highway,oneway,reversed,length,geometry,bridge,lanes,ref,junction
206837524,residential,False,True,59.047,"LINESTRING (112.0881183 2.8892182, 112.0877374 2.8888477)",,,,
206111393,residential,False,False,100.868,"LINESTRING (112.0881183 2.8892182, 112.0878997 2.8893844, 112.0878035 2.8894749, 112.0877552 2.8895204, 112.0877199 2.8895679, 112.0876955 2.8896075, 112.0876774 2.8896464, 112.0876506 2.8897234, 112.0876365 2.8897743, 112.0876265 2.8898252, 112.087614 2.8899241)",,,,
206837524,residential,False,False,169.495,"LINESTRING (112.0881183 2.8892182, 112.08846 2.8895472, 112.0888022 2.8898746, 112.0892177 2.8902755)",,,,
206111393,residential,False,False,25.119,"LINESTRING (112.087614 2.8899241, 112.0876256 2.8901497)",,,,
206111393,residential,False,True,100.86800000000001,"LINESTRING (112.087614 2.8899241, 112.0876265 2.8898252, 112.0876365 2.8897743, 112.0876506 2.8897234, 112.0876774 2.8896464, 112.0876955 2.8896075, 112.0877199 2.8895679, 112.0877552 2.8895204, 112.0878035 2.8894749, 112.0878997 2.8893844, 112.0881183 2.8892182)",,,,
206111401,residential,False,True,68.13499999999999,"LINESTRING (112.087614 2.8899241, 112.0874608 2.8899208, 112.087169 2.8899175, 112.0870843 2.8899176, 112.0870007 2.8899231)",,,,
206111393,residential,False,False,27.364,"LINESTRING (112.0876389 2.8905108, 112.0876508 2.8907566)",,,,
206111393,residential,False,True,40.18,"LINESTRING (112.0876389 2.8905108, 112.0876256 2.8901497)",,,,
206111394,residential,False,True,55.308,"LINESTRING (112.0877508 2.8926833, 112.0873888 2.8930249)",,,,
206111393,residential,False,True,34.010000000000005,"LINESTRING (112.0877508 2.8926833, 112.0877016 2.8925468, 112.0876881 2.8924698, 112.0876838 2.8923873)",,,,
206111394,residential,False,False,257.556,"LINESTRING (112.0877508 2.8926833, 112.0881522 2.8922937, 112.0883285 2.8921075, 112.0883701 2.8920512, 112.0883976 2.8919923, 112.088417 2.8919381, 112.0885585 2.8914619, 112.0886115 2.8912643, 112.0886464 2.8911666, 112.0886933 2.8910748, 112.0888116 2.8908657, 112.0888998 2.8907319)",,,,
206111394,residential,False,False,55.308,"LINESTRING (112.0873888 2.8930249, 112.0877508 2.8926833)",,,,
565857310,unclassified,False,False,99.719,"LINESTRING (112.0873888 2.8930249, 112.0880175 2.8936652)",,,,
206837524,residential,False,False,113.521,"LINESTRING (112.0892177 2.8902755, 112.0899781 2.8909578)",,,,
206111394,residential,False,True,61.826,"LINESTRING (112.0892177 2.8902755, 112.0890823 2.8904659, 112.0890248 2.8905467, 112.0888998 2.8907319)",,,,
206837524,residential,False,True,169.495,"LINESTRING (112.0892177 2.8902755, 112.0888022 2.8898746, 112.08846 2.8895472, 112.0881183 2.8892182)",,,,
206111401,residential,False,False,68.135,"LINESTRING (112.0870007 2.8899231, 112.0870843 2.8899176, 112.087169 2.8899175, 112.0874608 2.8899208, 112.087614 2.8899241)",,,,
206111402,residential,False,False,116.21600000000001,"LINESTRING (112.0870007 2.8899231, 112.0869944 2.8896536, 112.0869914 2.8895298, 112.0869941 2.8894709, 112.0870051 2.8894125, 112.0870226 2.8893637, 112.0870538 2.8893175, 112.087209 2.88915, 112.0873592 2.8890214)",,,,
206111402,residential,False,True,116.21600000000001,"LINESTRING (112.0873592 2.8890214, 112.087209 2.88915, 112.0870538 2.8893175, 112.0870226 2.8893637, 112.0870051 2.8894125, 112.0869941 2.8894709, 112.0869914 2.8895298, 112.0869944 2.8896536, 112.0870007 2.8899231)",,,,
206111393,residential,False,False,28.829,"LINESTRING (112.087672 2.8917162, 112.0876777 2.8919754)",,,,
206111393,residential,False,True,37.597,"LINESTRING (112.087672 2.8917162, 112.0876682 2.8913781)",,,,
206111405,residential,False,False,71.138,"LINESTRING (112.0876838 2.8923873, 112.0870437 2.8924119)",,,,
206111393,residential,False,False,34.010000000000005,"LINESTRING (112.0876838 2.8923873, 112.0876881 2.8924698, 112.0877016 2.8925468, 112.0877508 2.8926833)",,,,
206111393,residential,False,True,45.813,"LINESTRING (112.0876838 2.8923873, 112.0876774 2.8921892, 112.0876777 2.8919754)",,,,
206111405,residential,False,True,71.138,"LINESTRING (112.0870437 2.8924119, 112.0876838 2.8923873)",,,,
