osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,bridge
339063143,False,2,Persiaran Mutiara 2,unclassified,False,34.542,"LINESTRING (99.8434798 6.3249178, 99.8434201 6.3249398, 99.8433785 6.3249651, 99.8433611 6.3249757, 99.843347 6.3249917, 99.8432283 6.3250958)",,
339063143,False,2,Persiaran Mutiara 2,unclassified,True,214.223,"LINESTRING (99.8434798 6.3249178, 99.8437227 6.3248463, 99.8440707 6.3247437, 99.8441663 6.3247086, 99.8443293 6.3246084, 99.8446157 6.3243868, 99.8450855 6.3239183)",,
715880437,True,,,unclassified,False,24.229,"LINESTRING (99.8434798 6.3249178, 99.8433738 6.3248925, 99.8433309 6.3248791, 99.843272 6.3248512)",,
169200842,True,2,Jalan Pandak Mayah 1,unclassified,False,11.37,"LINESTRING (99.84832 6.3213344, 99.848399 6.3213999)",,
301665244,True,2,Persiaran Putra,secondary,False,145.351,"LINESTRING (99.84832 6.3213344, 99.8476988 6.3221229, 99.8475118 6.3223656)",110,
169200842,True,2,Jalan Pandak Mayah 1,unclassified,False,68.614,"LINESTRING (99.8489315 6.3218414, 99.8494083 6.3222366)",,
169200850,True,2,Persiaran Mutiara 2,unclassified,False,15.431000000000001,"LINESTRING (99.8470623 6.3225245, 99.8470124 6.322571, 99.8469732 6.3226301)",,
169200842,True,2,Jalan Pandak Mayah 1,unclassified,False,76.639,"LINESTRING (99.848399 6.3213999, 99.8489315 6.3218414)",,
1266538431,True,2,Persiaran Putra,secondary,False,51.931000000000004,"LINESTRING (99.848399 6.3213999, 99.8484767 6.3213073, 99.8486999 6.3210412)",110,
144682954,False,2,Lencongan Putra 3,unclassified,False,187.728,"LINESTRING (99.8515445 6.3203518, 99.8511403 6.3201082, 99.8510255 6.3200391, 99.8505141 6.319712, 99.850224 6.3195312, 99.8501027 6.3194595)",165,
"[715722457, 301665225, 1118026758]",False,2,Jalan Pandak Mayah 6,unclassified,"[False, True]",72.896,"LINESTRING (99.8515445 6.3203518, 99.8514837 6.3204518, 99.8513844 6.3206151, 99.8513192 6.3207221, 99.8512898 6.3207617, 99.8511791 6.320896)",,yes
169200844,True,2,Jalan Pandak Mayah 6,unclassified,False,106.627,"LINESTRING (99.8497747 6.3225404, 99.8499563 6.3223304, 99.8504037 6.3218133)",,
1266552267,False,,,unclassified,False,46.494,"LINESTRING (99.8497747 6.3225404, 99.8500137 6.3227599, 99.8500319 6.3227794, 99.8500739 6.3228332)",,
