osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,bridge,junction
755400503,unclassified,False,True,211.907,"LINESTRING (102.5524284 5.8250962, 102.5525103 5.8250456, 102.5527386 5.8249439, 102.5533048 5.8246839, 102.553492 5.824598, 102.5536392 5.8245305, 102.5538003 5.8244565, 102.5539189 5.8244021, 102.5541321 5.8243042, 102.5541633 5.8242899)",,,,,
"[816130644, 816130645]",primary,False,False,237.34600000000003,"LINESTRING (102.5524284 5.8250962, 102.5524699 5.8251603, 102.552528 5.8252554, 102.5526774 5.8254998, 102.5527188 5.8255752, 102.5527667 5.8256666, 102.5527984 5.8257208, 102.5530113 5.8261532, 102.5531625 5.8264601, 102.5532026 5.8265416, 102.5532975 5.8267344, 102.5533376 5.8268158, 102.5533518 5.8268446, 102.5533807 5.8269033, 102.5534216 5.8269863)",2,189,,,
816130644,primary,False,True,126.53599999999999,"LINESTRING (102.5524284 5.8250962, 102.5520791 5.8245556, 102.5519372 5.8243096, 102.5518371 5.8241228)",2,189,,,
157665511,tertiary,False,True,36.375,"LINESTRING (102.5568976 5.830036, 102.5569426 5.8301724, 102.5570002 5.8303468)",,,Jalan Masjid,,
968472976,tertiary,False,False,47.214,"LINESTRING (102.5568976 5.830036, 102.556844 5.8298859, 102.5568198 5.8298165, 102.5567883 5.8297211, 102.5567644 5.8296328)",,,Jalan Masjid,,
45895613,primary,False,True,61.571999999999996,"LINESTRING (102.5567644 5.8296328, 102.5567114 5.8296335, 102.5565945 5.8296351, 102.5564611 5.8296277, 102.556333 5.8296017, 102.5562177 5.829561)",,84,,,
"[257281299, 410181436, 257281301]",unclassified,False,False,228.00399999999996,"LINESTRING (102.5567644 5.8296328, 102.5567293 5.8293249, 102.5566998 5.8291448, 102.5566556 5.8289366, 102.5566006 5.8287725, 102.5563136 5.8280681, 102.5562613 5.8279533, 102.5562103 5.8278359, 102.5561707 5.8277045, 102.5561662 5.8276838)",,,"['Jalan Nail', 'Jalan Masjid']",yes,
968472976,tertiary,False,True,47.214,"LINESTRING (102.5567644 5.8296328, 102.5567883 5.8297211, 102.5568198 5.8298165, 102.556844 5.8298859, 102.5568976 5.830036)",,,Jalan Masjid,,
157665511,tertiary,False,True,31.701,"LINESTRING (102.5570002 5.8303468, 102.5570854 5.830619)",,,Jalan Masjid,,
157665511,tertiary,False,False,36.375,"LINESTRING (102.5570002 5.8303468, 102.5569426 5.8301724, 102.5568976 5.830036)",,,Jalan Masjid,,
157665511,tertiary,False,False,32.296,"LINESTRING (102.557424 5.8316717, 102.5573398 5.8313936)",,,Jalan Masjid,,
157665511,tertiary,False,True,42.978,"LINESTRING (102.557424 5.8316717, 102.557538 5.8320412)",,,Jalan Masjid,,
646787397,unclassified,False,False,62.131,"LINESTRING (102.557424 5.8316717, 102.5579644 5.8315194)",,,,,
968541857,unclassified,True,False,62.561,"LINESTRING (102.557876 5.8312147, 102.5573398 5.8313936)",,,Lorong Tiga,,
968471459,unclassified,True,False,93.83099999999999,"LINESTRING (102.557876 5.8312147, 102.5578113 5.8310119, 102.5577992 5.8309792, 102.5577901 5.8309656, 102.5577801 5.8309561, 102.5577707 5.8309497, 102.5577553 5.8309452, 102.5577412 5.8309471, 102.5577251 5.8309509, 102.557241 5.8311132)",,,,,
646787398,unclassified,True,False,36.038,"LINESTRING (102.5581542 5.832174, 102.5580639 5.8318626)",,,,,
157673953,unclassified,False,False,61.716,"LINESTRING (102.5581542 5.832174, 102.5580493 5.8322404, 102.5579754 5.8322872, 102.5577534 5.8324275, 102.5576834 5.8324718)",,,,,
157673953,unclassified,False,True,96.303,"LINESTRING (102.5581542 5.832174, 102.5582682 5.8320893, 102.5583574 5.8320119, 102.558382 5.8319852, 102.5587577 5.8315769, 102.558767 5.8315626)",,,,,
257281301,unclassified,False,True,93.005,"LINESTRING (102.5536863 5.827509, 102.5544736 5.8272155)",,,Jalan Nail,,
816130645,primary,False,True,65.081,"LINESTRING (102.5536863 5.827509, 102.5534216 5.8269863)",2,189,,,
968472975,primary,False,False,18.524,"LINESTRING (102.5536863 5.827509, 102.5537616 5.8276578)",2,189,,,
157665511,tertiary,False,False,28.09,"LINESTRING (102.5577854 5.832703, 102.5577204 5.8325656, 102.5576834 5.8324718)",,,Jalan Masjid,,
157674017,unclassified,True,False,34.446,"LINESTRING (102.556386 5.8305376, 102.5565188 5.8308178)",,,Lorong Haji Mohamad,,
157665898,tertiary,True,False,71.206,"LINESTRING (102.556386 5.8305376, 102.5566904 5.8304336, 102.5570002 5.8303468)",1,,Jalan Masjid,,
157665898,tertiary,True,False,18.104,"LINESTRING (102.555415 5.8309459, 102.5555671 5.8308858)",1,,Jalan Masjid,,
816826240,residential,False,False,53.946,"LINESTRING (102.555415 5.8309459, 102.5551513 5.8305378)",,,,,
884998703,unclassified,False,False,125.388,"LINESTRING (102.5538929 5.8320226, 102.5531714 5.8311529)",,,,,
157665898,tertiary,True,False,206.907,"LINESTRING (102.5538929 5.8320226, 102.5547525 5.8313862, 102.5551562 5.8310873, 102.5552742 5.8310139, 102.555415 5.8309459)",1,,Jalan Masjid,,
"[1186803365, 816060958, 816060959]",tertiary,False,True,213.01500000000001,"LINESTRING (102.5538929 5.8320226, 102.5535724 5.8322654, 102.5534329 5.8323588, 102.553335 5.8324121, 102.5532565 5.8324455, 102.5531928 5.8324575, 102.5531231 5.8324628, 102.5529836 5.8324622, 102.5527831 5.8324755, 102.5524586 5.8325182, 102.5523419 5.8325442, 102.552244 5.8325742, 102.5521213 5.8326256)",1,,Jalan Masjid,yes,
"[1186803365, 816060958, 816060959]",tertiary,False,False,213.015,"LINESTRING (102.5521213 5.8326256, 102.552244 5.8325742, 102.5523419 5.8325442, 102.5524586 5.8325182, 102.5527831 5.8324755, 102.5529836 5.8324622, 102.5531231 5.8324628, 102.5531928 5.8324575, 102.5532565 5.8324455, 102.553335 5.8324121, 102.5534329 5.8323588, 102.5535724 5.8322654, 102.5538929 5.8320226)",1,,Jalan Masjid,yes,
816130644,primary,False,False,19.831,"LINESTRING (102.5517567 5.8239634, 102.5518371 5.8241228)",2,189,,,
157665511,tertiary,False,False,31.701,"LINESTRING (102.5570854 5.830619, 102.5570002 5.8303468)",,,Jalan Masjid,,
157665511,tertiary,False,True,30.343,"LINESTRING (102.5570854 5.830619, 102.5571638 5.8308805)",,,Jalan Masjid,,
157674017,unclassified,True,False,29.288,"LINESTRING (102.5565188 5.8308178, 102.5566113 5.8310646)",,,Lorong Haji Mohamad,,
968471457,unclassified,True,False,66.461,"LINESTRING (102.5565188 5.8308178, 102.5570854 5.830619)",,,Lorong Lapan,,
157665511,tertiary,False,False,30.343,"LINESTRING (102.5571638 5.8308805, 102.5570854 5.830619)",,,Jalan Masjid,,
157665511,tertiary,False,True,27.249,"LINESTRING (102.5571638 5.8308805, 102.5571987 5.8309819, 102.557241 5.8311132)",,,Jalan Masjid,,
646787404,unclassified,False,True,99.54400000000001,"LINESTRING (102.5571638 5.8308805, 102.5577281 5.8306932, 102.5577414 5.8306611, 102.557645 5.8304101)",1,,Lorong Tujuh,,
157673998,unclassified,True,False,64.455,"LINESTRING (102.5566113 5.8310646, 102.5571638 5.8308805)",1,,Lorong Enam,,
157674017,unclassified,True,False,28.463,"LINESTRING (102.5566113 5.8310646, 102.5566994 5.8313051)",,,Lorong Haji Mohamad,,
157665511,tertiary,False,True,33.039,"LINESTRING (102.557241 5.8311132, 102.5573398 5.8313936)",,,Jalan Masjid,,
968471458,unclassified,True,False,63.598,"LINESTRING (102.557241 5.8311132, 102.5566994 5.8313051)",,,Lorong Empat,,
157665511,tertiary,False,False,27.249,"LINESTRING (102.557241 5.8311132, 102.5571987 5.8309819, 102.5571638 5.8308805)",,,Jalan Masjid,,
157674017,unclassified,True,False,33.057,"LINESTRING (102.5566994 5.8313051, 102.5568102 5.8315812)",,,Lorong Haji Mohamad,,
157665511,tertiary,False,False,33.039,"LINESTRING (102.5573398 5.8313936, 102.557241 5.8311132)",,,Jalan Masjid,,
157665511,tertiary,False,True,32.296,"LINESTRING (102.5573398 5.8313936, 102.557424 5.8316717)",,,Jalan Masjid,,
