osmid,oneway,highway,reversed,length,geometry,ref,junction,lanes,name,access,maxspeed,bridge
319510982,True,primary,False,56.909,"LINESTRING (116.1505991 5.3275327, 116.1505783 5.3276609, 116.1505602 5.3277537, 116.1505374 5.3278853, 116.1505187 5.3279667, 116.1504945 5.3280328)",,,,,,,
319363347,True,primary,False,14.219999999999999,"LINESTRING (116.1522003 5.3316336, 116.1521931 5.3316648, 116.1521936 5.3316967, 116.1522017 5.3317277, 116.1522171 5.3317557)",500,roundabout,,,,,
319363346,True,primary,False,147.106,"LINESTRING (116.1523102 5.3318105, 116.1524378 5.3319256, 116.1525451 5.3320354, 116.152761 5.3322904, 116.1530609 5.3326347, 116.1531985 5.3327926)",500,,2,Jalan Keningau-Tenom,yes,,
319363347,True,primary,False,23.245,"LINESTRING (116.1523102 5.3318105, 116.1523521 5.3318087, 116.1523914 5.3317939, 116.1524242 5.3317677, 116.1524471 5.3317327, 116.1524579 5.3316923)",500,roundabout,,,,,
657686213,True,tertiary,False,35.317,"LINESTRING (116.1522171 5.3317557, 116.1520582 5.3320311)",,,,,,,
319363347,True,primary,False,12.291,"LINESTRING (116.1522171 5.3317557, 116.1522425 5.3317825, 116.1522744 5.3318012, 116.1523102 5.3318105)",500,roundabout,,,,,
319363347,True,primary,False,13.993,"LINESTRING (116.1524579 5.3316923, 116.1524554 5.3316504, 116.15244 5.3316114, 116.1524131 5.3315791)",500,roundabout,,,,,
319363347,True,primary,False,12.5,"LINESTRING (116.1524131 5.3315791, 116.1523816 5.3315587, 116.1523456 5.3315478, 116.1523079 5.3315474)",500,roundabout,,,,,
535598937,False,residential,False,190.74199999999996,"LINESTRING (116.1524131 5.3315791, 116.1524887 5.3314465, 116.152596 5.3312502, 116.1527006 5.3310513, 116.1527972 5.330847, 116.1528642 5.3306974, 116.1529541 5.3304931, 116.1529984 5.3303997, 116.153056 5.3302928, 116.1531258 5.330178, 116.1532111 5.3300624)",,,,,,,
319363349,True,primary,False,9.111,"LINESTRING (116.1537687 5.3334981, 116.1537611 5.3335383, 116.1537663 5.333579)",500,roundabout,,,,,
319363348,True,primary,False,48.824,"LINESTRING (116.1539124 5.3336728, 116.1540592 5.333806, 116.1542067 5.3339475, 116.1542317 5.3339754)",500,,2,Jalan Keningau-Tenom,yes,80,
319363349,True,primary,False,21.529000000000003,"LINESTRING (116.1539124 5.3336728, 116.1539497 5.3336617, 116.1539821 5.3336403, 116.1540069 5.3336105, 116.154022 5.3335748, 116.154026 5.3335363)",500,roundabout,,,,,
319363349,True,primary,False,16.985,"LINESTRING (116.1537663 5.333579, 116.1537838 5.333616, 116.1538118 5.333646, 116.1538425 5.3336639, 116.1538769 5.3336731)",500,roundabout,,,,,
770173452,True,tertiary,False,44.155,"LINESTRING (116.1537663 5.333579, 116.1537032 5.3336711, 116.1536919 5.3336875, 116.1535147 5.3338862)",,,,Jalan Masak,,,
319363349,True,primary,False,3.93,"LINESTRING (116.1538769 5.3336731, 116.1539124 5.3336728)",500,roundabout,,,,,
319363349,True,primary,False,19.409,"LINESTRING (116.1539067 5.3334109, 116.153863 5.3334138, 116.1538226 5.3334308, 116.15379 5.33346, 116.1537687 5.3334981)",500,roundabout,,,,,
319363367,True,primary,False,71.762,"LINESTRING (116.1539067 5.3334109, 116.1538564 5.3333615, 116.1537561 5.3332585, 116.1536045 5.3330983, 116.1534691 5.3329354)",500,,2,Jalan Keningau-Tenom,,80,
319363348,True,primary,False,45.774,"LINESTRING (116.1552768 5.3353135, 116.1555045 5.3356571)",500,,2,Jalan Keningau-Tenom,yes,80,
1086039392,True,unclassified,False,18.642,"LINESTRING (116.1552768 5.3353135, 116.1552691 5.3353408, 116.15526 5.3353638, 116.155247 5.3353837, 116.1552282 5.3354035, 116.1551767 5.3354411)",,,,Jalan Bomba,,,
319363349,True,primary,False,20.866,"LINESTRING (116.154026 5.3335363, 116.1540189 5.3334994, 116.1540018 5.333466, 116.1539759 5.3334388, 116.1539433 5.3334199, 116.1539067 5.3334109)",500,roundabout,,,,,
