osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width,lanes,junction
24645569,Albisstrasse,residential,30,False,True,229.33,"LINESTRING (8.3207981 47.4616728, 8.320853 47.4616371, 8.3212778 47.461393, 8.32164 47.4611457, 8.3216453 47.4611, 8.3216216 47.4610669, 8.3214109 47.4609715, 8.3211217 47.4608461, 8.320412 47.4614255, 8.3203734 47.461465)",,,,
58108839,Alberich Zwyssigstrasse,tertiary,50,False,False,49.711,"LINESTRING (8.3207981 47.4616728, 8.3209463 47.4617541, 8.321237 47.4619133, 8.3213118 47.4619543)",K 425,,,
58108839,Alberich Zwyssigstrasse,tertiary,50,False,True,19.404,"LINESTRING (8.3207981 47.4616728, 8.3206453 47.4615981, 8.320589 47.4615705)",K 425,,,
"[1199455800, 58108839]",Alberich Zwyssigstrasse,tertiary,50,False,False,87.979,"LINESTRING (8.3233618 47.4634051, 8.3235965 47.4635937, 8.3236981 47.4636703, 8.3238279 47.4637681, 8.3240546 47.4639477, 8.3241299 47.4640019)",K 425,,,
58108839,Alberich Zwyssigstrasse,tertiary,50,False,True,138.046,"LINESTRING (8.3233618 47.4634051, 8.3231372 47.463251, 8.3221123 47.4624955)",K 425,,,
24645587,J.J. Ryffelstrasse,residential,30,False,False,64.86500000000001,"LINESTRING (8.3253259 47.4648919, 8.325386 47.4648583, 8.3259861 47.4645163)",,4,,
67141704,Alberich Zwyssigstrasse,tertiary,50,False,False,69.082,"LINESTRING (8.3253259 47.4648919, 8.3257692 47.4652153, 8.3259502 47.4653478)",K 425,,,
1110488858,Mythenstrasse,residential,30,False,False,34.234,"LINESTRING (8.3253259 47.4648919, 8.3252703 47.4649253, 8.3249718 47.4650854)",,,,
"[1199455801, 25932593]",Alberich Zwyssigstrasse,tertiary,50,False,True,102.163,"LINESTRING (8.3253259 47.4648919, 8.324968 47.4646392, 8.3249125 47.4645988, 8.3248463 47.4645503, 8.324738 47.4644688, 8.3246706 47.4644165, 8.3244958 47.4642815, 8.3244073 47.464215)",K 425,,,
24084504,Schartenstrasse,residential,50,False,False,70.12,"LINESTRING (8.3225311 47.469904, 8.3231761 47.4696431, 8.3233316 47.4695802)",,,,
24084504,Schartenstrasse,residential,50,False,True,62.733999999999995,"LINESTRING (8.3225311 47.469904, 8.3219852 47.4701348, 8.3218182 47.4701971)",,,,
26187842,Edelweissstrasse,residential,30,False,False,102.89800000000001,"LINESTRING (8.3225311 47.469904, 8.3225094 47.4698759, 8.3219015 47.4690823)",,,,
23880789,Staffelstrasse,residential,30,False,True,52.141,"LINESTRING (8.3233316 47.4695802, 8.3233497 47.4696132, 8.3236114 47.4700092)",,,,
24084504,Schartenstrasse,residential,50,False,False,87.468,"LINESTRING (8.3233316 47.4695802, 8.323494 47.4695125, 8.3243303 47.4691765)",,,,
24084504,Schartenstrasse,residential,50,False,True,70.12,"LINESTRING (8.3233316 47.4695802, 8.3231761 47.4696431, 8.3225311 47.469904)",,,,
1222694548,Staffelstrasse,residential,50,False,False,62.211,"LINESTRING (8.3233316 47.4695802, 8.323265 47.4694749, 8.3229457 47.4690858)",,,,
24084504,Schartenstrasse,residential,50,False,False,92.932,"LINESTRING (8.3261979 47.4685441, 8.3265128 47.4684541, 8.3266399 47.4684266, 8.326943 47.4683611, 8.3273768 47.4683011)",,,,
24084504,Schartenstrasse,residential,50,False,True,157.02400000000003,"LINESTRING (8.3261979 47.4685441, 8.3252822 47.4688483, 8.3243859 47.4691543, 8.3243303 47.4691765)",,,,
26191145,Zelgstrasse,residential,30,False,True,57.81,"LINESTRING (8.3261979 47.4685441, 8.3262145 47.468582, 8.3262299 47.4687101, 8.3261395 47.4690566)",,,,
24084504,Schartenstrasse,residential,50,False,True,174.908,"LINESTRING (8.3296612 47.4680037, 8.3295129 47.4680151, 8.3292642 47.4680488, 8.3283449 47.4681731, 8.3275532 47.4682802, 8.3273768 47.4683011)",,,,
120114043,Schartenstrasse,residential,50,False,False,217.024,"LINESTRING (8.3296612 47.4680037, 8.3298749 47.4679845, 8.3306863 47.4679478, 8.3307873 47.4679432, 8.3308416 47.4679407, 8.3309277 47.4679367, 8.3316818 47.4679011, 8.3320248 47.467884, 8.3322787 47.4678683, 8.3325386 47.4678482)",,,,
"[364951576, 364952597]",Dorfstrasse,residential,"['50', '30']",False,True,103.009,"LINESTRING (8.3296612 47.4680037, 8.3296519 47.4678996, 8.329643 47.467826, 8.3296336 47.4677088, 8.3296203 47.4675406, 8.3296018 47.4673056, 8.3295753 47.4671665, 8.329562 47.4671258, 8.3295268 47.4670874)",,8,,
"[24084505, 684874709]",Rebbergstrasse,residential,30,False,False,80.19000000000001,"LINESTRING (8.3296612 47.4680037, 8.3296649 47.4680448, 8.3296862 47.4681143, 8.3297729 47.4683208, 8.3298671 47.4685055, 8.3299709 47.4686917)",,,,
24084511,Schönenbühlstrasse,residential,30,False,False,54.901,"LINESTRING (8.3325386 47.4678482, 8.3325635 47.4679046, 8.3327524 47.4683203)",,,,
120114043,Schartenstrasse,residential,50,False,True,217.024,"LINESTRING (8.3325386 47.4678482, 8.3322787 47.4678683, 8.3320248 47.467884, 8.3316818 47.4679011, 8.3309277 47.4679367, 8.3308416 47.4679407, 8.3307873 47.4679432, 8.3306863 47.4679478, 8.3298749 47.4679845, 8.3296612 47.4680037)",,,,
24084505,Rebbergstrasse,residential,30,False,False,17.527,"LINESTRING (8.3302186 47.4689911, 8.3303347 47.4691278)",,,,
24084505,Rebbergstrasse,residential,30,False,True,38.145,"LINESTRING (8.3302186 47.4689911, 8.3299709 47.4686917)",,,,
24084507,Gärtnerstrasse,residential,30,False,False,73.31099999999999,"LINESTRING (8.3302186 47.4689911, 8.330165 47.4690045, 8.3295915 47.4691477, 8.3293024 47.4692171)",,,,
24084505,Rebbergstrasse,residential,30,False,False,15.835,"LINESTRING (8.3303347 47.4691278, 8.330346 47.46927)",,,,
24084505,Rebbergstrasse,residential,30,False,True,17.527,"LINESTRING (8.3303347 47.4691278, 8.3302186 47.4689911)",,,,
24084510,Weizenstrasse,residential,30,False,False,202.904,"LINESTRING (8.3303347 47.4691278, 8.3316365 47.4689722, 8.3319605 47.46892, 8.3323052 47.4688957, 8.3329972 47.4688353)",,,,
24084507,Gärtnerstrasse,residential,30,False,True,73.311,"LINESTRING (8.3293024 47.4692171, 8.3295915 47.4691477, 8.330165 47.4690045, 8.3302186 47.4689911)",,,,
24084511,Schönenbühlstrasse,residential,30,False,False,16.558,"LINESTRING (8.3329972 47.4688353, 8.3330762 47.4689743)",,,,
24084510,Weizenstrasse,residential,30,False,True,202.904,"LINESTRING (8.3329972 47.4688353, 8.3323052 47.4688957, 8.3319605 47.46892, 8.3316365 47.4689722, 8.3303347 47.4691278)",,,,
24084511,Schönenbühlstrasse,residential,30,False,True,51.010000000000005,"LINESTRING (8.3329972 47.4688353, 8.3328223 47.4684674, 8.3327889 47.4683987)",,,,
24084511,Schönenbühlstrasse,residential,30,False,True,35.923,"LINESTRING (8.3332597 47.4692726, 8.3330762 47.4689743)",,,,
26191107,Kornstrasse,residential,30,False,True,196.555,"LINESTRING (8.3332597 47.4692726, 8.3306962 47.4696215)",,,,
"[364951576, 364952597]",Dorfstrasse,residential,"['30', '50']",False,False,103.009,"LINESTRING (8.3295268 47.4670874, 8.329562 47.4671258, 8.3295753 47.4671665, 8.3296018 47.4673056, 8.3296203 47.4675406, 8.3296336 47.4677088, 8.329643 47.467826, 8.3296519 47.4678996, 8.3296612 47.4680037)",,8,,
364951576,Dorfstrasse,residential,30,False,True,13.966999999999999,"LINESTRING (8.3295268 47.4670874, 8.329454 47.467058, 8.3293637 47.4670274)",,8,,
