osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,junction,access,width
34691938,2,Haldenstrasse,tertiary,False,True,46.681999999999995,"LINESTRING (9.0430632 47.4657789, 9.0431139 47.4657875, 9.0433569 47.4658473, 9.0434995 47.4658821, 9.0436446 47.4659253)",,,,,
"[763205362, 743148323]",2,Bronschhoferstrasse,primary,False,False,78.426,"LINESTRING (9.0430632 47.4657789, 9.043098 47.4656806, 9.0431362 47.4655456, 9.0431493 47.4654729, 9.0431507 47.4653288, 9.0431485 47.4652681, 9.0431344 47.4651717, 9.043114 47.4650809)",16,50,,,
743148323,2,Bronschhoferstrasse,primary,False,True,237.76899999999998,"LINESTRING (9.0430632 47.4657789, 9.0430475 47.4658154, 9.0430009 47.4659066, 9.0428155 47.4662089, 9.0425682 47.4666351, 9.0424054 47.4669023, 9.0423079 47.4670623, 9.0422142 47.4672184, 9.0418871 47.4677635)",16,50,,,
4603746,1,Schwanenkreisel,primary,True,False,16.611,"LINESTRING (9.0429738 47.4644614, 9.0429396 47.4644684, 9.0428934 47.4644701, 9.0428488 47.4644616, 9.0428109 47.4644436, 9.0427838 47.4644182)",,50,roundabout,,
"[763205365, 93156862]",2,Bronschhoferstrasse,primary,False,True,69.738,"LINESTRING (9.0429738 47.4644614, 9.0429864 47.4644974, 9.0430055 47.4645515, 9.0430221 47.464646, 9.0430276 47.4646669, 9.0430492 47.4647551, 9.0430792 47.4649196, 9.043114 47.4650809)",16,50,,,
"[715021162, 4603747]",2,Obere Bahnhofstrasse,tertiary,False,False,53.900000000000006,"LINESTRING (9.0424105 47.4633455, 9.0422485 47.4629817, 9.0421972 47.4628828)",,50,,,
4603747,2,Obere Bahnhofstrasse,tertiary,False,True,110.308,"LINESTRING (9.0424105 47.4633455, 9.0424415 47.4634164, 9.042652 47.4639022, 9.0428009 47.4642188, 9.0428307 47.4642581, 9.0428546 47.4642897)",,50,,,
38693562,,Kirchweg St. Peter,residential,False,False,68.176,"LINESTRING (9.0424105 47.4633455, 9.0424891 47.4633328, 9.0432873 47.4631889)",,,,,
4603746,1,Schwanenkreisel,primary,True,False,17.002,"LINESTRING (9.0427838 47.4644182, 9.0427706 47.4643889, 9.042772 47.4643584, 9.0427878 47.4643297, 9.0428163 47.464306, 9.0428546 47.4642897)",,50,roundabout,,
554681097,2,Zürcherstrasse,primary,False,True,107.97,"LINESTRING (9.0427838 47.4644182, 9.0427305 47.4644403, 9.042661 47.464469, 9.0425932 47.4644806, 9.0423774 47.4645076, 9.0413808 47.4645836)",7,50,,,
27993290,,Notkerstrasse,residential,False,False,55.940999999999995,"LINESTRING (9.0413808 47.4645836, 9.0413718 47.4645392, 9.0412874 47.4641229, 9.0412819 47.464085)",,30,,,
554681097,2,Zürcherstrasse,primary,False,False,107.97000000000001,"LINESTRING (9.0413808 47.4645836, 9.0423774 47.4645076, 9.0425932 47.4644806, 9.042661 47.464469, 9.0427305 47.4644403, 9.0427838 47.4644182)",7,50,,,
554681097,2,Zürcherstrasse,primary,False,True,88.594,"LINESTRING (9.0413808 47.4645836, 9.0410969 47.4646063, 9.0407572 47.4646305, 9.0402096 47.4646723)",7,50,,,
