osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,junction,bridge,access
117521388,True,Bahnhofstrasse,residential,False,124.386,"LINESTRING (7.5567759 47.5133122, 7.5569546 47.513355, 7.5570974 47.5134234, 7.557477 47.5137551, 7.5579362 47.5140854)",,,,,,
673198209,True,Stephan Gschwind-Strasse,secondary,False,95.324,"LINESTRING (7.5567759 47.5133122, 7.5566151 47.5137009, 7.5565401 47.5138796, 7.5564725 47.514043, 7.556432 47.5141374)",2,313,50,,,
1052740273,False,Am Mühlebach,residential,True,14.006,"LINESTRING (7.55542 47.5124934, 7.5552461 47.5124479)",,,,,,
4835813,True,Stephan Gschwind-Strasse,secondary,False,138.124,"LINESTRING (7.55542 47.5124934, 7.5554764 47.5125298, 7.5556855 47.512644, 7.5556998 47.5126517, 7.556212 47.5129277, 7.5562246 47.5129345, 7.5564967 47.5130811, 7.556621 47.5131481, 7.5567024 47.5132064, 7.5567201 47.5132218, 7.5567528 47.5132502, 7.5567759 47.5133122)",1,313,50,,,
192164032,True,Bottmingerstrasse,tertiary,False,30.895,"LINESTRING (7.5587467 47.5159688, 7.5585177 47.5159991, 7.5584302 47.5160172, 7.5583587 47.5160501)",2,,50,,,
4835811,True,Mühlegasse,secondary,False,99.483,"LINESTRING (7.5545049 47.5132831, 7.5545762 47.5132232, 7.5548476 47.5129287, 7.55498 47.512785, 7.5550312 47.5127294, 7.5552122 47.5125273)",1,313,50,,,
"[1185441841, 1185441842]",False,Bielstrasse,secondary,False,348.772,"LINESTRING (7.5545049 47.5132831, 7.5544355 47.5132086, 7.5544063 47.5131772, 7.5543251 47.513105, 7.5542801 47.5130645, 7.5542099 47.5130013, 7.5541754 47.5129738, 7.5540915 47.5129041, 7.5539839 47.5128149, 7.5539052 47.5127489, 7.5538259 47.5126808, 7.5536802 47.5125624, 7.5534923 47.5124096, 7.5534573 47.5123811, 7.553252 47.5122142, 7.5531635 47.5121422, 7.5527587 47.5118132, 7.5526645 47.5117382, 7.5526418 47.5117202, 7.5526211 47.5117037, 7.5525189 47.5116224, 7.5523988 47.5115367, 7.5523187 47.5114924, 7.5521873 47.5114299, 7.5519484 47.5113423, 7.5516897 47.5112841, 7.5512117 47.5111898)",2,274,60,,,
1185441843,False,Hauptstrasse,secondary,True,30.035,"LINESTRING (7.5545049 47.5132831, 7.5545685 47.5133742, 7.554683 47.5135249)",3,274,,,,
4835815,False,Hauptstrasse,secondary,False,38.094,"LINESTRING (7.556432 47.5141374, 7.5562194 47.5140846, 7.5559556 47.5140198)",2,274,,,,
4835816,False,Hauptstrasse,secondary,False,76.23100000000001,"LINESTRING (7.556432 47.5141374, 7.5566596 47.5142096, 7.556698 47.5142245, 7.5568483 47.514283, 7.5569768 47.5143397, 7.5570877 47.5143977, 7.5571752 47.514448, 7.5572797 47.514508)",2,274,50,,,
