osmid,lanes,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,name,bridge,width
5571740,1,primary,50,roundabout,True,False,7.166,"LINESTRING (9.2461276 47.4157489, 9.2460864 47.4157327, 9.2460545 47.4157088)",,,,
5571740,1,primary,50,roundabout,True,False,12.378,"LINESTRING (9.2460373 47.4156165, 9.2460641 47.4155841, 9.2461057 47.41556, 9.2461572 47.4155472)",,,,
986781325,1,secondary,50,,True,False,15.918000000000001,"LINESTRING (9.2460373 47.4156165, 9.2459669 47.4155415, 9.2459336 47.4154921)",430,Flawilerstrasse,,
5571740,1,primary,50,roundabout,True,False,13.834000000000001,"LINESTRING (9.2462977 47.4157231, 9.2462477 47.4157471, 9.2461879 47.4157562, 9.2461276 47.4157489)",,,,
986781321,1,secondary,50,,True,False,24.898999999999997,"LINESTRING (9.2462977 47.4157231, 9.2462806 47.4157623, 9.246206 47.4158534, 9.2461224 47.4159084)",,Bischofszellerstrasse,,
5571739,1,primary,50,roundabout,True,False,15.846,"LINESTRING (9.2486325 47.4155321, 9.2486377 47.4154967, 9.2486649 47.4154662, 9.2487089 47.4154465, 9.248761 47.4154415)",,,,
172369528,2,primary,50,,False,False,25.564999999999998,"LINESTRING (9.2486325 47.4155321, 9.2484742 47.4154996, 9.2483087 47.4154625)",7,St. Gallerstrasse,,
5571739,1,primary,50,roundabout,True,False,19.288,"LINESTRING (9.248761 47.4154415, 9.2488023 47.415449, 9.2488371 47.4154657, 9.2488609 47.4154897, 9.2488709 47.4155178, 9.2488656 47.4155465, 9.2488457 47.4155721)",,,,
5571743,2,secondary,50,,False,False,52.607,"LINESTRING (9.248761 47.4154415, 9.2487663 47.4153602, 9.2487902 47.4151898, 9.2488151 47.4150938, 9.248849 47.415016, 9.2488704 47.4149766)",470,Herisauerstrasse,,
5571739,1,primary,50,roundabout,True,False,21.139,"LINESTRING (9.2488457 47.4155721, 9.2488161 47.4155904, 9.2487792 47.4156011, 9.2487392 47.4156029, 9.2487005 47.4155956, 9.2486675 47.4155802, 9.248644 47.4155582, 9.2486325 47.4155321)",,,,
