osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,bridge,access,width
"[336432881, 161932790]",2,22,Kirchenfeldstrasse,primary,50,False,True,99.86099999999999,"LINESTRING (7.30929 47.0704243, 7.309251 47.0704063, 7.3091531 47.0703768, 7.3087722 47.0702823, 7.308654 47.0702494, 7.3080569 47.0701098)",,,,
1232725334,,,,primary,50,True,False,22.028,"LINESTRING (7.30929 47.0704243, 7.3093201 47.0704048, 7.3093577 47.0703928, 7.309399 47.0703896, 7.3094396 47.0703956, 7.3094753 47.0704101, 7.3095024 47.0704316, 7.309518 47.0704578)",roundabout,,,
23737789,2,6,Bernstrasse,primary,50,False,False,195.615,"LINESTRING (7.309518 47.0704578, 7.3096982 47.0704157, 7.3100154 47.0703174, 7.3100799 47.0702981, 7.3102587 47.0702487, 7.3104268 47.0701982, 7.3105845 47.0701418, 7.3106707 47.0701078, 7.3107756 47.0700599, 7.3109137 47.0699897, 7.3111943 47.0698342, 7.3116942 47.0695421)",,,,
1232725335,,,,primary,50,True,False,21.302,"LINESTRING (7.309518 47.0704578, 7.3095206 47.0704851, 7.3095107 47.0705116, 7.3094893 47.0705348, 7.3094585 47.0705523, 7.3094212 47.0705625, 7.3093811 47.0705644, 7.3093421 47.0705577)",roundabout,,,
"[336430451, 9093581]",,6;22,Mühleplatz,primary,30,False,False,112.104,"LINESTRING (7.3093421 47.0705577, 7.3093088 47.0706043, 7.3092638 47.0706515, 7.3091519 47.0707516, 7.3090406 47.070847, 7.3088266 47.0710086, 7.308681 47.0711096, 7.3086225 47.0711556, 7.3085252 47.0712336, 7.3084079 47.0713362)",,,,
9093605,,,,primary,50,True,False,17.586,"LINESTRING (7.3093421 47.0705577, 7.3093034 47.0705403, 7.3092763 47.0705146, 7.3092643 47.070484, 7.3092691 47.0704525, 7.30929 47.0704243)",roundabout,,,
"[22997713, 27035518, 9093607]",2,22,Bürenstrasse,primary,50,False,"[False, True]",109.79899999999999,"LINESTRING (7.3066709 47.0740761, 7.3067913 47.0741136, 7.3068521 47.0741343, 7.306879 47.0741444, 7.3069306 47.0741669, 7.3070033 47.074204, 7.307098 47.0742607, 7.3076252 47.0745669, 7.3076787 47.0746031, 7.3077153 47.0746514, 7.3077257 47.0746781, 7.3077288 47.0747134)",,,,
1232725333,1,,Hirschenplatz,primary,50,True,False,12.066,"LINESTRING (7.3066709 47.0740761, 7.3066598 47.0740898, 7.3066475 47.0741, 7.3066321 47.0741088, 7.3066161 47.0741162, 7.3065974 47.0741211, 7.3065786 47.0741243, 7.3065601 47.074125, 7.3065406 47.0741238)",roundabout,,,
9093585,1,,Hirschenplatz,primary,50,True,False,20.156000000000002,"LINESTRING (7.3065406 47.0741238, 7.3065196 47.0741191, 7.3064993 47.0741121, 7.3064829 47.0741025, 7.3064682 47.0740916, 7.3064584 47.0740785, 7.3064503 47.0740647, 7.306448 47.0740501, 7.3064482 47.0740352, 7.3064539 47.0740208, 7.3064621 47.0740073, 7.3064749 47.0739952, 7.3064935 47.073983)",roundabout,,,
26997627,2,6,Bielstrasse,primary,30,False,True,28.368,"LINESTRING (7.3065406 47.0741238, 7.306515 47.0742149, 7.3064997 47.0742603, 7.3064864 47.0742883, 7.3064687 47.0743133, 7.3064445 47.0743396, 7.3064236 47.0743632)",,,,
