osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,junction,access
28269141,2,1,Zentralstrasse,primary,False,False,83.31299999999999,"LINESTRING (8.2778254 47.3502057, 8.2779554 47.3503459, 8.2779706 47.3503683, 8.2780501 47.3504951, 8.2782233 47.3507812, 8.2782907 47.3508835)",,,,
28269141,2,1,Zentralstrasse,primary,False,True,112.133,"LINESTRING (8.2778254 47.3502057, 8.27771 47.3501179, 8.2774565 47.3499381, 8.2773215 47.3498438, 8.2769732 47.3496004, 8.2768928 47.3495391, 8.2768318 47.3494856, 8.2768118 47.349468)",,,,
"[215379493, 94737966]",,,"['Paul-Walser-Weg', 'Bärengässli']",residential,True,False,165.235,"LINESTRING (8.2778254 47.3502057, 8.2777348 47.3502493, 8.2769602 47.3506151, 8.276892 47.3506299, 8.2769216 47.3507417, 8.276964 47.3508438, 8.2770812 47.3509917, 8.2773068 47.3512172, 8.2773712 47.351262)",,,,
94737979,,,Rigistrasse,residential,False,False,17.765,"LINESTRING (8.2778254 47.3502057, 8.277867 47.350186, 8.2778721 47.3501836, 8.2779126 47.3501644, 8.2779959 47.3500973)",,,,
27580191,2,1;280,Kirchenrain,primary,False,False,49.072,"LINESTRING (8.2791243 47.3510781, 8.27866 47.3512154, 8.2785298 47.3512583)",50,,,
842378024,2,1,Bremgarterstrasse,primary,False,False,109.47099999999999,"LINESTRING (8.2791243 47.3510781, 8.279233 47.3510455, 8.2793418 47.3510179, 8.2795036 47.3509768, 8.279803 47.350879, 8.2798336 47.3508687, 8.2802664 47.3506972, 8.2804232 47.3506411)",50,,,
37668461,2,1,Bremgarterstrasse,primary,False,False,28.413,"LINESTRING (8.2835854 47.348899, 8.2839532 47.3488425)",50,,,
842378029,2,1,Bremgarterstrasse,primary,False,True,40.861000000000004,"LINESTRING (8.2835854 47.348899, 8.2834419 47.3489227, 8.2833865 47.3489403, 8.2832983 47.3489656, 8.2831019 47.3490563)",50,,,
115012034,,,Mattenhofweg,residential,False,True,217.137,"LINESTRING (8.2752069 47.3511917, 8.2751877 47.3512265, 8.2751524 47.3512903, 8.2750353 47.3514094, 8.2749474 47.3514818, 8.2747893 47.3515722, 8.2739807 47.3519487, 8.2730008 47.3524053)",30,,,
126798078,2,1,Bünzstrasse,primary,False,False,47.76500000000001,"LINESTRING (8.2752069 47.3511917, 8.2749715 47.3511576, 8.2747647 47.3511239, 8.2745925 47.351087)",50,,,
