osmid,oneway,lanes,highway,reversed,length,ref,name,maxspeed,geometry,junction,bridge,tunnel,access
365201655,True,3,secondary_link,False,9.531,,,,"LINESTRING (6.5742524 46.5520993, 6.5742315 46.5521838)",,,,
365201642,True,1,primary,False,32.479,9,Route de Crissier,60,"LINESTRING (6.5742524 46.5520993, 6.5744057 46.5520902, 6.5746734 46.5520618)",,,,
437309533,False,,unclassified,False,13.308,,Chemin du Closalet,,"LINESTRING (6.5707487 46.5528405, 6.5708027 46.5527918, 6.5708318 46.5527369)",,,,
915368903,True,,tertiary,False,14.393,,Rue de Morges,,"LINESTRING (6.5709866 46.5516845, 6.5711367 46.5517626)",,,,
27336995,False,2,unclassified,False,47.018,,Chemin du Closalet,,"LINESTRING (6.5708318 46.5527369, 6.5708908 46.5525553, 6.5709551 46.5523227)",,,,
437309533,False,,unclassified,True,13.308,,Chemin du Closalet,,"LINESTRING (6.5708318 46.5527369, 6.5708027 46.5527918, 6.5707487 46.5528405)",,,,
971828023,True,,unclassified,False,29.912999999999997,,Chemin du Closalet,,"LINESTRING (6.5708318 46.5527369, 6.5709103 46.5528079, 6.5709549 46.5529375, 6.5709716 46.5529827)",,,,
29698633,False,,residential,False,52.093,,,,"LINESTRING (6.5711768 46.5573965, 6.571254 46.5573875, 6.5713303 46.5573485, 6.5716593 46.5570824)",,,,
364387469,True,1,primary,False,31.131,9;135,Giratoire du Cimetière,80,"LINESTRING (6.5727886 46.5561329, 6.572776 46.556087, 6.5727868 46.556041, 6.5728197 46.5560002, 6.5728709 46.5559695, 6.5729341 46.5559527, 6.573002 46.5559516)",roundabout,,,
123870705,False,,secondary,True,189.905,135,Rue du Timonet,60,"LINESTRING (6.5730769 46.5561995, 6.5731249 46.5563127, 6.5732229 46.5565402, 6.5733315 46.5567417, 6.573544 46.5570282, 6.5738908 46.5573689, 6.5743037 46.5576511)",,,,
364387469,True,1,primary,False,9.193,9;135,Giratoire du Cimetière,80,"LINESTRING (6.5730769 46.5561995, 6.5730217 46.5562159, 6.5729619 46.55622)",roundabout,,,
