osmid,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,lanes,width,access
"[46166728, 831863412, 75113325, 75113326]",Bachstrasse,residential,50,False,True,238.932,yes,"LINESTRING (7.8433413 47.5604303, 7.8432805 47.5604311, 7.8431587 47.5604135, 7.842916 47.5603463, 7.8428134 47.5603068, 7.842719 47.5602481, 7.8426413 47.560158, 7.8425652 47.5600579, 7.8424779 47.5599527, 7.8424489 47.5599077, 7.8423798 47.5598141, 7.8423621 47.5597933, 7.8423223 47.5597386, 7.8422632 47.559669, 7.8421328 47.5595587, 7.8420821 47.5595121, 7.8418621 47.5593721, 7.8411939 47.5591164, 7.8411285 47.5590912, 7.8410712 47.5590564)",,,
114928367,Hauptstrasse,tertiary,50,False,True,251.978,,"LINESTRING (7.8433413 47.5604303, 7.8433789 47.5605153, 7.843516 47.5607085, 7.8435596 47.5608119, 7.8435505 47.560934, 7.8435021 47.5610377, 7.8431816 47.5614341, 7.8431302 47.5614977, 7.8428522 47.5618238, 7.8425002 47.5621795, 7.8423262 47.5623005, 7.842183 47.5623847)",2,,
185574483,Hauptstrasse,tertiary,50,False,False,67.681,,"LINESTRING (7.8433413 47.5604303, 7.8433472 47.5603522, 7.8434012 47.5602097, 7.843444 47.5601393, 7.8436124 47.5598538)",,,
462974404,Rheinfelderstrasse,residential,50,False,True,33.76,,"LINESTRING (7.836965 47.5579355, 7.8366444 47.5581485)",,,
129407367,Haldenstrasse,tertiary,50,False,False,56.107,,"LINESTRING (7.836965 47.5579355, 7.8371151 47.5580513, 7.8372183 47.558131, 7.8375072 47.5582792)",2,,
129407367,Haldenstrasse,tertiary,50,False,False,158.181,,"LINESTRING (7.8375072 47.5582792, 7.8376957 47.5583436, 7.8377981 47.5583703, 7.8379453 47.5584141, 7.838678 47.5586293, 7.8394718 47.5587858)",2,,
129407367,Haldenstrasse,tertiary,50,False,True,56.107,,"LINESTRING (7.8375072 47.5582792, 7.8372183 47.558131, 7.8371151 47.5580513, 7.836965 47.5579355)",2,,
"[593164024, 593164023]",Rheinfelderstrasse,residential,50,False,False,72.584,,"LINESTRING (7.8375072 47.5582792, 7.8374398 47.5583397, 7.8370078 47.5582843, 7.8366444 47.5581485)",,,
129407367,Haldenstrasse,tertiary,50,False,False,110.461,,"LINESTRING (7.8394718 47.5587858, 7.8402105 47.5589295, 7.8406134 47.5590371, 7.8408728 47.5590876)",2,,
129407367,Haldenstrasse,tertiary,50,False,True,158.18099999999998,,"LINESTRING (7.8394718 47.5587858, 7.838678 47.5586293, 7.8379453 47.5584141, 7.8377981 47.5583703, 7.8376957 47.5583436, 7.8375072 47.5582792)",2,,
46244692,Bahnhofstrasse,residential,50,False,False,94.214,,"LINESTRING (7.8397478 47.5603218, 7.8394685 47.5604516, 7.8392687 47.5605731, 7.839093 47.5607402, 7.8389373 47.5609471)",,,
46244692,Bahnhofstrasse,residential,50,False,True,19.399,,"LINESTRING (7.8397478 47.5603218, 7.8397965 47.5602578, 7.8398978 47.5601814)",,,
74956239,Eschenmattstrasse,residential,50,False,False,217.67800000000003,,"LINESTRING (7.8397478 47.5603218, 7.8398031 47.5604649, 7.8397939 47.5605708, 7.8397824 47.5607643, 7.8397734 47.5611871, 7.8397694 47.5616084, 7.839752 47.5618398, 7.8397469 47.5620613, 7.8397424 47.5622739)",,,
"[753687297, 33042735]","['Kornfeldstrasse', 'Riedmattstrasse']",residential,50,False,False,116.33699999999999,,"LINESTRING (7.8386996 47.5634384, 7.8387196 47.5634885, 7.8387203 47.5635532, 7.8384916 47.5638704, 7.8384749 47.5639577, 7.8384539 47.5639868, 7.8381497 47.5643509, 7.8381021 47.5643722)",,,
126048913,Efeuweg,residential,50,False,False,56.538,,"LINESTRING (7.8386996 47.5634384, 7.8386004 47.5634379, 7.8379736 47.5633112)",,,
"[126048913, 126048915, 593164031]",Efeuweg,residential,50,False,True,96.36400000000002,yes,"LINESTRING (7.8386996 47.5634384, 7.8388393 47.5634331, 7.8390727 47.563458, 7.8396007 47.5635905, 7.8397918 47.5636503, 7.8398154 47.5636562, 7.8399177 47.5636815)",,,
46244692,Bahnhofstrasse,residential,50,False,True,111.12299999999999,,"LINESTRING (7.8366014 47.5624443, 7.8368066 47.5624094, 7.8377161 47.5622712, 7.8378462 47.5622455, 7.8379365 47.5622103, 7.8380163 47.5621728)",,,
54730007,Dammstrasse,residential,50,False,True,256.343,,"LINESTRING (7.8366014 47.5624443, 7.8366327 47.5625288, 7.8366754 47.562572, 7.8367507 47.5626, 7.8368939 47.5626449, 7.8396897 47.5633142)",,,
70436947,Rüttenenweg,residential,50,False,False,8.447,,"LINESTRING (7.8373111 47.5654231, 7.837223 47.5654704)",,,
