osmid,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,junction,lanes,width
"[16776696, 1264214059]",Grabenstrasse,residential,"['50', '30']",False,True,284.5129999999999,"LINESTRING (8.450319 47.3980137, 8.4502845 47.3980948, 8.4502127 47.3982699, 8.4501988 47.3983041, 8.4501604 47.3983991, 8.4501406 47.3984479, 8.4501023 47.3985426, 8.4500523 47.398666, 8.4500044 47.3987843, 8.4499401 47.3989433, 8.4499141 47.3990074, 8.449836 47.3992195, 8.4497758 47.3992627, 8.4497005 47.3992822, 8.449368 47.3992643, 8.448379 47.3992094, 8.4483322 47.3992061, 8.4482887 47.3992007, 8.4482462 47.3991906, 8.4482086 47.3991759, 8.4481861 47.3991618, 8.4481714 47.3991461, 8.4481611 47.3991199, 8.4481556 47.3990102)",,,,
"[28540408, 691308835, 369103269]",Zürcherstrasse,secondary,50,True,False,104.083,"LINESTRING (8.450319 47.3980137, 8.4501848 47.3979838, 8.4495286 47.3978354, 8.4493684 47.3978059, 8.4492302 47.3977971, 8.4491648 47.3978016, 8.4491117 47.3978042, 8.4490645 47.3978119, 8.4490338 47.3978228, 8.448996 47.3978362)",,,,
22381903,Kampstrasse,residential,30,False,True,54.999,"LINESTRING (8.4480775 47.3930822, 8.4477246 47.393083, 8.4475167 47.3930724, 8.4473503 47.3930515)",,,,
"[38933693, 24623294, 53580007]",Uitikonerstrasse,tertiary,50,False,False,60.016,"LINESTRING (8.4480775 47.3930822, 8.4480777 47.3930439, 8.4480928 47.3930046, 8.4481736 47.3928915, 8.4483357 47.3927037, 8.4483975 47.3925937)",yes,,,
971321866,Uitikonerstrasse,tertiary,50,False,True,114.128,"LINESTRING (8.4480775 47.3930822, 8.448124 47.3931522, 8.4482113 47.3932705, 8.4482289 47.393294, 8.448336 47.3934376, 8.4484384 47.3935956, 8.4484669 47.3936524, 8.4485215 47.3937778, 8.4485433 47.3938662, 8.4485554 47.3939527, 8.4485534 47.3940431)",,,,
28540412,Engstringerstrasse,secondary,50,True,False,44.279,"LINESTRING (8.4489047 47.3980228, 8.4488746 47.3981487, 8.4487655 47.3984091)",,,,
623404530,,secondary,50,True,False,16.396,"LINESTRING (8.4489047 47.3980228, 8.448848 47.3980504, 8.4487934 47.3980709, 8.4487108 47.398086)",,roundabout,,
28540409,Engstringerstrasse,secondary,50,True,False,37.175,"LINESTRING (8.4487655 47.3984091, 8.4487841 47.3982292, 8.4487828 47.3982053, 8.4487706 47.3981631, 8.448725 47.3981043, 8.4487108 47.398086)",,,,
16774857,Freiestrasse,residential,30,False,False,85.365,"LINESTRING (8.4480432 47.3961806, 8.4478723 47.3960926, 8.4474645 47.3958892, 8.447389 47.3958515, 8.4472424 47.395788, 8.4471141 47.3957423)",,,,
21067031,Schulstrasse,residential,50,False,True,121.50099999999999,"LINESTRING (8.4480432 47.3961806, 8.4481329 47.3962354, 8.4482672 47.3962521, 8.4483351 47.3962645, 8.4487901 47.3963552, 8.448939 47.396382, 8.4490764 47.3964031, 8.4494259 47.3964729, 8.449572 47.3965032)",,,,
83690655,Uitikonerstrasse,tertiary,50,False,False,84.066,"LINESTRING (8.4480432 47.3961806, 8.4480476 47.3961007, 8.4480602 47.3960261, 8.4481395 47.3958357, 8.4482736 47.3954429)",,,,
"[971181689, 1186522005, 369349415]",Uitikonerstrasse,tertiary,50,False,True,99.59599999999999,"LINESTRING (8.4480432 47.3961806, 8.4480638 47.3963107, 8.4480673 47.3963538, 8.4480642 47.3964525, 8.4480618 47.3964781, 8.4480517 47.3966741, 8.4480507 47.3966932, 8.4480485 47.3967366, 8.4480438 47.3968299, 8.4480415 47.3968758, 8.4480397 47.3969212, 8.4480338 47.3970751)",,,3,
16774857,Freiestrasse,residential,30,False,False,138.105,"LINESTRING (8.4471141 47.3957423, 8.4470243 47.3957234, 8.4469075 47.3957058, 8.4468074 47.3956956, 8.4466888 47.395688, 8.4466221 47.3956857, 8.4460817 47.3956806, 8.4456637 47.3956846, 8.4452883 47.3956859)",,,,
16774857,Freiestrasse,residential,30,False,True,85.36500000000001,"LINESTRING (8.4471141 47.3957423, 8.4472424 47.395788, 8.447389 47.3958515, 8.4474645 47.3958892, 8.4478723 47.3960926, 8.4480432 47.3961806)",,,,
