osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,tunnel,geometry,bridge,access,width
"[60341464, 22947073, 245678251, 60342846]","['4', '3']",1;26,"['Erlengut', 'Malagarain']",primary,50,False,"[False, True]",313.12,yes,"LINESTRING (8.176954 47.3884197, 8.1772754 47.3884791, 8.1776383 47.388567, 8.1779022 47.3886493, 8.1781165 47.3887322, 8.1783382 47.388823, 8.178574 47.3889426, 8.1793877 47.3894773, 8.1795823 47.3895644, 8.1799332 47.3896455, 8.1802951 47.3897061, 8.1803953 47.3897199, 8.180529 47.3897387)",,,
"[1246151557, 1188418150, 41925232, 33549149, 127681981]",3,,Bahnhofstrasse,"['residential', 'living_street']",20,False,"[False, True]",96.231,,"LINESTRING (8.176954 47.3884197, 8.1770922 47.3883461, 8.1774944 47.3881462, 8.1775947 47.3880963, 8.177693 47.3880495, 8.1778388 47.3879757, 8.1779817 47.3879052)",,,
"[96561841, 96561829, 42969374]",,,Bahnhofstrasse,residential,50,False,False,105.073,,"LINESTRING (8.176954 47.3884197, 8.1769219 47.388434, 8.1766004 47.3885774, 8.1765362 47.3886063, 8.176305 47.3887106, 8.1762432 47.3887384, 8.1758923 47.3888951, 8.1757893 47.3889404)",yes,,
"[103005235, 60199803, 60199605, 103005246]","['2', '3']",1;26,Angelrain,primary,50,False,True,212.636,yes,"LINESTRING (8.176954 47.3884197, 8.1769154 47.3884121, 8.1766746 47.3883645, 8.1763946 47.388286, 8.1761831 47.3882133, 8.17589 47.3880552, 8.1757903 47.387983, 8.1756919 47.3878908, 8.1756262 47.3877939, 8.1755735 47.3876916, 8.1755367 47.3875834, 8.175515 47.3874725, 8.1755066 47.3873742, 8.1755085 47.3872814, 8.1755312 47.3871721, 8.1755806 47.3870324)",yes,,
4765978,3,1,Hendschikerstrasse,primary,50,False,False,166.73,,"LINESTRING (8.180529 47.3897387, 8.1807596 47.3897564, 8.1811534 47.389803, 8.1816737 47.3898628, 8.1821 47.3898739, 8.1825014 47.389868, 8.1827285 47.3898676)",,,
"[60341464, 22947073, 245678251, 60342846]","['4', '3']",1;26,"['Erlengut', 'Malagarain']",primary,50,False,"[False, True]",313.12,yes,"LINESTRING (8.180529 47.3897387, 8.1803953 47.3897199, 8.1802951 47.3897061, 8.1799332 47.3896455, 8.1795823 47.3895644, 8.1793877 47.3894773, 8.178574 47.3889426, 8.1783382 47.388823, 8.1781165 47.3887322, 8.1779022 47.3886493, 8.1776383 47.388567, 8.1772754 47.3884791, 8.176954 47.3884197)",,,
"[782711504, 108327169, 245678252]","['2', '3']",26,Niederlenzerstrasse,primary,50,False,True,194.89499999999998,,"LINESTRING (8.180529 47.3897387, 8.1805284 47.3898163, 8.1805279 47.389893, 8.1805301 47.3903576, 8.1805362 47.3904428, 8.1805395 47.3908526, 8.1805413 47.3913562, 8.1805441 47.3914913)",,,
"[264100608, 33549170, 776429678, 264100607]","['2', '3']",,Niederlenzerstrasse,"['unclassified', 'living_street']","['20', '50', '30']",False,True,167.33300000000003,,"LINESTRING (8.180529 47.3897387, 8.1805209 47.3895623, 8.1805191 47.3893547, 8.1805177 47.3892968, 8.1805079 47.3891995, 8.1804896 47.3891105, 8.1804196 47.3889872, 8.1802674 47.3887562, 8.1800761 47.3884733, 8.1800538 47.3884388, 8.1799667 47.38831)",,,
22947057,3,1;26,Angelrain,primary,50,False,False,86.711,,"LINESTRING (8.1759716 47.3863141, 8.1759812 47.3864064, 8.1759744 47.3864671, 8.1759594 47.3865038, 8.1759127 47.3865918, 8.1758351 47.3867069, 8.1755806 47.3870324)",,,
"[259362472, 103005244, 103005238]",3,,Aavorstadt,tertiary,,False,True,30.060000000000002,,"LINESTRING (8.1759716 47.3863141, 8.1760745 47.3863011, 8.1761537 47.3862884, 8.1762652 47.3862705, 8.1763602 47.3862526)",yes,,
389397670,3,1,Bleicherain,primary,50,False,True,32.476,,"LINESTRING (8.1759716 47.3863141, 8.1758015 47.386334, 8.1757636 47.3863384, 8.1755465 47.3863637)",,,
26137276,,,Ammerswilerstrasse,tertiary,50,False,True,92.556,,"LINESTRING (8.180712 47.3855233, 8.180732 47.3853387, 8.1807345 47.3852117, 8.1807351 47.3850745, 8.1807043 47.3848151, 8.1806987 47.3847532, 8.1806932 47.3846925)",,,
33549002,,,Burghaldenstrasse,tertiary,50,False,False,81.73799999999999,,"LINESTRING (8.180712 47.3855233, 8.1805511 47.3855213, 8.1804131 47.3855284, 8.1803267 47.3855344, 8.1801672 47.3855524, 8.1800004 47.3855766, 8.1798216 47.3856062, 8.1797547 47.3856232, 8.1796942 47.3856377, 8.1796494 47.3856484)",,,
33549004,,,Burghaldenstrasse,tertiary,30,False,True,48.480000000000004,,"LINESTRING (8.180712 47.3855233, 8.1811865 47.3855529, 8.1813533 47.3855628)",,,
33549002,,,Burghaldenstrasse,tertiary,50,False,False,75.303,,"LINESTRING (8.1796494 47.3856484, 8.1795215 47.3856858, 8.1793765 47.3857404, 8.1791613 47.3858304, 8.1791003 47.3858554, 8.1790626 47.3858708, 8.1787888 47.3859915)",,,
33549002,,,Burghaldenstrasse,tertiary,50,False,True,81.738,,"LINESTRING (8.1796494 47.3856484, 8.1796942 47.3856377, 8.1797547 47.3856232, 8.1798216 47.3856062, 8.1800004 47.3855766, 8.1801672 47.3855524, 8.1803267 47.3855344, 8.1804131 47.3855284, 8.1805511 47.3855213, 8.180712 47.3855233)",,,
"[239852156, 671291294, 671291295]",,,Blumenrain,residential,,False,True,42.923,,"LINESTRING (8.1796494 47.3856484, 8.1796281 47.38561, 8.1796165 47.3855884, 8.1795814 47.3855228, 8.1795515 47.38545, 8.1795403 47.3854132, 8.1795306 47.3853448, 8.1795184 47.3852749)",,,
33549002,,,Burghaldenstrasse,tertiary,50,False,True,75.303,,"LINESTRING (8.1787888 47.3859915, 8.1790626 47.3858708, 8.1791003 47.3858554, 8.1791613 47.3858304, 8.1793765 47.3857404, 8.1795215 47.3856858, 8.1796494 47.3856484)",,,
102439552,,,Burghaldenstrasse,tertiary,,False,False,41.536,,"LINESTRING (8.1787888 47.3859915, 8.1786746 47.3860588, 8.1786137 47.3861011, 8.1785818 47.3861312, 8.178533 47.3861786, 8.1784993 47.3862116, 8.178433 47.3862742)",,,
644976043,,,Wylgasse,residential,30,False,False,134.915,,"LINESTRING (8.1787888 47.3859915, 8.1787481 47.3859648, 8.17868 47.3859212, 8.1785757 47.3858305, 8.1785072 47.3857273, 8.1782159 47.3853445, 8.1780182 47.3850713, 8.1779217 47.3849379)",,,
"[26137274, 50144285, 264100605]",,,"['Poststrasse', 'Aavorstadt']","['residential', 'living_street']","['20', '30']",False,False,175.34900000000002,,"LINESTRING (8.178433 47.3862742, 8.1785262 47.3863763, 8.1786063 47.3864983, 8.1786785 47.386664, 8.1788595 47.3869701, 8.1788911 47.3870044, 8.1789226 47.3870342, 8.1788911 47.3870816, 8.1788463 47.3871244, 8.1788078 47.3871558, 8.1785952 47.3873063, 8.178571 47.3873409, 8.178553 47.3874053, 8.1785755 47.3874967, 8.1785949 47.3875758, 8.178622 47.387688)",,,
