osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,junction,tunnel,access,bridge
19365289,Schützenstrasse,residential,50,False,True,79.414,"LINESTRING (9.1364025 47.4354117, 9.1369064 47.4360393)",,,,,,
19370668,Fichtenstrasse,residential,,False,False,131.45499999999998,"LINESTRING (9.1359878 47.4347728, 9.1359696 47.4347166, 9.135947 47.4344884, 9.1359102 47.4342407, 9.1358827 47.4340343, 9.1358518 47.4339557, 9.1357152 47.4336904, 9.1357092 47.433613)",,,,,,
74068281,Gartenstrasse,residential,,False,False,137.935,"LINESTRING (9.1359878 47.4347728, 9.1359121 47.434789, 9.1358506 47.4347999, 9.1356757 47.4348197, 9.1355799 47.4348184, 9.135499 47.4348033, 9.1354164 47.4347803, 9.1342799 47.4344373)",,,,,,
391257659,Fichtenstrasse,residential,50,False,True,40.49999999999999,"LINESTRING (9.1359878 47.4347728, 9.1360256 47.4348246, 9.1360508 47.4349061, 9.1360685 47.4349867, 9.1360812 47.4350543, 9.1360844 47.4350929, 9.1360765 47.4351274)",2,,,,,
391257675,Wilenstrasse,residential,30,False,False,145.11,"LINESTRING (9.1359878 47.4347728, 9.1360429 47.434743, 9.1361835 47.4346997, 9.1364685 47.4346414, 9.1375064 47.4344889, 9.1376467 47.4344415, 9.1377446 47.4343972, 9.1377968 47.4343659)",,,,,,
19365370,Neuhofstrasse,residential,30,False,False,135.66400000000002,"LINESTRING (9.1377968 47.4343659, 9.1377528 47.4343088, 9.1376953 47.434274, 9.1376457 47.4342609, 9.1374249 47.4342405, 9.1373576 47.4342313, 9.1372953 47.4342168, 9.1372176 47.4341867, 9.1371452 47.4341532, 9.136822 47.4340032, 9.1362923 47.4337467)",,,,,,
19748425,Wilenstrasse,residential,50,False,False,24.060999999999996,"LINESTRING (9.1377968 47.4343659, 9.1378596 47.4343466, 9.1379448 47.4343127, 9.1379923 47.4342921, 9.1380695 47.4342539)",,,,,,
391257675,Wilenstrasse,residential,30,False,True,145.11,"LINESTRING (9.1377968 47.4343659, 9.1377446 47.4343972, 9.1376467 47.4344415, 9.1375064 47.4344889, 9.1364685 47.4346414, 9.1361835 47.4346997, 9.1360429 47.434743, 9.1359878 47.4347728)",,,,,,
19365370,Neuhofstrasse,residential,30,False,True,47.972,"LINESTRING (9.1357092 47.433613, 9.1358301 47.4336031, 9.1359647 47.4336165, 9.1362923 47.4337467)",,,,,,
19370668,Fichtenstrasse,residential,,False,False,89.104,"LINESTRING (9.1357092 47.433613, 9.1356557 47.4335553, 9.1355498 47.4334902, 9.1354917 47.4334648, 9.1352598 47.4333635, 9.1349869 47.4333146, 9.134788 47.4333171, 9.1346737 47.4333197)",,,,,,
19370668,Fichtenstrasse,residential,,False,True,131.455,"LINESTRING (9.1357092 47.433613, 9.1357152 47.4336904, 9.1358518 47.4339557, 9.1358827 47.4340343, 9.1359102 47.4342407, 9.135947 47.4344884, 9.1359696 47.4347166, 9.1359878 47.4347728)",,,,,,
