osmid,oneway,lanes,name,highway,maxspeed,reversed,length,width,geometry,ref,access
"[8007752, 8007395, 244686044, 8007751]",False,"['1', '2']","['Rathausstrasse', 'Fischmarktstrasse']",residential,50,"[False, True]",194.71,5.3,"LINESTRING (8.8184213 47.2266379, 8.8183411 47.2266206, 8.8182951 47.2266107, 8.8182454 47.2266, 8.8180969 47.2265641, 8.8180055 47.2265438, 8.8178902 47.2265183, 8.8176316 47.2264688, 8.8173204 47.2264141, 8.8173014 47.2264108, 8.8172481 47.2264021, 8.8168123 47.2263305, 8.8167401 47.2263246, 8.8165965 47.2263022, 8.8165591 47.2262716, 8.8165218 47.2262291, 8.8164721 47.2261104, 8.8163274 47.2258771)",,
"[26262548, 16741351]",False,2,Obere Bahnhofstrasse,primary,50,False,60.626,,"LINESTRING (8.8184213 47.2266379, 8.818424 47.2267106, 8.8184555 47.2267747, 8.8185519 47.2268745, 8.818612 47.2269523, 8.8187508 47.2271261)",,
443349626,False,3,Neue Jonastrasse,primary,50,True,76.054,,"LINESTRING (8.8184213 47.2266379, 8.8186191 47.2266663, 8.8190202 47.2267111, 8.8193047 47.2267605, 8.8194063 47.2267781)",8,
"[1225999656, 1225999657, 277723896]",False,4,Untere Bahnhofstrasse,primary,50,True,57.703,,"LINESTRING (8.8184213 47.2266379, 8.8184577 47.2265069, 8.8185113 47.2263516, 8.8185888 47.2261317)",8,
"[24669272, 787666594]",True,"['1', '2']","['Untere Bahnhofstrasse', 'Seedammstrasse']",primary,50,False,39.543,,"LINESTRING (8.8167589 47.2252935, 8.8165282 47.2252792, 8.8164371 47.2252635, 8.8162467 47.2252266)",8,
"[39362715, 428636439, 443349627, 967244279]",False,"['4', '3']",Untere Bahnhofstrasse,primary,50,False,127.007,,"LINESTRING (8.8167589 47.2252935, 8.8169616 47.2253324, 8.8171937 47.225375, 8.8173647 47.2254, 8.817497 47.2254179, 8.8176028 47.2254342, 8.8176628 47.2254437, 8.8183962 47.2255532)",8,
307316132,False,2,Neue Jonastrasse,primary,50,False,72.07,,"LINESTRING (8.8223335 47.2272775, 8.8222002 47.2272556, 8.8215771 47.2271531, 8.8214059 47.2271249)",8,
762680426,False,3,Kniestrasse,residential,50,False,63.80200000000001,,"LINESTRING (8.8223335 47.2272775, 8.8223576 47.2272029, 8.822529 47.2267193)",,
26261712,False,2,Merkurstrasse,residential,50,False,40.438,,"LINESTRING (8.8185888 47.2261317, 8.8184539 47.2261154, 8.8180658 47.226054)",,
26572504,False,,Merkurstrasse,residential,,True,96.66,,"LINESTRING (8.8185888 47.2261317, 8.8186584 47.226142, 8.8192542 47.2262311, 8.8198389 47.2263186)",,
"[277523976, 277724018]",False,3,Untere Bahnhofstrasse,primary,50,True,75.944,,"LINESTRING (8.8185888 47.2261317, 8.8186124 47.2260721, 8.8186644 47.2258935, 8.8186762 47.2258368, 8.8186829 47.2257916, 8.8186761 47.2257415, 8.8186618 47.2256995, 8.8186415 47.2256698, 8.8186128 47.225634, 8.8185714 47.2256089, 8.8185352 47.2255925, 8.8184568 47.2255679, 8.8183962 47.2255532)",8,
"[277723896, 1225999657, 1225999656]",False,4,Untere Bahnhofstrasse,primary,50,False,57.702999999999996,,"LINESTRING (8.8185888 47.2261317, 8.8185113 47.2263516, 8.8184577 47.2265069, 8.8184213 47.2266379)",8,
"[8007752, 8007395, 244686044, 8007751]",False,"['1', '2']","['Rathausstrasse', 'Fischmarktstrasse']",residential,50,"[False, True]",194.71,5.3,"LINESTRING (8.8163274 47.2258771, 8.8164721 47.2261104, 8.8165218 47.2262291, 8.8165591 47.2262716, 8.8165965 47.2263022, 8.8167401 47.2263246, 8.8168123 47.2263305, 8.8172481 47.2264021, 8.8173014 47.2264108, 8.8173204 47.2264141, 8.8176316 47.2264688, 8.8178902 47.2265183, 8.8180055 47.2265438, 8.8180969 47.2265641, 8.8182454 47.2266, 8.8182951 47.2266107, 8.8183411 47.2266206, 8.8184213 47.2266379)",,
26261712,False,2,Merkurstrasse,residential,50,True,40.438,,"LINESTRING (8.8180658 47.226054, 8.8184539 47.2261154, 8.8185888 47.2261317)",,
"[300576474, 4914803]",False,,"['Kniestrasse', 'Güterstrasse']",residential,50,True,243.639,,"LINESTRING (8.8202722 47.2255418, 8.8206624 47.2255971, 8.8208538 47.2256374, 8.8211874 47.2257645, 8.8218263 47.2259835, 8.8219963 47.2260549, 8.8224759 47.2262564, 8.822565 47.2262965, 8.8225931 47.2263158, 8.8226122 47.2263364, 8.8226294 47.2263638, 8.8226386 47.2263864, 8.82264 47.2264103, 8.8226375 47.226434, 8.8226309 47.2264597, 8.8226154 47.2265055, 8.8225573 47.2266478, 8.822529 47.2267193)",,
308577269,False,2,Güterstrasse,residential,50,False,168.392,,"LINESTRING (8.8202722 47.2255418, 8.8202132 47.2255335, 8.8201363 47.2255226, 8.8196764 47.2254574, 8.8185772 47.2253016, 8.8184805 47.2252879, 8.818415 47.2254933, 8.8183962 47.2255532)",,
"[308577273, 26572506]",False,,Tiefenaustrasse,residential,,True,92.37,,"LINESTRING (8.8202722 47.2255418, 8.8202221 47.2256308, 8.8201223 47.2258033, 8.8200825 47.2258778, 8.8199488 47.2261159, 8.8198389 47.2263186)",,
307316132,False,2,Neue Jonastrasse,primary,50,True,72.07,,"LINESTRING (8.8214059 47.2271249, 8.8215771 47.2271531, 8.8222002 47.2272556, 8.8223335 47.2272775)",8,
"[136914232, 852468906]",False,3,Neue Jonastrasse,primary,50,False,142.797,,"LINESTRING (8.8214059 47.2271249, 8.8210247 47.2270683, 8.8209662 47.2270596, 8.8208998 47.2270476, 8.8205287 47.2269803, 8.819615 47.2268146, 8.8196038 47.2268126, 8.819574 47.2268072)",8,
"[443349624, 1235809931]",False,,Glärnischstrasse,residential,,True,46.702999999999996,,"LINESTRING (8.8214059 47.2271249, 8.8213849 47.22718, 8.8213582 47.22725, 8.8212771 47.2274628, 8.8212509 47.2275315)",,
26262547,False,,Gartenstrasse,residential,,False,79.63999999999999,,"LINESTRING (8.8181839 47.2277204, 8.8183553 47.2275237, 8.8184241 47.2274448, 8.818544 47.2272956, 8.8186371 47.2271798, 8.8186824 47.2271576, 8.8187016 47.2271487, 8.8187508 47.2271261)",,
26262547,False,,Gartenstrasse,residential,,True,79.63999999999999,,"LINESTRING (8.8187508 47.2271261, 8.8187016 47.2271487, 8.8186824 47.2271576, 8.8186371 47.2271798, 8.818544 47.2272956, 8.8184241 47.2274448, 8.8183553 47.2275237, 8.8181839 47.2277204)",,
"[807447168, 807447172, 807447175, 192916462, 26262548, 807447163, 807447164]",False,"['2', '3', '4']",Obere Bahnhofstrasse,primary,50,False,193.15599999999998,,"LINESTRING (8.8187508 47.2271261, 8.8187959 47.2271845, 8.8188127 47.2272051, 8.8188402 47.2272361, 8.8188777 47.2272776, 8.8189021 47.2273028, 8.8189973 47.2273987, 8.8196228 47.2280116, 8.8197246 47.2281104, 8.8198075 47.228223, 8.8198939 47.2283445, 8.8199282 47.2283919, 8.8199612 47.2284484, 8.8199755 47.228473, 8.8200023 47.2285242, 8.820019 47.2285661, 8.8200316 47.2286174)",,
"[26262548, 16741351]",False,2,Obere Bahnhofstrasse,primary,50,True,60.626,,"LINESTRING (8.8187508 47.2271261, 8.818612 47.2269523, 8.8185519 47.2268745, 8.8184555 47.2267747, 8.818424 47.2267106, 8.8184213 47.2266379)",,
26572503,True,,Tiefenaustrasse,residential,,False,57.895,,"LINESTRING (8.819574 47.2268072, 8.8195909 47.2267761, 8.8198389 47.2263186)",,
"[136914232, 852468906]",False,3,Neue Jonastrasse,primary,50,True,142.797,,"LINESTRING (8.819574 47.2268072, 8.8196038 47.2268126, 8.819615 47.2268146, 8.8205287 47.2269803, 8.8208998 47.2270476, 8.8209662 47.2270596, 8.8210247 47.2270683, 8.8214059 47.2271249)",8,
443349625,False,3,Neue Jonastrasse,primary,50,False,13.070999999999998,,"LINESTRING (8.819574 47.2268072, 8.8194687 47.2267893, 8.8194063 47.2267781)",8,
26572504,False,,Merkurstrasse,residential,,False,96.66000000000001,,"LINESTRING (8.8198389 47.2263186, 8.8192542 47.2262311, 8.8186584 47.226142, 8.8185888 47.2261317)",,
26572504,False,,Merkurstrasse,residential,,True,207.966,,"LINESTRING (8.8198389 47.2263186, 8.8207491 47.2264537, 8.8211122 47.2265081, 8.8213815 47.2265483, 8.8216092 47.2265822, 8.8224825 47.2267124, 8.822529 47.2267193)",,
"[308577273, 26572506]",False,,Tiefenaustrasse,residential,,False,92.37,,"LINESTRING (8.8198389 47.2263186, 8.8199488 47.2261159, 8.8200825 47.2258778, 8.8201223 47.2258033, 8.8202221 47.2256308, 8.8202722 47.2255418)",,
"[300576474, 4914803]",False,,"['Güterstrasse', 'Kniestrasse']",residential,50,False,243.63899999999998,,"LINESTRING (8.822529 47.2267193, 8.8225573 47.2266478, 8.8226154 47.2265055, 8.8226309 47.2264597, 8.8226375 47.226434, 8.82264 47.2264103, 8.8226386 47.2263864, 8.8226294 47.2263638, 8.8226122 47.2263364, 8.8225931 47.2263158, 8.822565 47.2262965, 8.8224759 47.2262564, 8.8219963 47.2260549, 8.8218263 47.2259835, 8.8211874 47.2257645, 8.8208538 47.2256374, 8.8206624 47.2255971, 8.8202722 47.2255418)",,
26572504,False,,Merkurstrasse,residential,,False,207.966,,"LINESTRING (8.822529 47.2267193, 8.8224825 47.2267124, 8.8216092 47.2265822, 8.8213815 47.2265483, 8.8211122 47.2265081, 8.8207491 47.2264537, 8.8198389 47.2263186)",,
762680426,False,3,Kniestrasse,residential,50,True,63.80200000000001,,"LINESTRING (8.822529 47.2267193, 8.8223576 47.2272029, 8.8223335 47.2272775)",,
762680427,True,2,Kniestrasse,residential,50,False,46.278,,"LINESTRING (8.8222231 47.2276868, 8.822304 47.2273676, 8.8223335 47.2272775)",,
"[762680424, 28284438]",False,2,Kniestrasse,unclassified,50,False,47.82300000000001,,"LINESTRING (8.8210453 47.2300163, 8.8211391 47.23001, 8.8211985 47.2300021, 8.8212945 47.2299763, 8.8213655 47.2299441, 8.8214564 47.2298846, 8.8215006 47.2298417, 8.8215437 47.2297907)",,
28284438,False,2,Kniestrasse,unclassified,50,True,125.44900000000001,,"LINESTRING (8.8210453 47.2300163, 8.8209673 47.2300036, 8.8208439 47.2299613, 8.8206971 47.2298678, 8.8205457 47.2297375, 8.8204071 47.2296261, 8.8203212 47.229557, 8.8203022 47.2295423, 8.8202747 47.229521, 8.8202223 47.2294856, 8.8201916 47.2294689, 8.8201581 47.2294524, 8.8201236 47.2294377, 8.8200826 47.2294235, 8.8200395 47.2294135, 8.8199746 47.2294007, 8.8199096 47.229388, 8.8197579 47.2293614)",,
4794107,False,3,Zürcherstrasse,primary,50,True,85.436,,"LINESTRING (8.8197579 47.2293614, 8.8198177 47.2292181, 8.8199801 47.2288286, 8.8199917 47.2288002, 8.8200214 47.2287007, 8.8200316 47.2286174)",17,
