osmid,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,lanes,ref,tunnel,access
"[1091632124, 41844030]",Roberstenstrasse,tertiary,False,True,185.78900000000002,"LINESTRING (7.7988551 47.556336, 7.7987276 47.55624, 7.7985383 47.5561118, 7.7981397 47.5558418, 7.7974966 47.5554891, 7.7971774 47.5553431, 7.7970489 47.5552927, 7.7969713 47.5552634)",,,,,,
36820442,Hermann-Keller-Strasse,tertiary,False,False,39.440999999999995,"LINESTRING (7.7969713 47.5552634, 7.7969533 47.5552416, 7.7969557 47.5552114, 7.7970221 47.5551022, 7.7970579 47.5550432, 7.7971241 47.5549343)",,,,,,
"[41706507, 159194539, 179477373, 41706510]",Hermann-Keller-Strasse,residential,False,True,121.00599999999999,"LINESTRING (7.7969713 47.5552634, 7.7968488 47.555486, 7.7967469 47.5555437, 7.7964623 47.5555295, 7.7961578 47.555492, 7.7959845 47.5554666, 7.7959018 47.5554542, 7.7958569 47.5554513, 7.7957492 47.5554442, 7.795684 47.5554565, 7.795635 47.5554511)",yes,,,,,
"[1091632124, 41844030]",Roberstenstrasse,tertiary,False,False,185.78900000000002,"LINESTRING (7.7969713 47.5552634, 7.7970489 47.5552927, 7.7971774 47.5553431, 7.7974966 47.5554891, 7.7981397 47.5558418, 7.7985383 47.5561118, 7.7987276 47.55624, 7.7988551 47.556336)",,,,,,
"[1038101754, 40479883, 43009188, 22992747]","['Habich-Dietschy-Strasse', 'Fröschweid']","['living_street', 'residential']",False,False,370.3859999999999,"LINESTRING (7.7905029 47.5542146, 7.79039 47.5540278, 7.7903163 47.5538667, 7.7902458 47.5537473, 7.7901864 47.5536806, 7.79012 47.5536223, 7.7900336 47.553561, 7.7899703 47.553523, 7.7894991 47.5532441, 7.7888759 47.5528903, 7.7885468 47.5527016, 7.7877574 47.5522457, 7.7877065 47.552202, 7.7876974 47.5521765, 7.7877003 47.5521449, 7.7877283 47.5520486, 7.787767 47.5519161, 7.7877935 47.5518252, 7.7878283 47.5516929)",,"['20', '30']",,,,
"[178027342, 41706544, 289950930, 661752279, 1205716440]",Kaiserstrasse,primary,False,True,269.754,"LINESTRING (7.7956203 47.5529383, 7.7953745 47.5529322, 7.7952253 47.5529127, 7.7951066 47.5528917, 7.794992 47.5528611, 7.7949248 47.5528375, 7.7948936 47.5528265, 7.7947499 47.5527628, 7.7945071 47.5526437, 7.7942854 47.5525318, 7.7941942 47.5524923, 7.7939154 47.5523844, 7.7938718 47.5523695, 7.7936069 47.5522917, 7.7935183 47.5522707, 7.793426 47.552253, 7.7932936 47.5522328, 7.7931596 47.5522159, 7.7929756 47.5521984, 7.7927916 47.5521892, 7.7925363 47.5521862, 7.7923007 47.5521856)",,50,"['2', '3']",3;7,,
"[34993553, 54569492]","['Zürcherstrasse', 'Kaiserstrasse']",primary,False,False,209.269,"LINESTRING (7.7956203 47.5529383, 7.7957967 47.5529169, 7.7959763 47.5528857, 7.7960543 47.5528654, 7.7962393 47.5528171, 7.7964142 47.5527529, 7.7970409 47.5524871, 7.7974508 47.5523141, 7.7978802 47.5521521, 7.7980835 47.5520836)",,50,"['2', '3']",3;7,,
54569493,Zollrain,tertiary,False,True,36.642,"LINESTRING (7.7956203 47.5529383, 7.7956469 47.553145, 7.7956499 47.5531664, 7.7956558 47.5531951, 7.7956649 47.5532172, 7.7957059 47.5532572)",,,3,,,
"[1205716433, 54569498]",Bahnhofstrasse,residential,False,False,60.46600000000001,"LINESTRING (7.7923007 47.5521856, 7.7922817 47.5520798, 7.7922363 47.551943, 7.7922037 47.5518191, 7.7921952 47.5517715, 7.7921852 47.5517112, 7.7921814 47.5516487)",,50,3,,,
"[178027342, 41706544, 289950930, 661752279, 1205716440]",Kaiserstrasse,primary,False,False,269.754,"LINESTRING (7.7923007 47.5521856, 7.7925363 47.5521862, 7.7927916 47.5521892, 7.7929756 47.5521984, 7.7931596 47.5522159, 7.7932936 47.5522328, 7.793426 47.552253, 7.7935183 47.5522707, 7.7936069 47.5522917, 7.7938718 47.5523695, 7.7939154 47.5523844, 7.7941942 47.5524923, 7.7942854 47.5525318, 7.7945071 47.5526437, 7.7947499 47.5527628, 7.7948936 47.5528265, 7.7949248 47.5528375, 7.794992 47.5528611, 7.7951066 47.5528917, 7.7952253 47.5529127, 7.7953745 47.5529322, 7.7956203 47.5529383)",,50,"['2', '3']",3;7,,
"[1038101753, 1205716436]",Bahnhofstrasse,residential,False,True,48.373999999999995,"LINESTRING (7.7923007 47.5521856, 7.7923107 47.5522846, 7.7923232 47.5524099, 7.7923242 47.5525219, 7.7923043 47.5526192)",,,3,,,
"[1205716434, 1205716438]",Kaiserstrasse,primary,False,True,185.707,"LINESTRING (7.7923007 47.5521856, 7.7920565 47.5521884, 7.7913001 47.5521974, 7.7910308 47.5522011, 7.7905955 47.5521786, 7.790302 47.552135, 7.789853 47.5520476)",,50,"['2', '3']",3;7,,
"[39976228, 661752277, 661752278]",Schützenweg,residential,False,False,260.027,"LINESTRING (7.7923043 47.5526192, 7.7924517 47.5526411, 7.7926011 47.5526802, 7.7927663 47.5527232, 7.7928413 47.5527443, 7.7928797 47.552758, 7.7929234 47.5527798, 7.7930254 47.552839, 7.7931722 47.552936, 7.7932129 47.5529553, 7.7932517 47.5529679, 7.7933198 47.5529811, 7.7936597 47.5530385, 7.793794 47.5530612, 7.7942024 47.5531325, 7.7942819 47.5531504, 7.7943488 47.5531697, 7.7944026 47.5531881, 7.7946554 47.553293, 7.7948042 47.5533669, 7.7949296 47.5534426, 7.7950596 47.5535286, 7.7952833 47.5536966)",,,,,,
"[1038101753, 1205716436]",Bahnhofstrasse,residential,False,False,48.374,"LINESTRING (7.7923043 47.5526192, 7.7923242 47.5525219, 7.7923232 47.5524099, 7.7923107 47.5522846, 7.7923007 47.5521856)",,,3,,,
"[1038101753, 40926347]",Bahnhofstrasse,"['residential', 'living_street']",False,True,81.642,"LINESTRING (7.7923043 47.5526192, 7.7922885 47.5527081, 7.7922013 47.5530109, 7.7921598 47.5531439, 7.7920986 47.5533399)",,20,,,,
"[54571932, 1091885869]",Salinenstrasse,tertiary,False,False,114.748,"LINESTRING (7.7962561 47.553475, 7.7963945 47.5535432, 7.7965218 47.553606, 7.7965421 47.553616, 7.7966771 47.5536845, 7.7968151 47.553772, 7.7970688 47.553938, 7.7971562 47.5539962, 7.7972461 47.5540391, 7.7974391 47.554124)",,50,,,,
1091885869,Salinenstrasse,tertiary,False,True,42.345,"LINESTRING (7.7962561 47.553475, 7.796105 47.553415, 7.7958757 47.5533337, 7.7957642 47.5532887)",,50,,,,
1091885869,Salinenstrasse,tertiary,False,False,5.605,"LINESTRING (7.7957059 47.5532572, 7.7957642 47.5532887)",,50,,,,
41706534,Zollrain,residential,False,False,40.347,"LINESTRING (7.7957059 47.5532572, 7.7956188 47.553384, 7.7954604 47.5535798)",,,,,,
54569493,Zollrain,tertiary,False,False,36.642,"LINESTRING (7.7957059 47.5532572, 7.7956649 47.5532172, 7.7956558 47.5531951, 7.7956499 47.5531664, 7.7956469 47.553145, 7.7956203 47.5529383)",,,3,,,
"[40924827, 179475692, 179475694]",Zollrain,residential,False,False,44.275,"LINESTRING (7.7952833 47.5536966, 7.7951937 47.5537586, 7.795084 47.5538242, 7.7950315 47.5538433, 7.7949434 47.5538766, 7.794811 47.5539303)",,,,,building_passage,
