osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,ref,access,junction
234348195,2,Industriestrasse,residential,30,False,False,65.657,"LINESTRING (9.1059117 47.5638057, 9.1063437 47.5643192)",,,,
4497136,,Paul-Reinhart-Strasse,residential,30,False,False,86.37700000000001,"LINESTRING (9.1059117 47.5638057, 9.1057936 47.5638589, 9.105526 47.5640025, 9.1050015 47.5642809)",,,,
4556674,,Guisanstrasse,residential,30,False,True,197.473,"LINESTRING (9.1059117 47.5638057, 9.105949 47.5637738, 9.1060045 47.5637445, 9.106217 47.5636613, 9.1062639 47.5636496, 9.1063861 47.563643, 9.1066647 47.56369, 9.1067524 47.5636857, 9.1068275 47.5636682, 9.1077493 47.5633155, 9.1078093 47.5632807, 9.1079564 47.5631433, 9.1080227 47.5631116, 9.1080949 47.5630871, 9.108163 47.5630639)",,,,
234348195,2,Industriestrasse,residential,30,False,True,69.768,"LINESTRING (9.1059117 47.5638057, 9.1058159 47.5636833, 9.1054659 47.5632551)",,,,
4564613,,Steinachstrasse,residential,30,False,True,157.42600000000002,"LINESTRING (9.1159739 47.5670405, 9.1159539 47.5670068, 9.1151939 47.5657262)",,,,
591062731,,Amriswilerstrasse,tertiary,50,False,True,73.908,"LINESTRING (9.1159739 47.5670405, 9.1156495 47.5671144, 9.1150338 47.5672388)",,,,
591062731,,Amriswilerstrasse,tertiary,50,False,True,95.078,"LINESTRING (9.1150338 47.5672388, 9.113823 47.5674912)",,,,
25423698,,Gartenstrasse,residential,30,False,True,145.534,"LINESTRING (9.1150338 47.5672388, 9.1150199 47.5672063, 9.1144949 47.5659815)",,,,
591062731,,Amriswilerstrasse,tertiary,50,False,False,73.908,"LINESTRING (9.1150338 47.5672388, 9.1156495 47.5671144, 9.1159739 47.5670405)",,,,
23486351,,Kirchgasse,residential,30,False,True,128.544,"LINESTRING (9.1102605 47.5684078, 9.1103614 47.5683789, 9.110561 47.5683054, 9.1106728 47.568276, 9.110764 47.5682603, 9.1108417 47.5682516, 9.1109157 47.5682494, 9.1112567 47.5682769, 9.111428 47.5683016, 9.111569 47.5683367, 9.1117023 47.5683901, 9.1117952 47.5684498, 9.1118244 47.568483)",,,,
25115019,,Amriswilerstrasse,residential,30,False,False,26.64,"LINESTRING (9.1102605 47.5684078, 9.1102247 47.5684235, 9.1100677 47.5684834, 9.1100517 47.5684904, 9.1100348 47.5684977, 9.1099594 47.5685343)",,,,
200743879,,Amriswilerstrasse,residential,30,False,True,14.018,"LINESTRING (9.1102605 47.5684078, 9.1102786 47.5683762, 9.110294 47.5683363, 9.1103096 47.5683103, 9.1103264 47.5682904)",,,,
96020526,,Amriswilerstrasse,residential,30,True,False,13.978,"LINESTRING (9.10982 47.5686177, 9.1099594 47.5685343)",,,,
4496293,,Rathausstrasse,residential,30,True,False,30.491999999999997,"LINESTRING (9.10982 47.5686177, 9.1097993 47.5685498, 9.109682 47.5683608)",,,,
200743558,,Frauenfelderstrasse,residential,30,False,True,14.600000000000001,"LINESTRING (9.10982 47.5686177, 9.1097919 47.5686509, 9.1097626 47.5686726, 9.109699 47.5687197)",,,,
