osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,tunnel,access
216735469,False,2,2;12,Rheinstrasse,primary,50,False,22.235999999999997,"LINESTRING (7.729302 47.4878874, 7.7294922 47.4877693, 7.7295199 47.4877521)",,,
548782635,False,3,2;12,Rheinstrasse,primary,50,False,31.771,"LINESTRING (7.7323975 47.4859859, 7.7325448 47.4858701, 7.7326761 47.485771)",,,
"[788287072, 31546986, 216735469, 545746550]",False,"['2', '3']",2;12,Rheinstrasse,primary,50,True,292.467,"LINESTRING (7.7323975 47.4859859, 7.7320799 47.4862317, 7.7320182 47.4862737, 7.7319134 47.4863442, 7.7313942 47.486659, 7.7312742 47.4867305, 7.7310246 47.4868681, 7.7307162 47.4870382, 7.7306999 47.4870473, 7.7306419 47.487081, 7.7304456 47.4871944, 7.7304267 47.487205, 7.7297181 47.4876282, 7.7295199 47.4877521)",,,
18802716,False,1,,Rheinstrasse,living_street,,False,15.556,"LINESTRING (7.7334152 47.4855872, 7.7335709 47.485495)",,,
"[788287056, 678606641, 232723004]",True,"['1', '2']",2;12,Rebgasse,primary,,False,66.504,"LINESTRING (7.7334152 47.4855872, 7.7334585 47.4856117, 7.7334943 47.4856444, 7.7335251 47.48568, 7.7335671 47.4857334, 7.733734 47.4859157, 7.7337576 47.485942, 7.7337773 47.4859588, 7.7338211 47.4859932, 7.7338747 47.4860287, 7.7339375 47.4860635)",,,
548782635,False,3,2;12,Rheinstrasse,primary,50,True,31.771,"LINESTRING (7.7326761 47.485771, 7.7325448 47.4858701, 7.7323975 47.4859859)",,,
788287063,True,,2;12,Rheinstrasse,primary,,False,22.711,"LINESTRING (7.7326761 47.485771, 7.7327647 47.4856992, 7.7328815 47.4856215)",,,
790651239,False,2,,Bahnhofstrasse,tertiary,,True,18.941,"LINESTRING (7.7326761 47.485771, 7.7326378 47.4856616, 7.732608 47.4856073)",,,
5062024,True,2,2;12,Gasstrasse,primary,,False,32.736000000000004,"LINESTRING (7.7327784 47.4860533, 7.7327252 47.4859821, 7.7326973 47.4859207, 7.732691 47.4858821, 7.7326819 47.4858268, 7.7326761 47.485771)",,,
199776410,True,1,2;12,,primary,,False,30.544,"LINESTRING (7.7327784 47.4860533, 7.7326369 47.4859996, 7.7325924 47.4859868, 7.7324935 47.4859799, 7.7323975 47.4859859)",,,
35069105,False,,,Gasstrasse,tertiary,,False,65.172,"LINESTRING (7.733495 47.486576, 7.7335874 47.4866853, 7.7336791 47.4867568, 7.7338732 47.4869021, 7.7339587 47.4869739, 7.734011 47.4870431)",,,
199776441,True,2,2;12,Gasstrasse,primary,,False,81.208,"LINESTRING (7.733495 47.486576, 7.7334156 47.4865672, 7.7333433 47.4865416, 7.7332543 47.4864839, 7.7327784 47.4860533)",,,
