osmid,name,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,ref,access,bridge
51172818,Grütstrasse,secondary,50,roundabout,True,False,26.95,"LINESTRING (8.7602165 47.307512, 8.7602311 47.307487, 8.7602567 47.3074664, 8.7602906 47.3074524, 8.7603294 47.3074463, 8.7603689 47.307449, 8.7604052 47.3074599, 8.7604344 47.3074782, 8.7604536 47.3075017, 8.7604609 47.3075282)",,,,
"[778041865, 778041842, 778041836, 51172845]",Grütstrasse,secondary,50,,False,False,94.148,"LINESTRING (8.7602165 47.307512, 8.7600783 47.3074869, 8.7597483 47.3074189, 8.7596398 47.3073944, 8.7591971 47.3072969, 8.759155 47.3072873, 8.7591295 47.3072809, 8.759027 47.3072552)",,,,
166974225,Grütstrasse,secondary,50,roundabout,True,False,20.967,"LINESTRING (8.759027 47.3072552, 8.7590034 47.3072769, 8.7589704 47.3072919, 8.758932 47.3072986, 8.7588924 47.3072961, 8.7588563 47.3072848, 8.7588279 47.307266, 8.7588105 47.3072418)",,,,
"[778041865, 778041842, 778041836, 51172845]",Grütstrasse,secondary,50,,False,True,94.148,"LINESTRING (8.759027 47.3072552, 8.7591295 47.3072809, 8.759155 47.3072873, 8.7591971 47.3072969, 8.7596398 47.3073944, 8.7597483 47.3074189, 8.7600783 47.3074869, 8.7602165 47.307512)",,,,
140690434,Bergstrasse,tertiary,50,,False,True,20.341,"LINESTRING (8.761546 47.3016916, 8.7614304 47.3017797, 8.7613681 47.3018291)",,,,
"[179985939, 23741948]",Berghofstrasse,tertiary,,,False,True,269.545,"LINESTRING (8.761546 47.3016916, 8.7616527 47.3017432, 8.7617223 47.3017735, 8.7617878 47.3017967, 8.7618407 47.3018135, 8.7619012 47.3018297, 8.7619615 47.301842, 8.762142 47.3018715, 8.7629363 47.302001, 8.7630233 47.3020152, 8.7631005 47.3020278, 8.7632174 47.3020469, 8.7633063 47.3020577, 8.7633977 47.3020628, 8.7634772 47.3020631, 8.7635576 47.3020608, 8.7636513 47.3020552, 8.7638784 47.302043, 8.7639412 47.3020404, 8.7640092 47.3020383, 8.7640769 47.3020375, 8.7641457 47.302039, 8.764207 47.3020432, 8.7642661 47.3020484, 8.7643345 47.3020569, 8.7643569 47.3020602, 8.7643858 47.3020644, 8.7650033 47.3021623)",2,,,
151228012,Oelestrasse,residential,30,,False,False,166.445,"LINESTRING (8.7585738 47.3064375, 8.7586547 47.3064285, 8.7588275 47.3063678, 8.758895 47.3063401, 8.7597135 47.3059938, 8.7597535 47.3059757, 8.7601622 47.3058128, 8.7604721 47.3056819)",,,,
778041840,Laufenbachstrasse,tertiary,50,,False,False,168.91,"LINESTRING (8.7585738 47.3064375, 8.758555 47.3063082, 8.7585494 47.3062102, 8.7585508 47.3061269, 8.7585909 47.3058446, 8.7585979 47.3057865, 8.7586141 47.305666, 8.7586239 47.3055794, 8.7586148 47.3053471, 8.7585976 47.3052623, 8.7585811 47.305189, 8.7585591 47.3051078, 8.7585403 47.3050458, 8.7585291 47.3050173, 8.7585129 47.3049853, 8.7584822 47.3049326)",,,,
"[778041840, 23741949]",Laufenbachstrasse,tertiary,50,,False,True,82.415,"LINESTRING (8.7585738 47.3064375, 8.7585993 47.3065312, 8.7586252 47.3066033, 8.7586824 47.3067336, 8.7587618 47.306875, 8.7587688 47.3068875, 8.7588696 47.3070507, 8.7588785 47.3070676, 8.7588981 47.3071064, 8.7589056 47.3071412)",,,,
24972931,Chapfstrasse,residential,30,,False,False,391.71599999999995,"LINESTRING (8.7584822 47.3049326, 8.7585915 47.3048869, 8.7586519 47.3048593, 8.7587493 47.3048057, 8.7594612 47.3044127, 8.760141 47.3040034, 8.7603751 47.3038634, 8.760765 47.3036394, 8.7609526 47.3035317, 8.7609617 47.3035265, 8.7612578 47.3033411, 8.7616639 47.3030805, 8.7624045 47.3026266)",,,,
