osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width,bridge,tunnel
4496451,2,Klosterstrasse,residential,30,False,False,40.137,"LINESTRING (8.3007326 47.0493445, 8.3006128 47.0492941, 8.3002819 47.0491548)",,,,
1096136241,,Klosterstrasse,residential,30,False,True,104.893,"LINESTRING (8.3007326 47.0493445, 8.3008102 47.0493884, 8.3009555 47.0494706, 8.3016893 47.0498892, 8.3017928 47.0499511)",,,,
4496450,2,Vonmattstrasse,residential,,False,False,69.388,"LINESTRING (8.3007872 47.0464401, 8.3003629 47.0469931)",,,,
206490679,4,Pilatusstrasse,primary,50,False,False,23.813,"LINESTRING (8.3072339 47.0493716, 8.306967 47.0492585)",2;4,,,
27549448,,Theaterstrasse,residential,30,True,False,39.382,"LINESTRING (8.3072339 47.0493716, 8.3071527 47.0494673, 8.3069737 47.0496782)",,,,
184818318,4,Pilatusstrasse,primary,50,False,True,46.553,"LINESTRING (8.3072339 47.0493716, 8.3076595 47.0495552, 8.307753 47.0495956)",2;4,,,
74320153,2,Bahnhofplatz,primary,50,True,False,9.299,"LINESTRING (8.3092002 47.0509701, 8.3092194 47.0508875)",2;4,,,
1092434604,,Bruchstrasse,residential,30,False,False,6.711,"LINESTRING (8.29903 47.0517676, 8.2990493 47.0518265)",,,,
"[97664100, 32846420]","['2', '3']",Baselstrasse,primary,50,True,False,125.05799999999999,"LINESTRING (8.29903 47.0517676, 8.2994437 47.051668, 8.2997412 47.0516037, 8.2998535 47.0515834, 8.3000053 47.051559, 8.3002888 47.051515, 8.3003845 47.0515001, 8.3006133 47.0514537)",2,,,
95094998,4,Hirschengraben,primary,50,False,False,88.503,"LINESTRING (8.3017928 47.0499511, 8.3019173 47.0497638, 8.3021332 47.0494533, 8.3022788 47.0492274)",2,,,
