osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,tunnel,ref,junction,bridge,access
126260139,2,Via ai Crotti,unclassified,False,True,22.961,"LINESTRING (9.0250376 45.8315331, 9.0251441 45.8317258)",,,,,,
190927021,2,Via Carlo Cattaneo,unclassified,False,False,25.857,"LINESTRING (9.0250376 45.8315331, 9.0253669 45.8314953)",,,,,,
308423043,1,Corso San Gottardo,unclassified,False,False,46.554,"LINESTRING (9.0310493 45.8334151, 9.0315832 45.833223)",,,,,,
"[23063096, 43854270]",2,Viale Alessandro Volta,tertiary,False,False,191.253,"LINESTRING (9.0310493 45.8334151, 9.0313324 45.8336004, 9.0314966 45.8337095, 9.0317975 45.833917, 9.031867 45.8339664, 9.0321608 45.8341823, 9.0326544 45.8345529, 9.0327739 45.8346448)",,,,,,
"[594299562, 974625976, 239475769, 23063098, 23063099]","['1', '2']",Via Luigi Favre,"['unclassified', 'tertiary']",False,True,305.16900000000004,"LINESTRING (9.0310493 45.8334151, 9.0307894 45.8332567, 9.030535 45.8329619, 9.0304418 45.8328538, 9.0293907 45.8316144, 9.0293836 45.8316029, 9.0293778 45.8315841, 9.0293748 45.8315668, 9.0293935 45.8314435, 9.0294632 45.8310253)",20,yes,,,,
"[104383428, 319699839]",1,"['Via Emilio Bossi', 'Corso San Gottardo']","['living_street', 'residential']",True,False,151.70499999999998,"LINESTRING (9.0310493 45.8334151, 9.0308032 45.8335165, 9.0306436 45.8336118, 9.0308572 45.8338198, 9.0309647 45.8339992, 9.0310484 45.8341744, 9.0310703 45.834221, 9.0311154 45.8343159, 9.0312012 45.834543)",,,,,,
23063130,1,Via Curti,residential,True,False,73.926,"LINESTRING (9.0302991 45.8347597, 9.0312012 45.834543)",,,,,,
126260145,1,Via Emilio Bossi,residential,True,False,45.354,"LINESTRING (9.0312012 45.834543, 9.0312515 45.8346576, 9.0312647 45.8346878, 9.0313245 45.8348243, 9.0313722 45.8349331)",,,,,,
28465088,2,Via Maestri Comacini,primary,False,False,81.4,"LINESTRING (9.0337005 45.8329471, 9.0337324 45.8329889, 9.0339885 45.8332679, 9.0342532 45.8335695)",,,2,,,
308362386,1,,primary_link,True,False,14.74,"LINESTRING (9.0337005 45.8329471, 9.0336519 45.8329106, 9.0335928 45.8328388)",,,,,,
28465088,2,Via Maestri Comacini,primary,False,True,39.93599999999999,"LINESTRING (9.0345254 45.8338744, 9.0344818 45.8338284, 9.0344162 45.8337593, 9.0343837 45.8337214, 9.0342532 45.8335695)",,,2,,,
32882466,2,Via degli Albrici,tertiary,False,False,160.485,"LINESTRING (9.0345254 45.8338744, 9.0343698 45.8339456, 9.0338114 45.8341934, 9.0335915 45.8342946, 9.0327739 45.8346448)",,,,,,
76462362,1,Via Carlo Maderno,residential,True,False,113.227,"LINESTRING (9.0327739 45.8346448, 9.0313722 45.8349331)",,,,,,
308359736,2,Viale Alessandro Volta,tertiary,False,False,46.274,"LINESTRING (9.0327739 45.8346448, 9.0331482 45.8349691)",,,,,,
32882466,2,Via degli Albrici,tertiary,False,True,160.48499999999999,"LINESTRING (9.0327739 45.8346448, 9.0335915 45.8342946, 9.0338114 45.8341934, 9.0343698 45.8339456, 9.0345254 45.8338744)",,,,,,
"[23063096, 43854270]",2,Viale Alessandro Volta,tertiary,False,True,191.253,"LINESTRING (9.0327739 45.8346448, 9.0326544 45.8345529, 9.0321608 45.8341823, 9.031867 45.8339664, 9.0317975 45.833917, 9.0314966 45.8337095, 9.0313324 45.8336004, 9.0310493 45.8334151)",,,,,,
1211559437,1,,primary,True,False,27.021,"LINESTRING (9.0324161 45.8385271, 9.0323943 45.8384895, 9.0323913 45.8384491, 9.0324076 45.8384102, 9.0324412 45.8383772, 9.0324885 45.8383537, 9.0325443 45.8383422)",,,,roundabout,,
40247424,1,Via Como,primary,True,False,66.655,"LINESTRING (9.0326979 45.838384, 9.0327893 45.8384052, 9.0328583 45.8384133, 9.0328939 45.8384118, 9.0329391 45.8384042, 9.0331329 45.838364, 9.0333127 45.8383222, 9.0334104 45.8382835, 9.0334532 45.8382641, 9.0335008 45.8382426)",,,2,,,
1088398766,1,,primary,True,False,15.667000000000002,"LINESTRING (9.0326979 45.838384, 9.0327222 45.8384098, 9.0327365 45.8384391, 9.0327397 45.8384699, 9.032734 45.838495, 9.0327227 45.8385164)",,,,roundabout,,
1211559434,1,,primary,True,False,3.5,"LINESTRING (9.0335008 45.8382426, 9.0335068 45.8382114)",,,,roundabout,,
"[174541362, 76344804]",1,Via Valdani,residential,True,False,179.208,"LINESTRING (9.0295469 45.8386748, 9.0295294 45.8385444, 9.029459 45.8380167, 9.0294205 45.8377537, 9.0294037 45.837639, 9.0293205 45.8370709)",,,,,,
