osmid,name,highway,maxspeed,oneway,reversed,length,ref,lanes,geometry,bridge,junction,access,width
107376788,Thulegatan,residential,50,False,False,7.364,,,"LINESTRING (17.3023024 62.3864461, 17.3023348 62.3865106)",,,,
23467995,Skolhusallén,secondary,50,True,False,9.892,Y 608,,"LINESTRING (17.299267 62.3867713, 17.2993039 62.3868586)",,,,
96103471,Bergsgatan,trunk,40,True,False,160.56900000000002,E 14,2,"LINESTRING (17.299267 62.3867713, 17.2994036 62.3867553, 17.2994491 62.3867505, 17.301971 62.3864816, 17.3020428 62.3864739, 17.3023024 62.3864461)",,,,
23586253,Nybrogatan,residential,50,False,False,62.062999999999995,,,"LINESTRING (17.3104485 62.3884751, 17.3103904 62.3883741, 17.3101648 62.3879327)",,,,
42123297,Köpmangatan,tertiary,50,False,True,72.073,,,"LINESTRING (17.3104485 62.3884751, 17.3106943 62.3884483, 17.3116337 62.3883359, 17.3118054 62.3883184)",,,,
127359611,Köpmangatan,tertiary,50,False,False,68.626,,,"LINESTRING (17.3104485 62.3884751, 17.3101893 62.3885016, 17.3091502 62.3886123)",,,,
23586256,Östra Långgatan,residential,50,False,False,112.638,,,"LINESTRING (17.3027723 62.3873818, 17.3029908 62.3873583, 17.3035933 62.3872934, 17.3044439 62.3872017, 17.304727 62.3871712, 17.3049011 62.3871525)",,,,
23586256,Östra Långgatan,residential,50,False,True,162.96300000000002,,,"LINESTRING (17.3027723 62.3873818, 17.3025865 62.3874018, 17.3019425 62.3874712, 17.3015507 62.3875134, 17.3010667 62.3875655, 17.300831 62.3875909, 17.3007816 62.3875963, 17.3000884 62.3876709, 17.2999084 62.3876903, 17.2996924 62.3877136)",,,,
107376788,Thulegatan,residential,50,False,False,101.056,,,"LINESTRING (17.3027723 62.3873818, 17.302822 62.3874808, 17.302916 62.3876679, 17.3029685 62.3877725, 17.3030447 62.3879228, 17.3032192 62.3882667)",,,,
107376788,Thulegatan,residential,50,False,True,99.469,,,"LINESTRING (17.3027723 62.3873818, 17.302729 62.3872957, 17.3025867 62.3870211, 17.3025659 62.3869709, 17.3023348 62.3865106)",,,,
107376803,Östra Långgatan,residential,50,False,True,119.216,,,"LINESTRING (17.3117386 62.3864023, 17.3115264 62.3864269, 17.31111 62.3864717, 17.3100728 62.3865832, 17.309695 62.386623, 17.3094856 62.386645)",,,,
23586256,Östra Långgatan,residential,50,False,True,9.338,,,"LINESTRING (17.2996924 62.3877136, 17.2995159 62.3877326)",,,,
