osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,ref,junction,tunnel,bridge
8245927,Mjölnaregatan,residential,False,False,65.227,,"LINESTRING (12.2990038 58.2817443, 12.298136 58.2813756)",,,,,
8261262,Nydqvistsgatan,residential,False,False,42.418,,"LINESTRING (12.2990038 58.2817443, 12.298552 58.2820428)",,,,,
47079433,Österlånggatan,residential,False,True,91.956,50,"LINESTRING (12.291191 58.2868796, 12.2911397 58.286845, 12.290829 58.2866482, 12.2902492 58.2862793, 12.2901906 58.2862414)",,,,,
184722433,Garvaregatan,residential,False,False,84.916,50,"LINESTRING (12.291191 58.2868796, 12.2912794 58.2868434, 12.2922769 58.2864133, 12.2923174 58.2863974)",,,,,
8245985,Magasinsgatan,residential,False,False,85.506,50,"LINESTRING (12.2862119 58.2860972, 12.2873435 58.2856099)",,,,,
155818678,Strandgatan,residential,False,False,76.044,50,"LINESTRING (12.2862119 58.2860972, 12.286903 58.2866766)",,,,,
"[23330453, 447533895]","['Föreningsgatan', 'Strandgatan']",residential,False,"[False, True]",151.829,50,"LINESTRING (12.2862119 58.2860972, 12.2855399 58.2855063, 12.2865358 58.2850771)",,,,,
8245985,Magasinsgatan,residential,False,True,85.506,50,"LINESTRING (12.2873435 58.2856099, 12.2862119 58.2860972)",,,,,
155818607,Storgatan,residential,True,False,75.419,50,"LINESTRING (12.2873435 58.2856099, 12.2877542 58.2858719, 12.2881641 58.2861333)",,,,,
155818643,Magasinsgatan,residential,False,False,83.081,50,"LINESTRING (12.2873435 58.2856099, 12.288292 58.2851902, 12.2884327 58.2851299)",,,,,
155818643,Magasinsgatan,residential,False,True,83.081,50,"LINESTRING (12.2884327 58.2851299, 12.288292 58.2851902, 12.2873435 58.2856099)",,,,,
447533879,Magasinsgatan,residential,False,False,85.821,50,"LINESTRING (12.2884327 58.2851299, 12.2885139 58.2850956, 12.2888359 58.2849541, 12.2895808 58.284649)",,,,,
447533901,Österlånggatan,residential,False,False,75.779,50,"LINESTRING (12.2884327 58.2851299, 12.2885465 58.2852022, 12.2892565 58.2856561)",,,,,
447533904,Österlånggatan,residential,False,True,74.348,50,"LINESTRING (12.2884327 58.2851299, 12.2883348 58.2850667, 12.2877542 58.2846934, 12.2876235 58.2846141)",,,,,
447533872,Järnvägsgatan,residential,False,False,12.504,50,"LINESTRING (12.2960044 58.2870553, 12.2961835 58.2869938)",,,,,
76615434,Drottninggatan,tertiary,True,False,92.068,50,"LINESTRING (12.2960044 58.2870553, 12.2958606 58.286976, 12.2957567 58.2869086, 12.2953598 58.2866511, 12.2950002 58.2864178)",1,,,,
8261263,Djupebäcksgatan,residential,False,False,98.05,,"LINESTRING (12.2975844 58.2863784, 12.2974291 58.2861746, 12.2973108 58.2860409, 12.2970367 58.2856304, 12.2969874 58.285555)",,,,,
49402609,Tingvallavägen,residential,False,False,113.82000000000002,,"LINESTRING (12.2975844 58.2863784, 12.2977675 58.2863112, 12.2978533 58.286264, 12.2979098 58.2862095, 12.298013 58.286019, 12.2981513 58.2857514, 12.2981946 58.2856676, 12.2983025 58.2854585)",,,,,
49402609,Tingvallavägen,residential,False,True,92.10600000000001,,"LINESTRING (12.2975844 58.2863784, 12.2974398 58.286436, 12.2963818 58.2869134)",,,,,
88526841,Djupebäcksgatan,residential,False,False,81.503,50,"LINESTRING (12.2975844 58.2863784, 12.2978892 58.2865298, 12.2984065 58.2867797, 12.2984963 58.2868231, 12.298558 58.2868516, 12.2986085 58.2868758)",,,,,
8245991,Repslagaregatan,residential,True,False,77.77900000000001,,"LINESTRING (12.2969874 58.285555, 12.2971838 58.2855242, 12.2983025 58.2854585)",,,,,
8261263,Djupebäcksgatan,residential,False,False,89.343,,"LINESTRING (12.2969874 58.285555, 12.2968453 58.2853642, 12.2967586 58.2852332, 12.2967483 58.2852177, 12.2966484 58.2851144, 12.296559 58.2850548, 12.296395 58.2849543, 12.2962493 58.2848629)",,,,,
8261263,Djupebäcksgatan,residential,False,True,98.05000000000001,,"LINESTRING (12.2969874 58.285555, 12.2970367 58.2856304, 12.2973108 58.2860409, 12.2974291 58.2861746, 12.2975844 58.2863784)",,,,,
49402609,Tingvallavägen,residential,False,False,110.80400000000002,,"LINESTRING (12.2983025 58.2854585, 12.2984296 58.285189, 12.2985107 58.285017, 12.2985589 58.2849157, 12.298613 58.284786, 12.2986599 58.2846954, 12.2986921 58.2846538, 12.2987363 58.2846048, 12.2987759 58.2845674, 12.2988533 58.2845122)",,,,,
49402609,Tingvallavägen,residential,False,True,113.82,,"LINESTRING (12.2983025 58.2854585, 12.2981946 58.2856676, 12.2981513 58.2857514, 12.298013 58.286019, 12.2979098 58.2862095, 12.2978533 58.286264, 12.2977675 58.2863112, 12.2975844 58.2863784)",,,,,
