osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,ref,bridge
19805381,2,Staketgatan,tertiary,40,False,True,119.371,"LINESTRING (13.8436932 58.3915091, 13.8435812 58.3915105, 13.8435498 58.3915109, 13.8416454 58.3915326)",,,
963978545,1,,tertiary,40,True,False,15.280000000000001,"LINESTRING (13.8436932 58.3915091, 13.8436998 58.3914818, 13.8437222 58.3914569, 13.8437583 58.391437, 13.8438044 58.3914239, 13.8438559 58.391419)",roundabout,,
8204082,,Petter Heléns Gata,unclassified,40,False,False,7.533,"LINESTRING (13.8424758 58.3892853, 13.8424709 58.3892176)",,,
1053952284,,Petter Helens gata,unclassified,40,True,False,40.038,"LINESTRING (13.8424758 58.3892853, 13.8419731 58.3892892, 13.8418346 58.3892892, 13.841791 58.389282)",,,
"[1271104680, 1053952290, 1053952291, 19805351]",,Fredsgatan,"['unclassified', 'living_street']",40,True,False,130.61599999999999,"LINESTRING (13.8424758 58.3892853, 13.8424817 58.3893542, 13.8424961 58.389538, 13.8424964 58.3895869, 13.8424956 58.3896949, 13.8425241 58.3903901, 13.8425248 58.3904079, 13.8425299 58.3904595)",,,
"[8211522, 1021909294]",,Rådhusgatan,living_street,,False,False,60.2,"LINESTRING (13.8463318 58.3914677, 13.8463188 58.3913518, 13.8463026 58.3909266)",,,
"[356112201, 8212075]","['2', '3']",Rådhusgatan,tertiary,40,False,False,211.92400000000004,"LINESTRING (13.8463318 58.3914677, 13.8463388 58.391597, 13.8463468 58.3916437, 13.8464161 58.3918609, 13.8464662 58.3919769, 13.8465482 58.3921067, 13.8467346 58.3924108, 13.846963 58.3927043, 13.8469984 58.3927471, 13.8470338 58.3927874, 13.8471123 58.3928811, 13.84718 58.3929468, 13.8472917 58.3930423, 13.8473844 58.393115, 13.8474511 58.3931637, 13.8475473 58.3932382)",,,
301380000,2,Staketgatan,tertiary,40,False,True,103.727,"LINESTRING (13.8463318 58.3914677, 13.846585 58.3914616, 13.8466501 58.3914602, 13.847119 58.3914491, 13.8473457 58.3914435, 13.8481095 58.3914221)",,,
326494245,2,Staketgatan,tertiary,40,False,True,134.47500000000002,"LINESTRING (13.8463318 58.3914677, 13.8460831 58.3914692, 13.8460004 58.3914706, 13.845375 58.3914815, 13.8441378 58.3915008, 13.8440255 58.3915043)",,,
8211533,,Sandtorget,unclassified,40,False,True,57.81399999999999,"LINESTRING (13.8481095 58.3914221, 13.8480899 58.3912866, 13.8480752 58.3911546, 13.8480725 58.3910277, 13.8480697 58.3909028)",,,
301380000,2,Staketgatan,tertiary,40,False,False,103.727,"LINESTRING (13.8481095 58.3914221, 13.8473457 58.3914435, 13.847119 58.3914491, 13.8466501 58.3914602, 13.846585 58.3914616, 13.8463318 58.3914677)",,,
301380000,2,Staketgatan,tertiary,40,False,True,42.858000000000004,"LINESTRING (13.8481095 58.3914221, 13.8483185 58.3914175, 13.8488446 58.391412)",,,
89618651,3,Staketgatan,tertiary,40,False,False,42.409,"LINESTRING (13.8514669 58.3914188, 13.8518844 58.3914327, 13.8519506 58.3914325, 13.8521937 58.3914354)",,,
461961280,2,Staketgatan,tertiary,40,False,False,76.398,"LINESTRING (13.8514669 58.3914188, 13.8508818 58.3914002, 13.8501571 58.3913978)",,,
"[8211536, 1040564964]",2,Långgatan,residential,30,False,False,66.40700000000001,"LINESTRING (13.851918 58.3903009, 13.8517593 58.3903319, 13.8516734 58.3903489, 13.8515422 58.3903529, 13.8507955 58.3903604)",,,
"[1040564961, 1040564962, 1046858567, 1220224105, 1046858570, 1046858571, 361817712, 999269212]","['2', '4', '3']",Stationsgatan,tertiary,"['40', '30']",False,"[False, True]",127.805,"LINESTRING (13.851918 58.3903009, 13.8519788 58.390393, 13.8520623 58.3905732, 13.8521193 58.3907388, 13.8521527 58.3908914, 13.8521629 58.3910728, 13.8521809 58.3912025, 13.8521892 58.3912659, 13.8521892 58.3913617, 13.8521937 58.3914354)",,O 2890,
"[1040564960, 1040564963, 461961294]",2,Stationsgatan,tertiary,30,False,True,117.82300000000001,"LINESTRING (13.851918 58.3903009, 13.8517864 58.390124, 13.8516706 58.3899889, 13.8515261 58.3898323, 13.8514882 58.3897886, 13.8511995 58.3894567, 13.8510909 58.3893344)",,O 2890,
328486586,,Hertig Johans gata,unclassified,40,True,False,9.844,"LINESTRING (13.8510909 58.3893344, 13.8509467 58.3893805)",,,
"[461961292, 4862926, 4862927]",2,"['Stationsgatan', 'Skolgatan']",tertiary,40,False,True,220.87399999999997,"LINESTRING (13.8510909 58.3893344, 13.8509901 58.3892238, 13.8509159 58.3891396, 13.8508881 58.3890851, 13.8508484 58.3890075, 13.8508352 58.3888313, 13.8508173 58.3885602, 13.8508135 58.388502, 13.8508087 58.3884173, 13.8508055 58.388386, 13.8507816 58.3883188, 13.8507551 58.3882641, 13.8507321 58.3882232, 13.8507047 58.3881776, 13.8506312 58.3880809, 13.8505471 58.3879867, 13.8503596 58.3877938, 13.8500101 58.3874694)",,O 2890,yes
"[1040564960, 1040564963, 461961294]",2,Stationsgatan,tertiary,30,False,False,117.82300000000001,"LINESTRING (13.8510909 58.3893344, 13.8511995 58.3894567, 13.8514882 58.3897886, 13.8515261 58.3898323, 13.8516706 58.3899889, 13.8517864 58.390124, 13.851918 58.3903009)",,O 2890,
