osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,name
23758423,2,F 1819,secondary,80,False,False,177.007,"LINESTRING (14.0446245 57.9150256, 14.0453784 57.9149176, 14.0462212 57.9147601, 14.0465241 57.9146966, 14.0469889 57.9146032, 14.0474558 57.9145082)",
97725847,,,residential,40,False,True,62.599,"LINESTRING (14.0587631 57.9134024, 14.0584882 57.9128587)",Höjdstigen
"[28178451, 28179292, 170264837, 1135689166]",,,unclassified,"['60', '40']",False,False,803.818,"LINESTRING (14.0587631 57.9134024, 14.0585556 57.9134378, 14.0583512 57.9134901, 14.0581405 57.9135644, 14.0580034 57.9136307, 14.0576773 57.9137902, 14.0572653 57.9140182, 14.0568104 57.9142006, 14.0565643 57.9142764, 14.0563211 57.9143282, 14.0556602 57.9144741, 14.0552053 57.9146018, 14.0543827 57.9148872, 14.0537241 57.915119, 14.0532985 57.9152584, 14.05275 57.9153675, 14.05221 57.9154159, 14.0514519 57.9154283, 14.0506907 57.9154315, 14.0500627 57.915426, 14.0492813 57.9154519, 14.0488024 57.9154817, 14.0485591 57.9154871, 14.0484623 57.9154809, 14.0483707 57.9154662, 14.0483029 57.9154415, 14.0481949 57.9153833, 14.0480213 57.9152674, 14.0477333 57.9150751, 14.0476189 57.9149311, 14.0475554 57.9147264, 14.0474834 57.9145486, 14.0474558 57.9145082)",Kvillvägen
23758423,2,F 1819,secondary,80,False,True,177.007,"LINESTRING (14.0474558 57.9145082, 14.0469889 57.9146032, 14.0465241 57.9146966, 14.0462212 57.9147601, 14.0453784 57.9149176, 14.0446245 57.9150256)",
"[28178451, 28179292, 170264837, 1135689166]",,,unclassified,"['60', '40']",False,True,803.8180000000001,"LINESTRING (14.0474558 57.9145082, 14.0474834 57.9145486, 14.0475554 57.9147264, 14.0476189 57.9149311, 14.0477333 57.9150751, 14.0480213 57.9152674, 14.0481949 57.9153833, 14.0483029 57.9154415, 14.0483707 57.9154662, 14.0484623 57.9154809, 14.0485591 57.9154871, 14.0488024 57.9154817, 14.0492813 57.9154519, 14.0500627 57.915426, 14.0506907 57.9154315, 14.0514519 57.9154283, 14.05221 57.9154159, 14.05275 57.9153675, 14.0532985 57.9152584, 14.0537241 57.915119, 14.0543827 57.9148872, 14.0552053 57.9146018, 14.0556602 57.9144741, 14.0563211 57.9143282, 14.0565643 57.9142764, 14.0568104 57.9142006, 14.0572653 57.9140182, 14.0576773 57.9137902, 14.0580034 57.9136307, 14.0581405 57.9135644, 14.0583512 57.9134901, 14.0585556 57.9134378, 14.0587631 57.9134024)",Kvillvägen
97725828,,,residential,40,False,True,128.844,"LINESTRING (14.0606414 57.9127024, 14.0601456 57.9127065, 14.0596884 57.9127271, 14.0593281 57.9127559, 14.0589058 57.9128012, 14.0584882 57.9128587)",Höjdstigen
97725847,,,residential,40,False,False,62.599,"LINESTRING (14.0584882 57.9128587, 14.0587631 57.9134024)",Höjdstigen
97725828,,,residential,40,False,False,128.844,"LINESTRING (14.0584882 57.9128587, 14.0589058 57.9128012, 14.0593281 57.9127559, 14.0596884 57.9127271, 14.0601456 57.9127065, 14.0606414 57.9127024)",Höjdstigen
97725828,,,residential,40,False,True,118.13199999999999,"LINESTRING (14.0584882 57.9128587, 14.0576351 57.9129761, 14.0573561 57.9129926, 14.0571004 57.9129885, 14.0568176 57.9129741, 14.0565232 57.9129494)",Höjdstigen
97725828,,,residential,40,False,False,118.132,"LINESTRING (14.0565232 57.9129494, 14.0568176 57.9129741, 14.0571004 57.9129885, 14.0573561 57.9129926, 14.0576351 57.9129761, 14.0584882 57.9128587)",Höjdstigen
