osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,junction,lanes,access
1222661092,Norra Kyrkogränden,living_street,40,True,False,98.92,"LINESTRING (12.8279354 55.8696526, 12.8279053 55.8696073, 12.8274092 55.8688707, 12.8273765 55.8688201)",,,,
28159547,Norra Långgatan,residential,40,False,True,225.56099999999998,"LINESTRING (12.8323514 55.8690648, 12.8308569 55.8692664, 12.8300296 55.8693786, 12.8289823 55.8695139, 12.8288336 55.8695328)",,,,
148893967,Järnvägsgatan,residential,40,False,False,83.86499999999998,"LINESTRING (12.8323514 55.8690648, 12.8322513 55.8688116, 12.8322354 55.8687184, 12.8322588 55.868641, 12.8324309 55.8685206, 12.8325657 55.8684179, 12.8326093 55.8683852)",,,,
"[28160005, 148893967]","['Östergatan', 'Järnvägsgatan']",residential,40,False,True,242.57700000000003,"LINESTRING (12.8323514 55.8690648, 12.8326548 55.8698282, 12.832728 55.8700338, 12.8328196 55.8702853, 12.8328763 55.870321, 12.8329635 55.870352, 12.8330632 55.8703775, 12.8331816 55.8703913, 12.833318 55.8703897, 12.8335715 55.8703686, 12.8344117 55.8702916)",,,,
435551100,Österleden,tertiary,40,False,False,52.36,"LINESTRING (12.8326093 55.8683852, 12.831979 55.8680743)",,,2,
27942573,Österleden,tertiary,40,False,True,262.47200000000004,"LINESTRING (12.8326093 55.8683852, 12.8334974 55.8688094, 12.8340473 55.8690735, 12.8343518 55.8692048, 12.8348748 55.8694003, 12.8349841 55.8694429, 12.83527 55.8695526, 12.8355315 55.8696828, 12.8356752 55.8697559, 12.8357891 55.8698199, 12.8358193 55.8698338, 12.8358719 55.8698684)",,,2,
148893967,Järnvägsgatan,residential,40,False,True,83.865,"LINESTRING (12.8326093 55.8683852, 12.8325657 55.8684179, 12.8324309 55.8685206, 12.8322588 55.868641, 12.8322354 55.8687184, 12.8322513 55.8688116, 12.8323514 55.8690648)",,,,
"[1202695889, 39900198]",Slottsvägen,unclassified,40,False,False,121.452,"LINESTRING (12.8258737 55.8709159, 12.825442 55.8712144, 12.8253305 55.8712931, 12.8246635 55.8717714)",,,,
"[44023297, 65985234]",Parkgatan,residential,40,True,False,122.88900000000001,"LINESTRING (12.8258737 55.8709159, 12.825789 55.8709114, 12.8257107 55.8708863, 12.8251169 55.8706195, 12.8249756 55.8703289, 12.8249148 55.8702037, 12.8248956 55.8701641, 12.8248741 55.8701192, 12.8248492 55.8700593)",,,,
28159547,Norra Långgatan,residential,40,False,False,225.561,"LINESTRING (12.8288336 55.8695328, 12.8289823 55.8695139, 12.8300296 55.8693786, 12.8308569 55.8692664, 12.8323514 55.8690648)",,,,
28159547,Norra Långgatan,residential,40,False,True,57.599000000000004,"LINESTRING (12.8288336 55.8695328, 12.828672 55.8695544, 12.8279354 55.8696526)",,,,
"[235719460, 20587213]",Storgatan,tertiary,40,False,True,104.157,"LINESTRING (12.8288336 55.8695328, 12.8288956 55.8696205, 12.8292174 55.8700759, 12.8293884 55.8703055, 12.8294584 55.8704014)",,,,
435551078,Storgatan,tertiary,40,False,False,100.70499999999998,"LINESTRING (12.8288336 55.8695328, 12.8287749 55.8694506, 12.8283141 55.8688044, 12.8282258 55.8686939)",,,,
435551065,Drottninggatan,residential,40,False,True,54.815,"LINESTRING (12.8282258 55.8686939, 12.8273765 55.8688201)",,,,
43978237,Drottninggatan,residential,40,False,False,246.56000000000003,"LINESTRING (12.8282258 55.8686939, 12.8293044 55.8685482, 12.8300041 55.868449, 12.8304084 55.8683916, 12.8304883 55.8683803, 12.8307692 55.8683404, 12.8313145 55.8682644, 12.8316341 55.8682199, 12.8317597 55.8681944, 12.8318208 55.8681658, 12.8319246 55.8681071, 12.831979 55.8680743)",,,,
338607600,Storgatan,tertiary,40,False,False,42.116,"LINESTRING (12.8282258 55.8686939, 12.828045 55.8684276, 12.8279848 55.8683401)",,,,
435551078,Storgatan,tertiary,40,False,True,100.70499999999998,"LINESTRING (12.8282258 55.8686939, 12.8283141 55.8688044, 12.8287749 55.8694506, 12.8288336 55.8695328)",,,,
32653040,Lilla Strandgatan,unclassified,40,False,False,49.292,"LINESTRING (12.8265736 55.8663097, 12.8258073 55.8664175)",,,,
"[284982067, 284982069, 44023103]",Lilla Strandgatan,tertiary,40,False,True,102.873,"LINESTRING (12.8265736 55.8663097, 12.8267444 55.8662853, 12.8270147 55.8662467, 12.8273213 55.8662161, 12.8275158 55.8661916, 12.8277062 55.8661472, 12.8279067 55.86611, 12.8280777 55.8660622, 12.8281293 55.8660321)",,,,
338607600,Storgatan,tertiary,40,False,True,77.324,"LINESTRING (12.8265736 55.8663097, 12.826606 55.8663573, 12.8270154 55.8669594)",,,,
338607599,Parkgatan,residential,40,False,True,92.283,"LINESTRING (12.824513 55.8692511, 12.8247179 55.8697415, 12.8248275 55.8700044, 12.8248492 55.8700593)",,,,
705899032,Selma Lagerlöfs väg,residential,40,False,False,63.139,"LINESTRING (12.8238646 55.8701906, 12.8248492 55.8700593)",,,,
722754962,Kungsgatan,residential,40,False,False,87.824,"LINESTRING (12.8259195 55.867911, 12.8254755 55.8671615)",,,,
20587210,Kungsgatan,residential,40,False,True,121.874,"LINESTRING (12.8259195 55.867911, 12.8262951 55.8685096, 12.8263277 55.8685638, 12.8263696 55.8686338, 12.8265559 55.8689472)",,,,
28159550,Södra Långgatan,unclassified,40,True,False,81.761,"LINESTRING (12.8259195 55.867911, 12.8257172 55.867939, 12.8246471 55.8680869)",,,,
28159543,Tullgatan,residential,40,False,True,86.936,"LINESTRING (12.8246471 55.8680869, 12.8243085 55.8673285)",,,,
"[802012785, 28159546]","['Hamngatan', 'Södra Långgatan']",unclassified,40,False,False,128.338,"LINESTRING (12.8246471 55.8680869, 12.8240677 55.8681671, 12.8240046 55.8681758, 12.8236537 55.8674181)",,,,
28159542,Stora Strandgatan,residential,40,False,False,42.052,"LINESTRING (12.8236537 55.8674181, 12.8237373 55.8674067, 12.8243085 55.8673285)",,,,
"[802012785, 28159545]","['Hamngatan', 'Lilla Strandgatan']",unclassified,40,False,False,162.031,"LINESTRING (12.8236537 55.8674181, 12.8235286 55.8671654, 12.8235246 55.8671244, 12.823532 55.8670879, 12.8235973 55.8670278, 12.8244712 55.8666118, 12.8246579 55.8665329, 12.8248033 55.8664927, 12.8251095 55.8665514)",,,,
"[802012785, 28159546]","['Hamngatan', 'Södra Långgatan']",unclassified,40,False,True,128.338,"LINESTRING (12.8236537 55.8674181, 12.8240046 55.8681758, 12.8240677 55.8681671, 12.8246471 55.8680869)",,,,
28159543,Tullgatan,residential,40,False,False,86.936,"LINESTRING (12.8243085 55.8673285, 12.8246471 55.8680869)",,,,
28159542,Stora Strandgatan,residential,40,False,False,75.143,"LINESTRING (12.8243085 55.8673285, 12.82533 55.8671823, 12.8254755 55.8671615)",,,,
28159542,Stora Strandgatan,residential,40,False,True,42.052,"LINESTRING (12.8243085 55.8673285, 12.8237373 55.8674067, 12.8236537 55.8674181)",,,,
435551100,Österleden,tertiary,40,False,True,52.36,"LINESTRING (12.831979 55.8680743, 12.8326093 55.8683852)",,,2,
43978237,Drottninggatan,residential,40,False,True,246.56,"LINESTRING (12.831979 55.8680743, 12.8319246 55.8681071, 12.8318208 55.8681658, 12.8317597 55.8681944, 12.8316341 55.8682199, 12.8313145 55.8682644, 12.8307692 55.8683404, 12.8304883 55.8683803, 12.8304084 55.8683916, 12.8300041 55.868449, 12.8293044 55.8685482, 12.8282258 55.8686939)",,,,
435551101,Österleden,tertiary,40,False,False,135.784,"LINESTRING (12.831979 55.8680743, 12.8316478 55.8679095, 12.8313876 55.8677817, 12.8312345 55.8677028, 12.8310316 55.8675973, 12.8307114 55.8674338, 12.83055 55.8673345, 12.8303986 55.8672367)",,,,
28159549,Södra Långgatan,residential,40,False,False,62.366,"LINESTRING (12.827517 55.8676769, 12.8284835 55.8675338)",,,,
338607600,Storgatan,tertiary,40,False,False,85.701,"LINESTRING (12.827517 55.8676769, 12.8270154 55.8669594)",,,,
338607600,Storgatan,tertiary,40,False,True,79.31,"LINESTRING (12.827517 55.8676769, 12.8276747 55.8679004, 12.8277203 55.8679651, 12.8277401 55.8679932, 12.8279848 55.8683401)",,,,
28159549,Södra Långgatan,residential,40,False,True,26.0,"LINESTRING (12.8303986 55.8672367, 12.8302904 55.8672458, 12.8301677 55.8672847, 12.8300131 55.8673192)",,,,
435551101,Österleden,tertiary,40,False,False,101.648,"LINESTRING (12.8303986 55.8672367, 12.8302943 55.8671555, 12.83004 55.8669598, 12.8298036 55.866817, 12.8292914 55.8665731)",,,,
435551101,Österleden,tertiary,40,False,True,135.784,"LINESTRING (12.8303986 55.8672367, 12.83055 55.8673345, 12.8307114 55.8674338, 12.8310316 55.8675973, 12.8312345 55.8677028, 12.8313876 55.8677817, 12.8316478 55.8679095, 12.831979 55.8680743)",,,,
35997784,,residential,40,True,False,15.752999999999998,"LINESTRING (12.835935 55.8715056, 12.8359037 55.8715035, 12.8358732 55.8714988, 12.8358445 55.8714915, 12.835818 55.8714819, 12.8357945 55.87147, 12.8357745 55.8714563, 12.8357585 55.8714411, 12.8357469 55.8714246)",,roundabout,,
35997811,Regeringsgatan,residential,40,False,False,88.97399999999999,"LINESTRING (12.835935 55.8715056, 12.8359346 55.8715391, 12.8359339 55.8715899, 12.835905 55.8718738, 12.8358945 55.8719855, 12.8358826 55.8721348, 12.8358969 55.8723048)",,,,
35997784,,residential,40,True,False,18.741,"LINESTRING (12.8361461 55.871407, 12.8361374 55.8714275, 12.8361221 55.8714467, 12.8361008 55.8714641, 12.8360743 55.871479, 12.8360433 55.8714909, 12.836009 55.8714995, 12.8359725 55.8715044, 12.835935 55.8715056)",,roundabout,,
35997811,Regeringsgatan,residential,40,False,False,97.15100000000001,"LINESTRING (12.8358969 55.8723048, 12.8359542 55.8723998, 12.8361445 55.8726133, 12.8366109 55.8730796)",,,,
35997811,Regeringsgatan,residential,40,False,True,88.974,"LINESTRING (12.8358969 55.8723048, 12.8358826 55.8721348, 12.8358945 55.8719855, 12.835905 55.8718738, 12.8359339 55.8715899, 12.8359346 55.8715391, 12.835935 55.8715056)",,,,
"[540033921, 436259908]",Skolallén,residential,40,False,False,109.285,"LINESTRING (12.8358969 55.8723048, 12.8353969 55.8724046, 12.8343936 55.872606, 12.8342465 55.8726343)",,,,
35998437,Borgmästaregatan,residential,40,False,False,85.273,"LINESTRING (12.8348904 55.8715155, 12.833572 55.8717179)",,,,
35998437,Borgmästaregatan,residential,40,False,True,54.452,"LINESTRING (12.8348904 55.8715155, 12.8353248 55.8714594, 12.8355892 55.8714323, 12.8356362 55.87143, 12.8357469 55.8714246)",,,,
35998456,Rådmansgatan,residential,40,False,False,139.34,"LINESTRING (12.8348904 55.8715155, 12.8348645 55.8714509, 12.8347393 55.871139, 12.8344918 55.8705146, 12.8344308 55.8703561, 12.8344117 55.8702916)",,,,
35998437,Borgmästaregatan,residential,40,False,True,55.172,"LINESTRING (12.8302668 55.8722717, 12.8303968 55.8722484, 12.8311098 55.8721217)",,,,
220681917,Eriksgatan,tertiary,40,False,True,72.37899999999999,"LINESTRING (12.8302668 55.8722717, 12.8303419 55.8723969, 12.8306006 55.872895)",,,,
