osmid,lanes,name,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,bridge,tunnel
236467451,2,Framtidsrondellen,trunk,60,roundabout,True,False,13.169,"LINESTRING (15.4148991 60.4873682, 15.4149106 60.4874272, 15.414886 60.4874851)",,,
9706190,,,residential,40,,True,False,10.478,"LINESTRING (15.4176611 60.4862394, 15.4175404 60.4861663)",,,
154535898,2,Tjärnavägen,trunk,60,,True,False,198.36399999999998,"LINESTRING (15.4176611 60.4862394, 15.4169885 60.4865476, 15.4163892 60.4868181, 15.4156101 60.4871011, 15.4153392 60.4871777, 15.4151407 60.4872213, 15.4150334 60.4872609, 15.4149985 60.4872788, 15.414965 60.4873006, 15.4149355 60.4873303, 15.4148991 60.4873682)",E 16;70,,
8873671,,Georg Karlssons gata,residential,40,,True,False,113.603,"LINESTRING (15.4162638 60.4819563, 15.4160789 60.4820051, 15.4159279 60.4820452, 15.4158177 60.4820831, 15.4156658 60.4821374, 15.4153948 60.4822436, 15.4148807 60.4824288, 15.4146624 60.4824957, 15.4145444 60.4825226)",,,
43172284,2,Kupolenrondellen,trunk,60,roundabout,True,False,25.584,"LINESTRING (15.4162638 60.4819563, 15.4161432 60.4819408, 15.4160384 60.4819144, 15.4159703 60.4818873, 15.4158734 60.4818395)",,,
"[25693619, 967902909, 967902911]","['2', '3']",,trunk,60,,True,False,294.902,"LINESTRING (15.4205837 60.4835031, 15.4202668 60.4834461, 15.4198932 60.4833717, 15.4193878 60.4832529, 15.4190186 60.4831446, 15.4186801 60.4830337, 15.418265 60.4828826, 15.4179358 60.4827372, 15.4175917 60.4825683, 15.4172966 60.4824071, 15.4170106 60.4822408, 15.4168372 60.4821417, 15.4167003 60.4820792, 15.4165255 60.4820235, 15.4163022 60.4819587)",50,,
31114846,2,Backarondellen,trunk,60,roundabout,True,False,14.76,"LINESTRING (15.4216313 60.4838047, 15.4215721 60.4837715, 15.4215252 60.4837338, 15.421492 60.4836926)",E 16;50;70,,
236467443,2,Backarondellen,trunk,60,roundabout,True,False,6.623,"LINESTRING (15.4223895 60.4837876, 15.4223003 60.4838278)",E 16;50;70,,
"[154535898, 967902906]","['2', '3']",Tjärnavägen,trunk,60,,True,False,311.036,"LINESTRING (15.4216416 60.4842728, 15.4213848 60.4844887, 15.4211638 60.4846478, 15.4209456 60.4847901, 15.4207552 60.4849038, 15.4203626 60.4851051, 15.4198669 60.4853209, 15.4193112 60.4855752, 15.4176611 60.4862394)",E 16;70,,
4254503,2,Hagavägen,tertiary,40,,False,False,165.07,"LINESTRING (15.4213026 60.4899134, 15.4214114 60.489873, 15.42231 60.4894208, 15.4229166 60.4891121, 15.4231475 60.4889946, 15.4234167 60.4888565)",,,
