osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,junction,lanes
39325014,False,Södervångsgatan,residential,40,True,86.62,"LINESTRING (13.0792322 55.6378038, 13.0794206 55.6378819, 13.0803446 55.6382649)",,,
28582089,False,Ringvägen,unclassified,40,True,40.031,"LINESTRING (13.0795988 55.6375092, 13.0792322 55.6378038)",,,
89514567,False,Pilgatan,residential,40,False,84.075,"LINESTRING (13.0795988 55.6375092, 13.0807402 55.637905)",,,
28582089,False,Ringvägen,unclassified,40,False,118.91000000000001,"LINESTRING (13.0795988 55.6375092, 13.0801601 55.6369988, 13.0804691 55.6366949, 13.0805594 55.6365882)",,,
28582089,False,Ringvägen,unclassified,40,False,117.258,"LINESTRING (13.0809923 55.6361748, 13.0819471 55.6352684)",,,
28582089,False,Ringvägen,unclassified,40,True,53.397,"LINESTRING (13.0809923 55.6361748, 13.0805594 55.6365882)",,,
208664685,False,Rusthållarevägen,residential,40,False,160.914,"LINESTRING (13.0809923 55.6361748, 13.0810965 55.6362283, 13.081661 55.6364669, 13.0820544 55.6366378, 13.0823368 55.6367493, 13.0830551 55.637033)",,,
208664685,False,Rusthållarevägen,residential,40,True,68.039,"LINESTRING (13.0809923 55.6361748, 13.0809122 55.6361414, 13.0803725 55.6359167, 13.0801361 55.6358002)",,,
39325014,False,Södervångsgatan,residential,40,False,86.62,"LINESTRING (13.0803446 55.6382649, 13.0794206 55.6378819, 13.0792322 55.6378038)",,,
165787907,False,Lundavägen,secondary,40,False,136.792,"LINESTRING (13.0792985 55.6360028, 13.0774218 55.6353773)",M 852,,
39325012,False,Tegelbruksgatan,residential,40,False,155.232,"LINESTRING (13.0792985 55.6360028, 13.0791571 55.6360888, 13.0786937 55.6363907, 13.0786187 55.6364595, 13.0782417 55.6372291)",,,
"[1116234585, 1116234587]",False,Lundavägen,secondary,40,True,102.46999999999998,"LINESTRING (13.0792985 55.6360028, 13.079422 55.6360602, 13.0803475 55.6364898, 13.0803874 55.6365083, 13.0805594 55.6365882)",M 852,,
28582092,False,Norrevångsgatan,residential,40,False,99.404,"LINESTRING (13.0795006 55.6389225, 13.0784121 55.6382731)",,,
208664685,False,Rusthållarevägen,residential,40,False,68.039,"LINESTRING (13.0801361 55.6358002, 13.0803725 55.6359167, 13.0809122 55.6361414, 13.0809923 55.6361748)",,,
208664685,False,Rusthållarevägen,residential,40,True,37.614,"LINESTRING (13.0835438 55.6372288, 13.0830551 55.637033)",,,
1160861190,False,Svenshögsvägen,tertiary,40,False,37.643,"LINESTRING (13.0839564 55.6374647, 13.0838669 55.6375793, 13.0837121 55.6376995, 13.0836464 55.6377525)",,,
