osmid,name,highway,maxspeed,width,oneway,reversed,length,geometry,bridge,ref,junction,lanes
48980278,Ågärdsgatan,tertiary,50,6.0,False,False,77.877,"LINESTRING (15.9904714 59.5176728, 15.9899976 59.517568, 15.989554 59.5174333, 15.9894601 59.5173985, 15.9892739 59.5173296)",,,,
"[45746992, 978397804, 45746998]",Ågärdsgatan,tertiary,50,12.0,False,"[False, True]",161.30200000000002,"LINESTRING (15.9904714 59.5176728, 15.9906412 59.5177006, 15.9907442 59.5177174, 15.9909463 59.5177364, 15.9914116 59.5177734, 15.9917119 59.5177789, 15.9918864 59.5177821, 15.9926206 59.5177527, 15.9928067 59.5177452, 15.9930723 59.5177286, 15.9933012 59.5177143)",yes,,,
50064345,Sveavägen,residential,40,8.5,False,False,155.224,"LINESTRING (15.9913758 59.5120113, 15.9914253 59.5119796, 15.9917612 59.5117276, 15.9919072 59.5116099, 15.9926977 59.5109929, 15.992904 59.510851)",,,,
493753227,Sveavägen,residential,40,8.5,True,False,50.852999999999994,"LINESTRING (15.9913758 59.5120113, 15.9912577 59.5121138, 15.9910942 59.5121886, 15.9908273 59.5122736, 15.9907723 59.5122954, 15.9907208 59.5123132)",,,,
695667471,Glasgatan,residential,40,,True,False,25.917,"LINESTRING (15.9956408 59.5142454, 15.9958012 59.5141838, 15.9959671 59.5140834)",,,,
695667477,Cpl Torggatan,tertiary,40,5.0,True,False,12.080000000000002,"LINESTRING (15.9956408 59.5142454, 15.9957066 59.5142551, 15.9957539 59.5142707, 15.9957854 59.5142862, 15.9958084 59.514306)",,U 558,roundabout,
978397705,,tertiary,40,8.0,True,False,4.773,"LINESTRING (15.9902974 59.512318, 15.9902964 59.5122966, 15.9903037 59.5122754)",,U 558,roundabout,1
45753467,Villagatan,residential,30,,False,True,55.135,"LINESTRING (15.9993588 59.5159486, 16.0001261 59.5160845, 16.0002751 59.5161201)",,,,
"[445760991, 46173437, 46173407]",Glasgatan,residential,40,,False,False,224.747,"LINESTRING (15.9959671 59.5140834, 15.9961179 59.5139508, 15.9961941 59.5138851, 15.9962304 59.5138538, 15.9968624 59.5133633, 15.9968853 59.5133418, 15.9969247 59.5133104, 15.9969643 59.5132584, 15.9974586 59.5128849, 15.997516 59.5128475, 15.9975824 59.5128114, 15.9977361 59.5126945, 15.9978982 59.5125711, 15.9981357 59.512391)",,,,
695667470,Glasgatan,residential,40,,True,False,26.329,"LINESTRING (15.9959671 59.5140834, 15.995873 59.5142079, 15.9958354 59.5142625, 15.9958084 59.514306)",,,,
695667478,Jämmertunagatan,residential,30,,False,False,51.825,"LINESTRING (15.9966268 59.5151927, 15.9971834 59.5148219)",,,,
46173405,Virgatan,residential,30,,False,False,70.477,"LINESTRING (15.9966268 59.5151927, 15.9964016 59.5150911, 15.9961501 59.5149804, 15.9958993 59.514868, 15.9956404 59.5148134)",,,,
46173405,Virgatan,residential,30,,False,True,133.267,"LINESTRING (15.9966268 59.5151927, 15.9966699 59.5152116, 15.9966946 59.5152224, 15.9971296 59.5154613, 15.9972808 59.5155442, 15.9974031 59.5156113, 15.9975835 59.5157102, 15.9982379 59.5160689)",,,,
46173439,Villagatan,residential,30,,False,True,49.739,"LINESTRING (15.9982146 59.5150192, 15.9983885 59.5151836, 15.998635 59.5154124)",,,,
978397810,Humlegårdsgatan,residential,40,,False,True,49.964,"LINESTRING (16.0007306 59.5133757, 16.000235 59.5137481)",,,,
