osmid,name,highway,maxspeed,oneway,reversed,length,geometry,access,lanes,ref,width,bridge,junction
37917892,Fabriksgatan,tertiary,50,False,True,50.927,"LINESTRING (12.9419164 57.7171542, 12.9417455 57.7171242, 12.9416838 57.7171117, 12.9411121 57.7169956)",,,,,,
167641352,Bryggaregatan,residential,50,False,True,60.548,"LINESTRING (12.9419164 57.7171542, 12.9418565 57.7172449, 12.9418373 57.7172727, 12.9415663 57.7176656)",,,,,,
182263542,Fabriksgatan,tertiary,50,False,False,78.015,"LINESTRING (12.9419164 57.7171542, 12.9420523 57.7171826, 12.9421646 57.7172045, 12.9431491 57.7173966)",,,,,,
37917892,Fabriksgatan,tertiary,50,False,False,50.92699999999999,"LINESTRING (12.9411121 57.7169956, 12.9416838 57.7171117, 12.9417455 57.7171242, 12.9419164 57.7171542)",,,,,,
118937725,Fabriksgatan,tertiary,50,True,False,44.45400000000001,"LINESTRING (12.9411121 57.7169956, 12.9409631 57.7169825, 12.9407685 57.7169467, 12.9406747 57.7169367, 12.9405062 57.716935, 12.9403807 57.716947)",,,,,,
"[3677104, 67262685, 1157816214]",Sven Eriksonsplatsen,"['residential', 'unclassified']",50,False,False,123.197,"LINESTRING (12.9347465 57.7200313, 12.9345184 57.7200546, 12.9342483 57.7200888, 12.9340614 57.7200951, 12.93385 57.7200756, 12.9336449 57.7200422, 12.9335494 57.7200209, 12.9327642 57.7198541)",no,,,,,
176535657,Sven Eriksonsgatan,tertiary,50,False,True,77.351,"LINESTRING (12.9347465 57.7200313, 12.9346616 57.7198498, 12.934655 57.7197507, 12.934684 57.7196422, 12.934725 57.7195469, 12.9347708 57.719467, 12.9348112 57.719406, 12.9348462 57.7193556)",,,,,,
182263529,Sven Eriksonsgatan,tertiary,50,False,False,223.76099999999997,"LINESTRING (12.9347465 57.7200313, 12.9347827 57.720118, 12.9348767 57.7203402, 12.9349765 57.7205821, 12.9351642 57.7210368, 12.9352005 57.7211634, 12.9352351 57.7214645, 12.9351714 57.7220161)",,,,,,
117034654,Stationsgatan,residential,50,False,True,48.024,"LINESTRING (12.9351714 57.7220161, 12.9349743 57.7220276, 12.9347651 57.7220248, 12.9346203 57.7219961, 12.934438 57.7219073)",,,,,,
182263529,Sven Eriksonsgatan,tertiary,50,False,False,173.153,"LINESTRING (12.9351714 57.7220161, 12.9351899 57.7220822, 12.935205 57.7221219, 12.9352603 57.7222623, 12.9353461 57.7223882, 12.9354965 57.7225293, 12.9361445 57.7229137, 12.9366119 57.7231291, 12.9367675 57.7231836, 12.9368761 57.7232101)",,,,,,
182263529,Sven Eriksonsgatan,tertiary,50,False,True,223.76100000000002,"LINESTRING (12.9351714 57.7220161, 12.9352351 57.7214645, 12.9352005 57.7211634, 12.9351642 57.7210368, 12.9349765 57.7205821, 12.9348767 57.7203402, 12.9347827 57.720118, 12.9347465 57.7200313)",,,,,,
4265634,Kungsgatan,primary,50,True,False,9.359,"LINESTRING (12.9425122 57.7240487, 12.9424621 57.7241285)",,2,42,,,
151528319,Engelbrektsgatan,residential,50,True,False,115.00800000000001,"LINESTRING (12.9425122 57.7240487, 12.9426893 57.7240771, 12.9441447 57.7243487, 12.9443448 57.7243832)",,,,,,
509861554,Södra Kyrkogatan,residential,50,False,True,10.122,"LINESTRING (12.9434629 57.7225509, 12.9433017 57.7225213)",,,,,,
4265634,Kungsgatan,primary,50,True,False,175.863,"LINESTRING (12.9434629 57.7225509, 12.9430125 57.7232589, 12.9425583 57.7239851, 12.9425122 57.7240487)",,2,42,,,
509861554,Södra Kyrkogatan,residential,50,False,False,115.05499999999999,"LINESTRING (12.9434629 57.7225509, 12.9440948 57.7226713, 12.9452879 57.7228985)",,,,,,
4265634,Kungsgatan,primary,50,True,False,46.042,"LINESTRING (12.9443936 57.721086, 12.9441489 57.7214789)",,2,42,,,
28927138,Västerlånggatan,residential,50,False,False,168.74,"LINESTRING (12.9379434 57.723111, 12.9378565 57.7230067, 12.9378095 57.7229028, 12.9377867 57.7228119, 12.9378135 57.7227424, 12.9379917 57.7224654, 12.9383744 57.7216497)",,,,6.5,,
37930116,Yxhammarsgatan,residential,50,False,False,33.115,"LINESTRING (12.9379434 57.723111, 12.9380629 57.7232096, 12.9381847 57.7232989, 12.9382853 57.7233436)",,2,,,,
"[182263529, 37930115, 124058301]","['Nybro', 'Sven Eriksonsgatan']",tertiary,50,False,True,65.68900000000001,"LINESTRING (12.9379434 57.723111, 12.9378142 57.7231349, 12.9373991 57.7232036, 12.9372476 57.7232301, 12.9370871 57.7232321, 12.9368761 57.7232101)",,,,,yes,
"[182263529, 37930115, 124058301]","['Nybro', 'Sven Eriksonsgatan']",tertiary,50,False,False,65.689,"LINESTRING (12.9368761 57.7232101, 12.9370871 57.7232321, 12.9372476 57.7232301, 12.9373991 57.7232036, 12.9378142 57.7231349, 12.9379434 57.723111)",,,,,yes,
182263529,Sven Eriksonsgatan,tertiary,50,False,True,173.153,"LINESTRING (12.9368761 57.7232101, 12.9367675 57.7231836, 12.9366119 57.7231291, 12.9361445 57.7229137, 12.9354965 57.7225293, 12.9353461 57.7223882, 12.9352603 57.7222623, 12.935205 57.7221219, 12.9351899 57.7220822, 12.9351714 57.7220161)",,,,,,
