osmid,highway,oneway,reversed,length,geometry,ref,name,maxspeed,lanes,junction
22745240,residential,False,False,83.506,"LINESTRING (32.4280432 35.0319041, 32.4281699 35.0319412, 32.4283554 35.0319971, 32.4289038 35.0321637)",,,,,
344063357,primary,False,False,126.60500000000002,"LINESTRING (32.4280432 35.0319041, 32.4278976 35.0320989, 32.4278105 35.03218, 32.4276547 35.0322797, 32.4276301 35.0322954, 32.4275014 35.0323664, 32.4274084 35.0324081, 32.4271463 35.0325257, 32.426987 35.0326115)",B7,Constantinou Poleos,50,,
4832735,secondary,False,False,37.525000000000006,"LINESTRING (32.4256809 35.0337335, 32.4255992 35.033599, 32.4255074 35.0334275)",E713,Vasileiou Stasiokou,50,,
8053657,primary,False,True,173.24,"LINESTRING (32.4256809 35.0337335, 32.4257988 35.0336096, 32.4258688 35.0335365, 32.4259111 35.0334728, 32.4259807 35.0333862, 32.4261103 35.0332729, 32.4264652 35.0330216, 32.4268312 35.0327244, 32.426987 35.0326115)",B7,Kyproleontos,50,,
27333338,primary,False,False,38.318,"LINESTRING (32.4256809 35.0337335, 32.4256308 35.0338002, 32.4255161 35.033925, 32.4254475 35.0340197)",B7,Griva Digeni,,,
183782302,secondary,False,True,21.578,"LINESTRING (32.4235956 35.0317405, 32.42377 35.0318719)",E713,Vasileiou Stasiokou,50,3,
27295831,residential,False,False,198.03300000000002,"LINESTRING (32.4235956 35.0317405, 32.4231517 35.0321578, 32.4230465 35.0322982, 32.4229821 35.0324046, 32.4229126 35.0326042, 32.42287 35.0327916, 32.4228508 35.0328742, 32.4228168 35.032959, 32.4227601 35.0330639, 32.4226943 35.0331444, 32.4225821 35.0332766)",,Martiou 25,,,
"[344059350, 344059351]",secondary,False,False,151.061,"LINESTRING (32.4235956 35.0317405, 32.4228013 35.0311559, 32.4226555 35.0310541, 32.4224821 35.0309557, 32.4223535 35.0309006, 32.4223151 35.0308841)",E713,Vasileiou Stasiokou,50,,
27295757,residential,False,False,184.77300000000002,"LINESTRING (32.4237633 35.0365285, 32.4238726 35.0366557, 32.4239637 35.0367896, 32.4240474 35.0369851, 32.4241373 35.0371601, 32.4242315 35.0373033, 32.4244352 35.0375474, 32.4246403 35.0378387, 32.4247188 35.0379867)",,Verginas,,,
27295760,residential,False,False,64.827,"LINESTRING (32.4237633 35.0365285, 32.4237364 35.0365075, 32.423365 35.0362182, 32.4232531 35.036122)",,Ag. Kyriakis,,,
27333799,residential,False,True,82.668,"LINESTRING (32.4237633 35.0365285, 32.4238885 35.0364863, 32.4241718 35.0364631, 32.4243948 35.0364467, 32.4246586 35.0364388)",,Apostolou Andrea,,,
5204739,residential,False,False,50.296,"LINESTRING (32.4278331 35.0373845, 32.4277956 35.0376084, 32.4277119 35.0378241)",,Megalou Alexandrou,,,
8054117,residential,False,False,57.945,"LINESTRING (32.4278331 35.0373845, 32.4278485 35.0371344, 32.4278248 35.0368644)",,Megalou Alexandrou,,,
27295749,residential,False,False,125.72300000000001,"LINESTRING (32.4278331 35.0373845, 32.4273347 35.0372351, 32.426799 35.0370552, 32.4265583 35.036953)",,Apostolou Andrea,,,
22764612,residential,False,False,73.722,"LINESTRING (32.4278289 35.0363761, 32.4286376 35.0364095)",,Idaliou,,,
8054117,residential,False,False,58.716,"LINESTRING (32.4278289 35.0363761, 32.4278158 35.0362205, 32.4277753 35.0361339, 32.4276032 35.0359705, 32.4275366 35.0359378)",,Megalou Alexandrou,,,
8054117,residential,False,True,54.298,"LINESTRING (32.4278289 35.0363761, 32.427827 35.0366123, 32.4278248 35.0368644)",,Megalou Alexandrou,,,
5204655,secondary,False,False,177.86799999999997,"LINESTRING (32.4249167 35.0352516, 32.4258901 35.0354892, 32.4262575 35.0355789, 32.426748 35.0356986, 32.4267888 35.0357088)",,Makariou III,50,,
5410510,residential,False,False,135.413,"LINESTRING (32.4249167 35.0352516, 32.4247344 35.0356743, 32.4247144 35.0357208, 32.4246835 35.0358945, 32.4246586 35.0364388)",,Evagora Pallikaridi,50,,
8053680,primary,False,True,145.283,"LINESTRING (32.4249167 35.0352516, 32.4251494 35.0347402, 32.4252423 35.0345092, 32.4253523 35.0342324, 32.4254475 35.0340197)",B7,Evogora Pallikaridi,50,,
27295883,residential,False,True,61.976,"LINESTRING (32.4249167 35.0352516, 32.4247263 35.0352296, 32.4246524 35.0352202, 32.4245316 35.0352049, 32.4243758 35.0351839, 32.4242483 35.0351515)",,,,,
683934924,secondary,False,True,10.007,"LINESTRING (32.428252 35.0355633, 32.4282166 35.0356485)",,Makariou III,,,
"[735278037, 27295543]",secondary,True,False,33.978,"LINESTRING (32.428252 35.0355633, 32.4282022 35.0355259, 32.4280849 35.0354006, 32.4280215 35.0353242)",E704,Arsinois,"['30', '50']",2,
