osmid,lanes,highway,oneway,reversed,length,geometry,name,ref,bridge,junction,access
539385640,2,primary,False,False,81.97200000000001,"LINESTRING (5.2244879 7.626439, 5.2244416 7.6263593, 5.2244329 7.6262629, 5.2244202 7.6257146)",,,,,
539385640,2,primary,False,True,134.317,"LINESTRING (5.2244879 7.626439, 5.2245977 7.6264719, 5.2249673 7.6264736, 5.2253054 7.6265241, 5.2256646 7.6266809)",,,,,
539536419,,residential,False,True,127.666,"LINESTRING (5.2268196 7.6276892, 5.226979 7.626552)",,,,,
539385640,2,primary,False,False,169.725,"LINESTRING (5.2268196 7.6276892, 5.2264543 7.6273662, 5.2259839 7.6269308, 5.2256646 7.6266809)",,,,,
544720534,1,unclassified,False,False,22.356,"LINESTRING (5.2211161 7.6187974, 5.220914 7.6188146)",Irona quarters,,,,
544465648,,unclassified,False,False,256.105,"LINESTRING (5.2211161 7.6187974, 5.2212015 7.6191082, 5.2212578 7.6194126, 5.2212954 7.6198566, 5.2213651 7.6202766, 5.2214362 7.6205677, 5.2215726 7.62105)",,,,,
544465615,,unclassified,False,False,279.398,"LINESTRING (5.218214 7.6227564, 5.2188831 7.6228044, 5.2189819 7.6228102, 5.219792 7.6229136, 5.2201407 7.6229378, 5.2207396 7.6229436)",,,,,
543845308,2,primary,True,False,42.669,"LINESTRING (5.2246803 7.6203098, 5.2246493 7.6206923)",Akure - Ado Ekiti Road,F209,,,
544720564,1,residential,False,False,90.4,"LINESTRING (5.2246803 7.6203098, 5.2254568 7.6205717)",ijigbo street,,,,
242472219,1,residential,False,True,202.547,"LINESTRING (5.2272424 7.6203679, 5.2266512 7.6205478, 5.2261622 7.6206567, 5.2259309 7.6206726, 5.2256875 7.6206394, 5.2254568 7.6205717)",ijigbo street,,,,
390898126,,unclassified,False,False,121.398,"LINESTRING (5.2207396 7.6229436, 5.2208468 7.6225388, 5.2209587 7.6222617, 5.2211445 7.6219353)",Igbehin street,,,,
390898126,,unclassified,False,True,202.708,"LINESTRING (5.2207396 7.6229436, 5.2207235 7.6234473, 5.2206564 7.6241477, 5.2207025 7.6247615)",Igbehin street,,,,
544465615,,unclassified,False,True,279.39799999999997,"LINESTRING (5.2207396 7.6229436, 5.2201407 7.6229378, 5.219792 7.6229136, 5.2189819 7.6228102, 5.2188831 7.6228044, 5.218214 7.6227564)",,,,,
544720534,1,unclassified,False,True,22.356,"LINESTRING (5.220914 7.6188146, 5.2211161 7.6187974)",Irona quarters,,,,
"[544696843, 544696844, 544465621]",1,unclassified,False,False,85.059,"LINESTRING (5.220914 7.6188146, 5.2205014 7.6188849, 5.2204671 7.6188886, 5.2204277 7.6188928, 5.2201527 7.6189394)",Irona quarters,,yes,,
543845308,2,primary,True,False,170.221,"LINESTRING (5.2245838 7.6212909, 5.224476 7.622818)",Akure - Ado Ekiti Road,F209,,,
544493971,,unclassified,False,True,9.668,"LINESTRING (5.2245838 7.6212909, 5.2244966 7.6213004)",Igbehin street,,,,
390898126,,unclassified,False,False,53.547999999999995,"LINESTRING (5.2211445 7.6219353, 5.2212859 7.6217507, 5.2213688 7.6216555, 5.2214652 7.6215764)",Igbehin street,,,,
390898126,,unclassified,False,True,121.398,"LINESTRING (5.2211445 7.6219353, 5.2209587 7.6222617, 5.2208468 7.6225388, 5.2207396 7.6229436)",Igbehin street,,,,
544493925,,residential,False,False,326.865,"LINESTRING (5.2211445 7.6219353, 5.2212189 7.6223635, 5.2213141 7.6232967, 5.2213128 7.6248638)",,,,,
544493971,,unclassified,False,True,90.505,"LINESTRING (5.2228326 7.6214738, 5.2220124 7.6214339)",Igbehin street,,,,
544493971,,unclassified,False,False,184.416,"LINESTRING (5.2228326 7.6214738, 5.2230477 7.6214576, 5.2244966 7.6213004)",Igbehin street,,,,
"[544720596, 544720597]",,residential,False,False,123.98299999999999,"LINESTRING (5.2228326 7.6214738, 5.2228108 7.6207684, 5.2228564 7.6206647, 5.2229717 7.6205903, 5.2231252 7.6205415)",,,,,
539385640,2,primary,False,False,12.894,"LINESTRING (5.2243665 7.6249051, 5.2243351 7.6247934)",,,,,
539536419,,residential,False,False,186.972,"LINESTRING (5.2243665 7.6249051, 5.2260295 7.6245727)",,,,,
539385640,2,primary,False,True,90.45,"LINESTRING (5.2243665 7.6249051, 5.2243987 7.6250446, 5.2244202 7.6257146)",,,,,
604884039,,unclassified,True,False,30.044,"LINESTRING (5.2208482 7.6254283, 5.2206136 7.6252907)",,,,,
390898129,,unclassified,False,True,134.54500000000002,"LINESTRING (5.2208482 7.6254283, 5.2209062 7.6256237, 5.2210003 7.6258807, 5.2212527 7.6263253, 5.2213779 7.6265103)",Oke Age Street,,,,
390898129,,unclassified,False,False,112.358,"LINESTRING (5.2219459 7.6273494, 5.2213779 7.6265103)",Oke Age Street,,,,
540122107,,residential,False,False,340.00000000000006,"LINESTRING (5.2219459 7.6273494, 5.2224889 7.6268032, 5.2226981 7.6265799, 5.2230066 7.6262715, 5.2231126 7.6261572, 5.2232695 7.6260522, 5.2236879 7.6258448, 5.2238917 7.6257664, 5.2242029 7.6257119, 5.2244202 7.6257146)",,,,,
963925080,,residential,False,False,248.584,"LINESTRING (5.2207025 7.6247615, 5.2189102 7.6261187)",,,,,
390898126,,unclassified,False,False,202.708,"LINESTRING (5.2207025 7.6247615, 5.2206564 7.6241477, 5.2207235 7.6234473, 5.2207396 7.6229436)",Igbehin street,,,,
390898126,,unclassified,False,True,35.128,"LINESTRING (5.2207025 7.6247615, 5.2207002 7.6248936, 5.2207204 7.6250763)",Igbehin street,,,,
539378161,,primary,False,True,22.141000000000002,"LINESTRING (5.2242478 7.6246152, 5.2242685 7.6246405, 5.2242887 7.624687, 5.2243074 7.6247309, 5.2243351 7.6247934)",,,,,
604834137,2,primary,True,False,370.324,"LINESTRING (5.2242478 7.6246152, 5.2242852 7.6245327, 5.2243045 7.6244129, 5.2243153 7.6242814, 5.2243343 7.623947, 5.2243535 7.6233762, 5.2243901 7.6228123, 5.2244966 7.6213004)",Akure - Ado Ekiti Road,F209,,,
539385640,2,primary,False,False,134.317,"LINESTRING (5.2256646 7.6266809, 5.2253054 7.6265241, 5.2249673 7.6264736, 5.2245977 7.6264719, 5.2244879 7.626439)",,,,,
539385640,2,primary,False,True,169.725,"LINESTRING (5.2256646 7.6266809, 5.2259839 7.6269308, 5.2264543 7.6273662, 5.2268196 7.6276892)",,,,,
