osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,access,maxspeed,junction
341788110,False,2,N 4,Avenue Nelson Mandela,trunk,True,15.867,"LINESTRING (-1.5261287 12.3699947, -1.5262699 12.3699581)",,,
55388315,False,2,N 4,Avenue de la Nation,trunk,False,139.291,"LINESTRING (-1.5261287 12.3699947, -1.5255287 12.3701272, -1.5248774 12.3702691)",,,
294323758,False,2,,Rue Joseph Badoua,residential,True,135.459,"LINESTRING (-1.5261287 12.3699947, -1.5261036 12.3699033, -1.5260766 12.3697759, -1.5258858 12.3688746, -1.5258702 12.3688031)",,,
312543373,False,2,,Rue Joseph Badoua,residential,False,87.669,"LINESTRING (-1.5261287 12.3699947, -1.526222 12.3703274, -1.526342 12.3707551)",,,
27733007,False,2,,Avenue du Médiateur du Faso,residential,False,119.939,"LINESTRING (-1.5285755 12.368344, -1.5287258 12.3694126)",,,
264549368,False,4,N 4,Avenue Nelson Mandela,trunk,False,24.717,"LINESTRING (-1.5285755 12.368344, -1.5283517 12.3683843)",,,
264549368,False,4,N 4,Avenue Nelson Mandela,trunk,True,135.57299999999998,"LINESTRING (-1.5285755 12.368344, -1.529008 12.3682466, -1.529104 12.3682233, -1.5293647 12.368202, -1.5295734 12.3681608, -1.5298012 12.3681239)",,,
207200108,False,,,Rue Raag-Naba Wanda,residential,True,100.063,"LINESTRING (-1.5225222 12.3684752, -1.5226972 12.3693587)",,,
27733007,False,2,,Avenue du Médiateur du Faso,residential,True,95.453,"LINESTRING (-1.5288522 12.3702621, -1.5288108 12.369983, -1.5287258 12.3694126)",,,
55388311,False,2,3.38,,residential,False,211.226,"LINESTRING (-1.5288522 12.3702621, -1.5280867 12.3704124, -1.5269456 12.3706365)",,,
