osmid,oneway,name,highway,reversed,length,lanes,geometry,ref,maxspeed
208418329,True,Arenales,residential,False,83.65899999999999,,"LINESTRING (-58.0154833 -35.5767899, -58.0154038 -35.5768242, -58.0145767 -35.5767308)",,
322182744,False,Soler,residential,False,82.97,,"LINESTRING (-58.017502 -35.5759386, -58.0184117 -35.5760351)",,
322182744,False,Soler,residential,True,82.393,,"LINESTRING (-58.017502 -35.5759386, -58.016595 -35.575869)",,
1199222979,True,Juárez,residential,False,97.218,,"LINESTRING (-58.017502 -35.5759386, -58.0176368 -35.5750712)",,
179135496,True,Washington,residential,False,103.722,,"LINESTRING (-58.0164113 -35.5768963, -58.0162447 -35.5778192)",,
208418327,False,Arenales,residential,True,84.757,,"LINESTRING (-58.0164113 -35.5768963, -58.0154833 -35.5767899)",,
208418327,False,Arenales,residential,False,82.244,,"LINESTRING (-58.0164113 -35.5768963, -58.0166136 -35.5769194, -58.0173118 -35.5769995)",,
339406381,True,Belgrano,secondary,False,10.163,,"LINESTRING (-58.0147638 -35.5756504, -58.0147481 -35.5757409)",,
322182745,True,Soler,residential,False,84.134,,"LINESTRING (-58.0147638 -35.5756504, -58.015616 -35.5757455, -58.0156562 -35.5757922)",,
179135496,True,Washington,residential,False,115.433,,"LINESTRING (-58.016595 -35.575869, -58.0164113 -35.5768963)",,
322182744,False,Soler,residential,False,82.393,,"LINESTRING (-58.016595 -35.575869, -58.017502 -35.5759386)",,
322182744,False,Soler,residential,True,85.334,,"LINESTRING (-58.016595 -35.575869, -58.0156562 -35.5757922)",,
1199222980,False,Remedios de Escalada,residential,True,85.72,,"LINESTRING (-58.0158191 -35.5748526, -58.0167567 -35.5749654)",,
322182743,True,Remedios de Escalada,residential,False,83.60499999999999,,"LINESTRING (-58.0158191 -35.5748526, -58.0157392 -35.5748855, -58.0149138 -35.5747836)",,
179135496,True,Washington,residential,False,101.535,,"LINESTRING (-58.0167567 -35.5749654, -58.016595 -35.575869)",,
1199222980,False,Remedios de Escalada,residential,False,85.72,,"LINESTRING (-58.0167567 -35.5749654, -58.0158191 -35.5748526)",,
1199222980,False,Remedios de Escalada,residential,True,80.462,,"LINESTRING (-58.0167567 -35.5749654, -58.0176368 -35.5750712)",,
776674763,False,Remedios de Escalada,residential,True,83.113,,"LINESTRING (-58.0176368 -35.5750712, -58.0185459 -35.5751805)",,
1199222980,False,Remedios de Escalada,residential,False,80.462,,"LINESTRING (-58.0176368 -35.5750712, -58.0167567 -35.5749654)",,
322023546,False,Mitre,secondary,False,82.313,,"LINESTRING (-58.0132716 -35.5795243, -58.0131377 -35.5802565)",,
322023546,False,Mitre,secondary,True,34.062,,"LINESTRING (-58.0132716 -35.5795243, -58.0133286 -35.5792215)",,
322133696,True,Lavalle,residential,False,83.755,,"LINESTRING (-58.0132716 -35.5795243, -58.0123523 -35.579433)",,
322182744,False,Soler,residential,True,44.514,,"LINESTRING (-58.0188987 -35.5760931, -58.0184117 -35.5760351)",,
642010276,False,Orzali,residential,False,96.339,,"LINESTRING (-58.0188987 -35.5760931, -58.0191487 -35.5752509)",,
40550523,True,Quintana,residential,False,106.521,,"LINESTRING (-58.0114703 -35.5763268, -58.0112975 -35.5772744)",,
208418329,True,Arenales,residential,False,115.285,,"LINESTRING (-58.0114703 -35.5763268, -58.0103208 -35.5761817, -58.0102311 -35.5761279)",,
208418329,True,Arenales,residential,False,108.528,,"LINESTRING (-58.012655 -35.5764822, -58.0114703 -35.5763268)",,
322289652,True,Alvear,residential,False,9.822,,"LINESTRING (-58.012655 -35.5764822, -58.0126723 -35.576395)",,
40550581,True,Libres del Sur,secondary,False,9.879,,"LINESTRING (-58.013804 -35.5766397, -58.0138199 -35.5765518)",,
208418329,True,Arenales,residential,False,105.38,,"LINESTRING (-58.013804 -35.5766397, -58.012655 -35.5764822)",,
208418329,True,Arenales,residential,False,70.613,,"LINESTRING (-58.0145767 -35.5767308, -58.013804 -35.5766397)",,
339406381,True,Belgrano,secondary,False,99.717,,"LINESTRING (-58.0145767 -35.5767308, -58.0144255 -35.5776191)",,
322133692,True,Avenida Presidente Perón,secondary,False,20.674,,"LINESTRING (-58.0088776 -35.5771491, -58.0088185 -35.5773287)",,
322133707,True,,residential,False,16.321,,"LINESTRING (-58.010043 -35.5772818, -58.0100285 -35.5771355)",,
422468481,True,Avenida Lastra,secondary,False,106.425,1,"LINESTRING (-58.010043 -35.5772818, -58.0089312 -35.5771552, -58.0088776 -35.5771491)",,
322133698,True,Moreno,residential,False,82.708,,"LINESTRING (-58.0109067 -35.5773801, -58.0107771 -35.5781164)",,
422468481,True,Avenida Lastra,secondary,False,78.873,1,"LINESTRING (-58.0109067 -35.5773801, -58.010043 -35.5772818)",,
422468481,True,Avenida Lastra,secondary,False,33.24,1,"LINESTRING (-58.0112707 -35.5774215, -58.0109067 -35.5773801)",,
97903665,True,,residential,False,17.077,,"LINESTRING (-58.0127479 -35.5774346, -58.0127209 -35.5775866)",,
208418333,True,Avenida Lastra,secondary,False,82.875,1,"LINESTRING (-58.0127479 -35.5774346, -58.013656 -35.5775345)",,
179135510,False,,residential,True,16.695,,"LINESTRING (-58.0118025 -35.5774821, -58.0118297 -35.5773336)",,
422468481,True,Avenida Lastra,secondary,False,48.565,1,"LINESTRING (-58.0118025 -35.5774821, -58.0112707 -35.5774215)",,
322289652,True,Alvear,residential,False,16.961,,"LINESTRING (-58.012464 -35.5775573, -58.012493 -35.5774066)",,
422468481,True,Avenida Lastra,secondary,False,60.406,1,"LINESTRING (-58.012464 -35.5775573, -58.0118025 -35.5774821)",,
322133691,True,Alsina,residential,False,90.823,,"LINESTRING (-58.0127209 -35.5775866, -58.0125612 -35.578393)",,
422468481,True,Avenida Lastra,secondary,False,23.461,1,"LINESTRING (-58.0127209 -35.5775866, -58.012464 -35.5775573)",,
322023546,False,Mitre,secondary,False,92.33,,"LINESTRING (-58.0136229 -35.5776888, -58.0134562 -35.578508)",,
422468481,True,Avenida Lastra,secondary,False,82.363,1,"LINESTRING (-58.0136229 -35.5776888, -58.0127209 -35.5775866)",,
179135501,True,,secondary,False,23.28,,"LINESTRING (-58.0136229 -35.5776888, -58.0135807 -35.5776632, -58.0135693 -35.5776363, -58.0135681 -35.5776091, -58.0135776 -35.5775841, -58.0135995 -35.5775544, -58.013656 -35.5775345)",,
208418332,True,Avenida Lastra,secondary,False,70.919,1,"LINESTRING (-58.0144008 -35.5777693, -58.0136229 -35.5776888)",,
379853430,True,Sarmiento,secondary,False,95.483,,"LINESTRING (-58.0144008 -35.5777693, -58.014257 -35.57862)",,
191286707,False,,residential,True,16.265,,"LINESTRING (-58.0152979 -35.5778626, -58.015325 -35.577718)",,
208418332,True,Avenida Lastra,secondary,False,81.792,1,"LINESTRING (-58.0152979 -35.5778626, -58.0144008 -35.5777693)",,
191286705,False,,residential,True,15.648,,"LINESTRING (-58.0162193 -35.5779584, -58.0162447 -35.5778192)",,
208418332,True,Avenida Lastra,secondary,False,84.007,1,"LINESTRING (-58.0162193 -35.5779584, -58.0152979 -35.5778626)",,
322133703,True,Santa Fe,residential,False,101.902,,"LINESTRING (-58.0162193 -35.5779584, -58.0160581 -35.5788654)",,
