osmid,oneway,name,highway,reversed,length,geometry,maxspeed,ref,lanes
93671610,True,San Martín,residential,False,142.672,"LINESTRING (-68.7902677 -32.9835543, -68.7887789 -32.9838487)",,,
261316434,True,Ozamis,secondary,False,141.627,"LINESTRING (-68.7902677 -32.9835543, -68.7906156 -32.9847941)",,,
93670946,True,Vergara,residential,False,146.826,"LINESTRING (-68.7906156 -32.9847941, -68.7921516 -32.9845051)",,,
261316434,True,Ozamis,secondary,False,146.436,"LINESTRING (-68.7906156 -32.9847941, -68.7909753 -32.986076)",,,
93670945,True,General Manuel Belgrano,residential,False,147.602,"LINESTRING (-68.7918074 -32.9832478, -68.7902677 -32.9835543)",,,
280940230,True,20 de Junio,residential,False,143.704,"LINESTRING (-68.7918074 -32.9832478, -68.7914445 -32.9819918)",,,
93670931,True,Bernardino Rivadavia,tertiary,False,140.556,"LINESTRING (-68.7925588 -32.9804479, -68.7910946 -32.9807466)",,,
93670940,True,Mercedes T. de San Martín,residential,False,144.049,"LINESTRING (-68.7925588 -32.9804479, -68.7929366 -32.981704)",,,
280940230,True,20 de Junio,residential,False,7.477,"LINESTRING (-68.7910946 -32.9807466, -68.791077 -32.980681)",,,
93670931,True,Bernardino Rivadavia,tertiary,False,147.172,"LINESTRING (-68.7910946 -32.9807466, -68.7896796 -32.981024, -68.789555 -32.9810202)",,,
280940230,True,20 de Junio,residential,False,72.571,"LINESTRING (-68.7924989 -32.9857707, -68.7923192 -32.9851357)",,,
280940227,False,Palma,secondary,False,146.106,"LINESTRING (-68.7924989 -32.9857707, -68.7909918 -32.9860727, -68.7909753 -32.986076)",40,,
93671621,False,Tropero Sosa,secondary,False,140.098,"LINESTRING (-68.7909753 -32.986076, -68.789514 -32.9863675)",40,,
162153993,True,Ozamis Sur,secondary,False,148.912,"LINESTRING (-68.7909753 -32.986076, -68.791343 -32.9873792)",,RP2,
280940227,False,Palma,secondary,True,146.106,"LINESTRING (-68.7909753 -32.986076, -68.7909918 -32.9860727, -68.7924989 -32.9857707)",40,,
