osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,ref,width,bridge
182060467,San Francisco de Asis,residential,False,False,142.665,,,"LINESTRING (-64.80139 -23.9377395, -64.7999977 -23.9375759)",,,
"[575547169, 275524533]",Avenida de los Niños,residential,False,True,70.15,2,110,"LINESTRING (-64.80139 -23.9377395, -64.8013343 -23.9380566, -64.8012806 -23.9383624)",,,
182060456,Hipólito Yrigoyen,residential,False,True,72.517,,,"LINESTRING (-64.8020609 -23.9382009, -64.801943 -23.9388441)",,,
575547168,Argüello,residential,False,True,114.065,,,"LINESTRING (-64.8020609 -23.9382009, -64.8031636 -23.938392)",,,
1036441514,,residential,False,False,51.117,,,"LINESTRING (-64.8020609 -23.9382009, -64.802019 -23.9381722, -64.8018063 -23.9381238, -64.8017222 -23.9381088, -64.8015792 -23.9380831)",,,
182060466,San Pantaleón,residential,False,True,142.948,,,"LINESTRING (-64.8012806 -23.9383624, -64.7998861 -23.9381945)",,,
"[575547169, 275524533]",Avenida de los Niños,residential,False,False,70.15,2,110,"LINESTRING (-64.8012806 -23.9383624, -64.8013343 -23.9380566, -64.80139 -23.9377395)",,,
575547169,Avenida de los Niños,residential,False,True,88.203,2,110,"LINESTRING (-64.8012806 -23.9383624, -64.8012585 -23.9384668, -64.8009042 -23.938968, -64.8008745 -23.939054)",,,
182060471,San José,residential,False,False,114.668,,,"LINESTRING (-64.8008745 -23.939054, -64.7997634 -23.9388747)",,,
575547169,Avenida de los Niños,residential,False,False,88.203,2,110,"LINESTRING (-64.8008745 -23.939054, -64.8009042 -23.938968, -64.8012585 -23.9384668, -64.8012806 -23.9383624)",,,
575547169,Avenida de los Niños,residential,False,True,119.163,2,110,"LINESTRING (-64.8008745 -23.939054, -64.800697 -23.9399323, -64.8006611 -23.9399912, -64.8005908 -23.9400818)",,,
182060384,Joaquín Carrillo,residential,False,True,146.891,,,"LINESTRING (-64.8018285 -23.9394821, -64.8032536 -23.9397025)",,,
182060456,Hipólito Yrigoyen,residential,False,False,71.89,,,"LINESTRING (-64.8018285 -23.9394821, -64.801943 -23.9388441)",,,
182060456,Hipólito Yrigoyen,residential,False,True,66.433,,,"LINESTRING (-64.8018285 -23.9394821, -64.8017263 -23.9400722)",,,
182060384,Joaquín Carrillo,residential,False,False,146.891,,,"LINESTRING (-64.8032536 -23.9397025, -64.8018285 -23.9394821)",,,
