osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,name,ref,bridge
55743381,True,2,residential,40,False,59.097,"LINESTRING (-58.6975992 -34.6662043, -58.6976297 -34.6661642, -58.6977179 -34.6656855)",,,
614367923,True,,residential,40,False,172.278,"LINESTRING (-58.7019127 -34.6675531, -58.7000506 -34.6673188)",Italia,,
614367924,False,,residential,40,True,170.12,"LINESTRING (-58.7019127 -34.6675531, -58.7035696 -34.6677736, -58.7037497 -34.6677935)",Italia,,
960100516,True,,residential,40,False,147.399,"LINESTRING (-58.7019127 -34.6675531, -58.7018773 -34.6674862, -58.7018827 -34.6674206, -58.7021209 -34.66625)",Quintana,,
230287304,True,,residential,40,False,147.028,"LINESTRING (-58.7039902 -34.6664865, -58.7039195 -34.6668595, -58.7039152 -34.6668817, -58.7038923 -34.6670026, -58.7038521 -34.6672146, -58.703757 -34.6677017, -58.7037497 -34.6677935)",Roque Sáenz Peña,,
953609943,False,4,primary,40,False,172.969,"LINESTRING (-58.7039902 -34.6664865, -58.7038526 -34.6664694, -58.7021209 -34.66625)",Avenida Presidente Juan Domingo Perón,RP7,
230525094,False,4,primary,40,False,172.361,"LINESTRING (-58.7021209 -34.66625, -58.7003146 -34.6660127, -58.70026 -34.6660048)",Avenida Presidente Juan Domingo Perón,RP7,
"[953609944, 937278460, 953609941]",True,1,tertiary,20,False,260.024,"LINESTRING (-58.7021209 -34.66625, -58.7021948 -34.6661841, -58.7022988 -34.6661373, -58.7023879 -34.66613, -58.7024734 -34.6661338, -58.7033412 -34.6662494, -58.7034041 -34.6662442, -58.7034334 -34.6662272, -58.7034661 -34.6661996, -58.7034785 -34.6661596, -58.7034798 -34.6661225, -58.703461 -34.6660863, -58.7034368 -34.6660626, -58.7034066 -34.6660476, -58.7024959 -34.6659259, -58.7022431 -34.6658334)",Puente Mario Meoni,,yes
953609943,False,4,primary,40,True,172.969,"LINESTRING (-58.7021209 -34.66625, -58.7038526 -34.6664694, -58.7039902 -34.6664865)",Avenida Presidente Juan Domingo Perón,RP7,
1221452753,False,4,primary,40,False,22.131,"LINESTRING (-58.70026 -34.6660048, -58.7000208 -34.6659747)",Avenida Presidente Juan Domingo Perón,RP7,
55074101,True,,tertiary,,False,147.788,"LINESTRING (-58.70026 -34.6660048, -58.7000339 -34.6672344, -58.7000506 -34.6673188)",Ayacucho,,
230525094,False,4,primary,40,True,172.361,"LINESTRING (-58.70026 -34.6660048, -58.7003146 -34.6660127, -58.7021209 -34.66625)",Avenida Presidente Juan Domingo Perón,RP7,
232400430,True,,tertiary,,False,177.371,"LINESTRING (-58.7000208 -34.6659747, -58.6986512 -34.6671041)",Noguera,,
