osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,bridge,tunnel
586005367,Vernet,residential,40,False,True,116.449,,,"LINESTRING (-58.5802907 -34.7483422, -58.5812257 -34.7476305)",,
707967268,Avenida Presidente Néstor Carlos Kirchner,primary,,False,False,83.201,4,RP21,"LINESTRING (-58.5802907 -34.7483422, -58.5795228 -34.74794)",,
707967268,Avenida Presidente Néstor Carlos Kirchner,primary,,False,True,83.13499999999999,4,RP21,"LINESTRING (-58.5802907 -34.7483422, -58.5809436 -34.7486792, -58.5810585 -34.7487433)",,
582444263,Avenida Presidente Néstor Carlos Kirchner,primary,,False,True,20.136,4,RP21,"LINESTRING (-58.5876236 -34.7521424, -58.5878221 -34.7522211)",,
582444263,Avenida Presidente Néstor Carlos Kirchner,primary,,False,False,109.46600000000001,4,RP21,"LINESTRING (-58.5876236 -34.7521424, -58.5871029 -34.7519083, -58.587088 -34.7519008, -58.5865846 -34.7516525)",,
83603221,Estanislao del Campo,residential,40,False,False,58.451,,,"LINESTRING (-58.5802008 -34.749345, -58.5797329 -34.7497035)",,
83603221,Estanislao del Campo,residential,40,False,True,53.327,,,"LINESTRING (-58.5802008 -34.749345, -58.5806241 -34.7490148)",,
1174166177,Comodoro Py,residential,40,False,True,60.792,,,"LINESTRING (-58.5802008 -34.749345, -58.5807756 -34.7496204)",,
83602625,Comodoro Py,secondary,60,True,False,108.786,,,"LINESTRING (-58.5827719 -34.7506985, -58.5822357 -34.7504183, -58.5819756 -34.7502748, -58.5818029 -34.7501808, -58.5817739 -34.750165)",,
582444254,Avenida Luro,residential,40,False,True,147.7,,,"LINESTRING (-58.5826322 -34.7521596, -58.5814716 -34.7530843)",,
1178491732,Coronel Garzón,residential,40,True,False,108.384,,,"LINESTRING (-58.5826322 -34.7521596, -58.5834546 -34.7528621)",,
582444254,Avenida Luro,residential,40,False,False,145.954,,,"LINESTRING (-58.5826322 -34.7521596, -58.5835392 -34.7514736, -58.5836749 -34.7513654, -58.5838041 -34.7512676)",,
83602631,Piedra Buena,residential,40,False,False,99.987,,,"LINESTRING (-58.5837125 -34.7530825, -58.5836634 -34.7539808)",,
1178491730,Piedra Buena,residential,40,False,True,54.284,,,"LINESTRING (-58.5837125 -34.7530825, -58.5837391 -34.7525948)",,
651789541,Coronel Garzón,residential,40,True,False,70.72800000000001,,,"LINESTRING (-58.5837125 -34.7530825, -58.5841688 -34.7534722, -58.5842492 -34.7535409)",,
582444263,Avenida Presidente Néstor Carlos Kirchner,primary,,False,False,20.136,4,RP21,"LINESTRING (-58.5878221 -34.7522211, -58.5876236 -34.7521424)",,
83602634,Beethoven,residential,40,False,False,106.17099999999999,,,"LINESTRING (-58.5878221 -34.7522211, -58.5877258 -34.7523927, -58.5877045 -34.7524232, -58.5873952 -34.7528107, -58.5872151 -34.7530333)",,
656870242,Avenida Presidente Néstor Carlos Kirchner,primary,,False,True,143.573,4,RP21,"LINESTRING (-58.5878221 -34.7522211, -58.5880999 -34.7523227, -58.5884198 -34.7524283, -58.5892903 -34.7526796)",,
651789542,Spiro,residential,40,True,False,104.809,,,"LINESTRING (-58.5861915 -34.7532798, -58.5853943 -34.752602)",,
1178488717,Beethoven,residential,40,True,False,148.013,,,"LINESTRING (-58.5861915 -34.7532798, -58.585028 -34.7542061)",,
83602627,Avenida Luro,residential,40,False,True,129.101,,,"LINESTRING (-58.5795958 -34.7545847, -58.5796066 -34.7534237)",,
"[1214666924, 654382845]","['Avenida Luro', 'Marcos Paz']",residential,40,False,False,144.138,,,"LINESTRING (-58.5795958 -34.7545847, -58.5803252 -34.7546002, -58.5809904 -34.7546094, -58.5811206 -34.7547148)",,
582444260,Spiro,residential,40,True,False,102.569,,,"LINESTRING (-58.5869589 -34.7539531, -58.5861915 -34.7532798)",,
678738651,Martín García Merou,residential,40,True,False,26.028,,,"LINESTRING (-58.5869589 -34.7539531, -58.5871726 -34.7537983)",,
1195439683,Martín García Merou,residential,40,True,False,76.193,,,"LINESTRING (-58.5858154 -34.7548787, -58.5864089 -34.7543973)",,
