osmid,oneway,name,highway,width,reversed,length,lanes,geometry,junction,maxspeed,ref
41966137,True,Mariano Moreno,secondary,10,False,66.326,,"LINESTRING (-55.2278025 -27.0437729, -55.2271328 -27.0437705)",,,
696156137,False,Avenida Sarmiento,secondary,,True,120.744,2,"LINESTRING (-55.2278025 -27.0437729, -55.2285806 -27.0444875, -55.2286408 -27.0445603)",,,
41966137,True,Mariano Moreno,secondary,10,False,72.174,,"LINESTRING (-55.2271328 -27.0437705, -55.2265983 -27.0437636, -55.2264041 -27.0437628)",,,
182394720,True,Avenida Nahuel Huapi,secondary,5,False,93.708,,"LINESTRING (-55.2271328 -27.0437705, -55.2271702 -27.0438264, -55.2271597 -27.044604)",,,
41966148,False,Avenida Bolívar,secondary,,False,126.391,,"LINESTRING (-55.2264041 -27.0437628, -55.2255106 -27.0445744)",,,
44022493,True,Argentina,secondary,10,False,68.641,1,"LINESTRING (-55.2264041 -27.0437628, -55.2264032 -27.0431455)",,,
41966145,False,Avenida Iguazú,secondary,,False,92.582,2,"LINESTRING (-55.2264032 -27.0431455, -55.2254684 -27.0431398)",,,
44022493,True,Argentina,secondary,10,False,70.705,1,"LINESTRING (-55.2264032 -27.0431455, -55.2263928 -27.0425097)",,,
44022494,True,Los Pioneros,secondary,,False,68.737,,"LINESTRING (-55.2263928 -27.0425097, -55.2270868 -27.0425027)",,,
696154446,False,Avenida Washington,secondary,20,True,124.188,,"LINESTRING (-55.2263928 -27.0425097, -55.2256254 -27.0418067, -55.2255205 -27.0417074)",,,
44022494,True,Los Pioneros,secondary,,False,61.227,,"LINESTRING (-55.2271775 -27.0425032, -55.2277957 -27.0424991)",,,
44022492,True,Belgrano,secondary,10,False,68.066,,"LINESTRING (-55.2277957 -27.0424991, -55.227803 -27.0431112)",,,
696155172,False,Avenida San Martín,secondary,,True,126.699,,"LINESTRING (-55.2277957 -27.0424991, -55.2287022 -27.0416951)",,,
130805331,False,Avenida San Martín,secondary,,False,139.905,,"LINESTRING (-55.2297747 -27.0407706, -55.2287581 -27.0416442)",,,
41966157,False,Estados Unidos,residential,,False,106.214,,"LINESTRING (-55.2297747 -27.0407706, -55.2296268 -27.0407596, -55.2287028 -27.0407652)",,,
130805331,False,Avenida San Martín,secondary,,True,128.951,,"LINESTRING (-55.2297747 -27.0407706, -55.2305994 -27.040035, -55.2307082 -27.039964)",,,
41966140,False,Avenida Washington,secondary,,True,132.736,4,"LINESTRING (-55.224537 -27.0407872, -55.2235952 -27.0399379)",,,
41966140,False,Avenida Washington,secondary,,False,135.77,4,"LINESTRING (-55.224537 -27.0407872, -55.2253357 -27.0415559, -55.2253836 -27.0415996, -55.2254798 -27.0416726)",,,
41966147,False,El Salvador,residential,,False,102.59700000000001,,"LINESTRING (-55.224537 -27.0407872, -55.224501 -27.0408494, -55.2245153 -27.041702)",,,
41966157,False,Estados Unidos,residential,,True,98.10000000000001,,"LINESTRING (-55.224537 -27.0407872, -55.2246646 -27.0407646, -55.225525 -27.0407685)",,,
