osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,access
1247072178,Esnaola,residential,40,False,False,110.221,,,"LINESTRING (-58.5318965 -34.6903924, -58.5327835 -34.6897211)",
1247072178,Esnaola,residential,40,False,True,111.683,,,"LINESTRING (-58.5318965 -34.6903924, -58.5309955 -34.6910706)",
28885271,Miralla,residential,40,False,True,146.117,2,,"LINESTRING (-58.5327835 -34.6897211, -58.5338619 -34.6906909)",
1247072178,Esnaola,residential,40,False,False,106.791,,,"LINESTRING (-58.5327835 -34.6897211, -58.5336479 -34.6890752)",
1247072178,Esnaola,residential,40,False,True,110.221,,,"LINESTRING (-58.5327835 -34.6897211, -58.5318965 -34.6903924)",
28885273,Chiclana,residential,40,False,True,145.596,,,"LINESTRING (-58.5336479 -34.6890752, -58.5347201 -34.6900433)",
1247072178,Esnaola,residential,40,False,False,101.351,,,"LINESTRING (-58.5336479 -34.6890752, -58.5344667 -34.6884608)",
1247072178,Esnaola,residential,40,False,True,106.791,,,"LINESTRING (-58.5336479 -34.6890752, -58.5327835 -34.6897211)",
1247072179,Esnaola,residential,40,False,True,30.309,,,"LINESTRING (-58.5347116 -34.6882771, -58.5344667 -34.6884608)",
28885271,Miralla,residential,40,False,False,146.117,2,,"LINESTRING (-58.5338619 -34.6906909, -58.5327835 -34.6897211)",
28885320,Atahualpa,residential,40,False,False,106.499,,,"LINESTRING (-58.5338619 -34.6906909, -58.5347201 -34.6900433)",
28885273,Chiclana,residential,40,False,False,145.596,,,"LINESTRING (-58.5347201 -34.6900433, -58.5336479 -34.6890752)",
28885320,Atahualpa,residential,40,False,True,106.499,,,"LINESTRING (-58.5347201 -34.6900433, -58.5338619 -34.6906909)",
1247072178,Esnaola,residential,40,False,False,111.683,,,"LINESTRING (-58.5309955 -34.6910706, -58.5318965 -34.6903924)",
30089328,La Plata,residential,40,False,False,122.872,,,"LINESTRING (-58.5261109 -34.6902597, -58.5251296 -34.6910147)",
30089334,Avenida Intendente Esteban Crovara,secondary,,False,True,82.233,4,070-12,"LINESTRING (-58.5261109 -34.6902597, -58.5267423 -34.6906918, -58.5268022 -34.6907328)",
