osmid,oneway,lanes,ref,highway,reversed,length,geometry,maxspeed
402322293,False,2,RN-1,trunk,False,46.215,"LINESTRING (-92.0905942 14.9148215, -92.0901715 14.9147447)",
402322293,False,2,RN-1,trunk,True,45.699,"LINESTRING (-92.0905942 14.9148215, -92.0910128 14.9148942)",
778684013,False,,,residential,True,47.146,"LINESTRING (-92.0899537 14.9107601, -92.0900619 14.911171)",
778684025,False,,,residential,False,116.803,"LINESTRING (-92.0899537 14.9107601, -92.0888708 14.9108516)",
778684025,False,,,residential,True,157.208,"LINESTRING (-92.0899537 14.9107601, -92.0914112 14.9106369)",
402322293,False,2,RN-1,trunk,False,45.075,"LINESTRING (-92.0918458 14.9150377, -92.0914328 14.9149666)",
402322293,False,2,RN-1,trunk,True,45.611,"LINESTRING (-92.0918458 14.9150377, -92.0922637 14.9151097)",
778684013,False,,,residential,False,47.146,"LINESTRING (-92.0900619 14.911171, -92.0899537 14.9107601)",
778684013,False,,,residential,True,91.818,"LINESTRING (-92.0900619 14.911171, -92.0902593 14.9119744)",
778684043,False,,,residential,False,134.143,"LINESTRING (-92.0900619 14.911171, -92.0888181 14.9112746)",
778684043,False,,,residential,True,156.958,"LINESTRING (-92.0900619 14.911171, -92.0915153 14.9110296)",
402322293,False,2,RN-1,trunk,False,13.433,"LINESTRING (-92.0923868 14.9151308, -92.0922637 14.9151097)",
402322293,False,2,RN-1,trunk,True,33.855,"LINESTRING (-92.0923868 14.9151308, -92.0926975 14.9151814)",
"[778684036, 778684021]",False,,,residential,True,551.303,"LINESTRING (-92.0923868 14.9151308, -92.0924424 14.913908, -92.0924634 14.9137027, -92.092525 14.9133123, -92.0926242 14.9125195, -92.0926293 14.9119598, -92.0933841 14.9118403, -92.0934703 14.911962, -92.0943855 14.911883)",
778684025,False,,,residential,False,157.208,"LINESTRING (-92.0914112 14.9106369, -92.0899537 14.9107601)",
778684037,False,,,residential,True,45.076,"LINESTRING (-92.0914112 14.9106369, -92.0915153 14.9110296)",
"[778684040, 778684010, 778684037]",False,,,residential,"[False, True]",347.737,"LINESTRING (-92.0914112 14.9106369, -92.0913083 14.9102488, -92.0889449 14.9104212, -92.0888708 14.9108516)",
402322293,False,2,RN-1,trunk,False,10.309,"LINESTRING (-92.089402 14.9146048, -92.0893077 14.9145877)",
402322293,False,2,RN-1,trunk,True,40.836,"LINESTRING (-92.089402 14.9146048, -92.0897755 14.9146727)",
778684009,False,,,residential,True,47.949,"LINESTRING (-92.089402 14.9146048, -92.0894538 14.9141765)",
778684040,False,,,residential,False,47.375,"LINESTRING (-92.0888181 14.9112746, -92.0888708 14.9108516)",
778684043,False,,,residential,True,134.143,"LINESTRING (-92.0888181 14.9112746, -92.0900619 14.911171)",
"[778684040, 778684024]",False,,,residential,"[False, True]",257.072,"LINESTRING (-92.0888181 14.9112746, -92.088758 14.9121259, -92.0902593 14.9119744)",
778684034,False,,,residential,False,102.232,"LINESTRING (-92.0928265 14.9142705, -92.0926975 14.9151814)",
402322293,False,2,RN-1,trunk,False,43.296,"LINESTRING (-92.0901715 14.9147447, -92.0897755 14.9146727)",
402322293,False,2,RN-1,trunk,True,46.215,"LINESTRING (-92.0901715 14.9147447, -92.0905942 14.9148215)",
402322293,False,2,RN-1,trunk,False,6.353,"LINESTRING (-92.0889815 14.9145284, -92.0889234 14.9145178)",
402322293,False,2,RN-1,trunk,True,35.665,"LINESTRING (-92.0889815 14.9145284, -92.0893077 14.9145877)",
778684042,False,,,residential,False,108.124,"LINESTRING (-92.0889815 14.9145284, -92.0890842 14.9135611)",
402322293,False,2,RN-1,trunk,True,44.147,"LINESTRING (-92.0885196 14.9144445, -92.0889234 14.9145178)",
402322293,False,2,RN-1,trunk,False,45.841,"LINESTRING (-92.0914328 14.9149666, -92.0910128 14.9148942)",
402322293,False,2,RN-1,trunk,True,45.075,"LINESTRING (-92.0914328 14.9149666, -92.0918458 14.9150377)",
406463924,False,2,CA-2,primary,False,122.364,"LINESTRING (-92.0941378 14.9108089, -92.0943855 14.911883)",60
406463924,False,2,CA-2,primary,True,70.036,"LINESTRING (-92.0941378 14.9108089, -92.0940009 14.9101931)",60
778684043,False,,,residential,False,137.12199999999999,"LINESTRING (-92.0941378 14.9108089, -92.0929828 14.9109187, -92.0928675 14.9109262)",
778684012,False,,,residential,False,31.741,"LINESTRING (-92.0899837 14.9134349, -92.0899492 14.9137184)",
778684013,False,,,residential,False,91.818,"LINESTRING (-92.0902593 14.9119744, -92.0900619 14.911171)",
"[778684024, 778684037]",False,,,residential,False,253.187,"LINESTRING (-92.0902593 14.9119744, -92.091733 14.9118506, -92.0915153 14.9110296)",
"[778684024, 778684040]",False,,,residential,"[False, True]",257.072,"LINESTRING (-92.0902593 14.9119744, -92.088758 14.9121259, -92.0888181 14.9112746)",
778684014,False,,,residential,False,63.785,"LINESTRING (-92.0929689 14.9114914, -92.0928675 14.9109262)",
778684037,False,,,residential,False,45.076,"LINESTRING (-92.0915153 14.9110296, -92.0914112 14.9106369)",
778684043,False,,,residential,False,156.958,"LINESTRING (-92.0915153 14.9110296, -92.0900619 14.911171)",
"[778684024, 778684037]",False,,,residential,True,253.187,"LINESTRING (-92.0915153 14.9110296, -92.091733 14.9118506, -92.0902593 14.9119744)",
778684043,False,,,residential,True,145.769,"LINESTRING (-92.0915153 14.9110296, -92.0919632 14.9109851, -92.0928675 14.9109262)",
402322293,False,2,RN-1,trunk,False,35.665,"LINESTRING (-92.0893077 14.9145877, -92.0889815 14.9145284)",
402322293,False,2,RN-1,trunk,True,10.309,"LINESTRING (-92.0893077 14.9145877, -92.089402 14.9146048)",
402322293,False,2,RN-1,trunk,False,33.855,"LINESTRING (-92.0926975 14.9151814, -92.0923868 14.9151308)",
778684034,False,,,residential,True,102.232,"LINESTRING (-92.0926975 14.9151814, -92.0928265 14.9142705)",
