osmid,oneway,lanes,name,highway,reversed,length,geometry
407018776,True,,11 Calle,residential,False,86.16,"LINESTRING (-89.8256099 16.8071548, -89.825201 16.8072113, -89.8248086 16.8072643)"
1103685303,False,,Bulevar Santa Ana,secondary,True,14.813,"LINESTRING (-89.8280418 16.8069134, -89.8279547 16.8070173)"
407018776,True,,11 Calle,residential,False,198.464,"LINESTRING (-89.8280418 16.8069134, -89.8277667 16.8069483, -89.8270598 16.807019, -89.8261856 16.8070759)"
249814641,True,,6a Avenida,residential,False,108.778,"LINESTRING (-89.8242649 16.8079491, -89.8241795 16.8081044, -89.8240806 16.8082527, -89.8240016 16.8083703, -89.8236793 16.8087471)"
249814646,False,,11 Calle A,residential,False,71.742,"LINESTRING (-89.8242649 16.8079491, -89.8243906 16.8079597, -89.8249343 16.8078957)"
249810920,False,,5a Avenida,residential,True,72.807,"LINESTRING (-89.8249343 16.8078957, -89.8250359 16.8085432)"
249810920,False,,5a Avenida,residential,False,71.645,"LINESTRING (-89.8249343 16.8078957, -89.8248528 16.80739, -89.8248086 16.8072643)"
249814646,False,,11 Calle A,residential,True,71.742,"LINESTRING (-89.8249343 16.8078957, -89.8243906 16.8079597, -89.8242649 16.8079491)"
249814641,True,,6a Avenida,residential,False,65.692,"LINESTRING (-89.8236793 16.8087471, -89.8235516 16.8089398, -89.8234456 16.8091401, -89.8234081 16.8092734)"
249814647,False,,13 Calle,residential,False,156.694,"LINESTRING (-89.8236793 16.8087471, -89.823457 16.8087084, -89.8230949 16.8086904, -89.8227972 16.8087135, -89.8225692 16.808752, -89.8222239 16.8088238)"
249810924,False,,8a Avenida,residential,False,48.112,"LINESTRING (-89.8207581 16.8076353, -89.8206675 16.8072114)"
249810924,False,,8a Avenida,residential,True,77.344,"LINESTRING (-89.8207581 16.8076353, -89.82091 16.8083155)"
249814652,False,,11 Calle,residential,False,105.939,"LINESTRING (-89.8207581 16.8076353, -89.8197752 16.8077849)"
249810923,False,,9a Avenida,residential,False,56.954,"LINESTRING (-89.8197752 16.8077849, -89.8196737 16.807282)"
