osmid,highway,oneway,reversed,length,lanes,ref,geometry,name
406823095,tertiary,False,False,108.845,,,"LINESTRING (-91.8515341 14.4976787, -91.8525384 14.4977917)",
406823096,secondary,False,False,117.686,2,RN-13,"LINESTRING (-91.8515341 14.4976787, -91.8504616 14.4974738)",
678283467,residential,False,False,169.759,,,"LINESTRING (-91.8515341 14.4976787, -91.8523061 14.4963475)",
406823096,secondary,False,False,31.853,2,RN-13,"LINESTRING (-91.849802 14.4973478, -91.8495114 14.4972939)",
406823096,secondary,False,True,72.378,2,RN-13,"LINESTRING (-91.849802 14.4973478, -91.8504616 14.4974738)",
609545731,residential,False,False,200.912,,,"LINESTRING (-91.849802 14.4973478, -91.8485863 14.4987187)",
406823096,secondary,False,True,31.853,2,RN-13,"LINESTRING (-91.8495114 14.4972939, -91.849802 14.4973478)",
678283466,residential,False,True,236.358,,,"LINESTRING (-91.8495114 14.4972939, -91.8509935 14.4957257)",
609545721,residential,False,True,40.243,,,"LINESTRING (-91.8456278 14.4929577, -91.8460015 14.492949)",
678283462,residential,False,False,74.255,,,"LINESTRING (-91.8492331 14.4931712, -91.84943 14.4925312)",
678283462,residential,False,True,7.343,,,"LINESTRING (-91.8492331 14.4931712, -91.8492117 14.4932339)",
609545721,residential,False,False,194.79399999999998,,,"LINESTRING (-91.8492331 14.4931712, -91.8483247 14.4931022, -91.8474335 14.4929938)",
609545722,residential,False,True,83.108,,,"LINESTRING (-91.8466706 14.4923787, -91.8474424 14.4923628)",
609545722,residential,False,False,214.797,,,"LINESTRING (-91.84943 14.4925312, -91.8474424 14.4923628)",
678283462,residential,False,False,70.191,,,"LINESTRING (-91.84943 14.4925312, -91.8496258 14.4919291)",
678283462,residential,False,True,74.255,,,"LINESTRING (-91.84943 14.4925312, -91.8492331 14.4931712)",
609545722,residential,False,True,201.68599999999998,,,"LINESTRING (-91.84943 14.4925312, -91.8503794 14.4925868, -91.8509878 14.4926926, -91.8512742 14.4927917)",
678283462,residential,False,False,73.748,,,"LINESTRING (-91.8487897 14.4945523, -91.8489925 14.4939188)",
