osmid,oneway,name,highway,reversed,length,lanes,geometry,bridge,junction
124540964,True,Rəsulzadə pr.,secondary,False,30.806,,"LINESTRING (47.1785392 41.2030636, 47.1782435 41.2028985)",,
28513860,False,Mirzə Fətəli Axundzadə prospekti,tertiary,True,29.02,2,"LINESTRING (47.1820865 41.2017427, 47.1817925 41.2018812)",,
28513860,False,Mirzə Fətəli Axundzadə prospekti,tertiary,False,103.691,2,"LINESTRING (47.1820865 41.2017427, 47.1824504 41.2015976, 47.1828032 41.2014916, 47.1830781 41.2014259, 47.1832312 41.201393)",,
855430670,False,,living_street,False,91.607,,"LINESTRING (47.1820865 41.2017427, 47.1822694 41.2019406, 47.1823579 41.2020012, 47.1824652 41.2020436, 47.182543 41.20209, 47.1827871 41.2023604)",,
28513860,False,Mirzə Fətəli Axundzadə prospekti,tertiary,False,27.008,2,"LINESTRING (47.1804382 41.2025733, 47.1806172 41.2024623, 47.1806921 41.2024236)",,
124540970,True,Axundov küç.,residential,False,169.17299999999997,,"LINESTRING (47.1804382 41.2025733, 47.1802864 41.202627, 47.1801008 41.2026789, 47.1798623 41.2027272, 47.1787487 41.2029572, 47.1786457 41.2029991, 47.178584 41.2030294, 47.1785392 41.2030636)",,
243109542,True,20 Yanvar küçəsi,secondary,False,112.09100000000001,,"LINESTRING (47.1804382 41.2025733, 47.1805273 41.2026379, 47.1805675 41.2026722, 47.1805906 41.2027062, 47.1809106 41.2035016)",,
855619177,True,Mikayıl Müsfiq küç.,secondary,False,19.317,,"LINESTRING (47.177762 41.1993705, 47.1779681 41.1992922)",,
28513861,False,Mikayıl Müsfiq küç.,secondary,False,95.346,,"LINESTRING (47.177762 41.1993705, 47.1774151 41.1994009, 47.1766308 41.1994744)",,
28513861,False,Mikayıl Müsfiq küç.,secondary,False,145.571,,"LINESTRING (47.1766308 41.1994744, 47.1754378 41.1996632, 47.1749238 41.1997264)",,
28513861,False,Mikayıl Müsfiq küç.,secondary,True,95.346,,"LINESTRING (47.1766308 41.1994744, 47.1774151 41.1994009, 47.177762 41.1993705)",,
124540960,False,Məmmədşərif Həmidov küç.,residential,True,168.0,,"LINESTRING (47.1792197 41.2005963, 47.1790166 41.2006644, 47.1777742 41.2009294, 47.1774605 41.2009936, 47.1772972 41.201027)",,
124540971,True,20 Yanvar küçəsi,secondary,False,242.70299999999997,,"LINESTRING (47.1792197 41.2005963, 47.1793178 41.2007804, 47.1796592 41.2013449, 47.1800062 41.2019187, 47.1801038 41.20208, 47.1802644 41.2023456, 47.1803141 41.2024371, 47.1803462 41.2024845, 47.1803704 41.2025108, 47.1804382 41.2025733)",,
124540958,True,Heydər Əliyev pr.,secondary,False,175.861,,"LINESTRING (47.1809106 41.2035016, 47.180181 41.2036368, 47.179457 41.2037744, 47.1788706 41.2038831)",,
124540972,False,20 Yanvar küçəsi,tertiary,False,139.671,,"LINESTRING (47.1809106 41.2035016, 47.1813598 41.2045794, 47.181403 41.2047017)",,
"[855542512, 894099913, 894099914, 790288594]",False,,residential,"[False, True]",141.37399999999997,,"LINESTRING (47.1809106 41.2035016, 47.1809823 41.203486, 47.1810872 41.2034627, 47.1811161 41.2034558, 47.1811522 41.2034471, 47.1808345 41.202698, 47.1807513 41.2025117, 47.1807285 41.2024739, 47.1806921 41.2024236)",yes,
124540964,True,Rəsulzadə pr.,secondary,False,77.363,,"LINESTRING (47.1788706 41.2038831, 47.1787545 41.2035262, 47.1787201 41.2034202, 47.1786508 41.2032073)",,
297479316,False,M. E. Rəsulzadə prospekti,tertiary,True,61.91199999999999,,"LINESTRING (47.1788706 41.2038831, 47.1789789 41.2042833, 47.1790182 41.2044287)",,
360756303,False,Heydər Əliyev pr.,secondary,False,83.368,,"LINESTRING (47.1788706 41.2038831, 47.1786135 41.2039264, 47.1784446 41.2039829, 47.1783159 41.2040616, 47.1780866 41.2042918)",,
360756303,False,Heydər Əliyev pr.,secondary,True,60.941,,"LINESTRING (47.1773204 41.2050859, 47.1777831 41.2046626)",,
