osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,width,ref
46639602,2,Jose P. Rizal Street,tertiary,False,True,33.26,,"LINESTRING (121.0720656 14.6212798, 121.0719652 14.6215627)",,
46648142,4,P. Tuazon Boulevard,secondary,False,False,42.471000000000004,40,"LINESTRING (121.0736766 14.6236575, 121.0734772 14.6236354, 121.0732853 14.6236076)",,
"[796748872, 796748871]",4,P. Tuazon Boulevard,secondary,False,"[False, True]",52.711,40,"LINESTRING (121.0736766 14.6236575, 121.0739298 14.6236599, 121.0741601 14.623607)",,
46650393,4,P. Tuazon Boulevard,secondary,False,False,62.662,40,"LINESTRING (121.0715467 14.6231687, 121.0709835 14.6230252)",,
702330337,2,Jose P. Rizal Street,tertiary,False,True,64.289,40,"LINESTRING (121.0715467 14.6231687, 121.0713657 14.6237197)",8,
46639602,2,Jose P. Rizal Street,tertiary,False,False,184.171,,"LINESTRING (121.0715467 14.6231687, 121.0716331 14.6228483, 121.0719316 14.6216927, 121.0719652 14.6215627)",,
46648143,4,P. Tuazon Boulevard,secondary,False,True,107.094,40,"LINESTRING (121.0715467 14.6231687, 121.0723759 14.6233907, 121.0724176 14.6234001, 121.0725072 14.6234211)",,
4948197,2,Padre Burgos Street,tertiary,False,True,72.047,,"LINESTRING (121.0705332 14.6298695, 121.0708918 14.6293223)",,
4948197,2,Padre Burgos Street,tertiary,False,False,64.428,,"LINESTRING (121.0712055 14.6288291, 121.0711653 14.6288818, 121.0709451 14.6292314, 121.0708918 14.6293223)",,
"[46648141, 4948197]",2,Padre Burgos Street,tertiary,False,True,133.026,,"LINESTRING (121.0712055 14.6288291, 121.0713952 14.6285503, 121.0714202 14.6285121, 121.0716005 14.6282368, 121.0716148 14.6281997, 121.0716453 14.6281209, 121.0717769 14.627776)",,
46648142,4,P. Tuazon Boulevard,secondary,False,True,42.471000000000004,40,"LINESTRING (121.0732853 14.6236076, 121.0734772 14.6236354, 121.0736766 14.6236575)",,
46648143,4,P. Tuazon Boulevard,secondary,False,False,45.010000000000005,40,"LINESTRING (121.0732853 14.6236076, 121.0730739 14.6235604, 121.0728777 14.6235165)",,
"[46648148, 1171056367]",2,Padre Burgos Street,tertiary,True,False,244.59199999999998,,"LINESTRING (121.0732853 14.6236076, 121.0729604 14.6245057, 121.0725458 14.6256876)",,
46648141,2,Padre Burgos Street,tertiary,False,False,136.221,,"LINESTRING (121.0725458 14.6256876, 121.072302 14.6263465, 121.0721191 14.626841)",,
"[46648144, 46648147, 4948198]",,Escopa Street,residential,True,False,410.7399999999999,,"LINESTRING (121.0725458 14.6256876, 121.073386 14.6259348, 121.0736962 14.6260342, 121.073744 14.6259013, 121.0737882 14.625696, 121.0739242 14.6248077, 121.0739727 14.6244486, 121.0739672 14.6240736, 121.0739545 14.62396, 121.0738952 14.6238719, 121.0737311 14.6237935, 121.0736766 14.6236575)",,
4948197,2,Padre Burgos Street,tertiary,False,False,72.047,,"LINESTRING (121.0708918 14.6293223, 121.0705332 14.6298695)",,
4948197,2,Padre Burgos Street,tertiary,False,True,64.428,,"LINESTRING (121.0708918 14.6293223, 121.0709451 14.6292314, 121.0711653 14.6288818, 121.0712055 14.6288291)",,
4948199,,Malong Street,residential,True,False,159.233,,"LINESTRING (121.0708918 14.6293223, 121.0704941 14.6290854, 121.0701374 14.6288589, 121.0700274 14.6288122, 121.0695831 14.6286756)",,
4948207,2,Jose P. Rizal Street,tertiary,False,False,64.13,40,"LINESTRING (121.0695831 14.6286756, 121.0697322 14.6282597, 121.0697784 14.6281307)",8,
4948200,2,F. Calderon Street,residential,True,False,65.352,,"LINESTRING (121.0706883 14.6285209, 121.0709287 14.6286642, 121.0712055 14.6288291)",,
100583931,,Dagohoy Street,residential,False,True,66.065,,"LINESTRING (121.0706883 14.6285209, 121.0707976 14.6283303, 121.0708959 14.6281847, 121.0710156 14.6280189)",,
4948200,2,F. Calderon Street,residential,True,False,107.648,,"LINESTRING (121.0697784 14.6281307, 121.0698838 14.6281669, 121.070266 14.6282981, 121.0703807 14.6283368, 121.0706883 14.6285209)",,
4948207,2,Jose P. Rizal Street,tertiary,False,False,96.83500000000001,40,"LINESTRING (121.0697784 14.6281307, 121.0700477 14.6273607, 121.0700669 14.6273058)",8,
4948207,2,Jose P. Rizal Street,tertiary,False,True,64.13,40,"LINESTRING (121.0697784 14.6281307, 121.0697322 14.6282597, 121.0695831 14.6286756)",8,
702330337,2,Jose P. Rizal Street,tertiary,False,False,60.49,40,"LINESTRING (121.0711723 14.6242305, 121.0713657 14.6237197)",8,
702330337,2,Jose P. Rizal Street,tertiary,False,True,54.864,40,"LINESTRING (121.0711723 14.6242305, 121.0710114 14.6246987)",8,
1072774854,,Antonio Luna Street,residential,False,True,23.55,,"LINESTRING (121.0721243 14.6245507, 121.072329 14.6246257)",,
1072774855,,Antonio Luna Street,residential,True,False,108.44,,"LINESTRING (121.0721243 14.6245507, 121.0711723 14.6242305)",,
1072774854,,Antonio Luna Street,residential,False,False,17.589,,"LINESTRING (121.0724737 14.6246993, 121.072329 14.6246257)",,
"[19571953, 4948202]",,H. Unrubia Street,residential,False,"[False, True]",188.17700000000002,,"LINESTRING (121.0724737 14.6246993, 121.0724436 14.6247493, 121.07243 14.6248155, 121.0723957 14.6251056, 121.0721893 14.6259453, 121.0721578 14.6260207, 121.0720856 14.6261078, 121.0719184 14.6262552)",,
35600780,,Angeles Street,residential,True,False,141.828,,"LINESTRING (121.0724737 14.6246993, 121.0725195 14.6246556, 121.0727459 14.6242457, 121.0728424 14.624014, 121.0728777 14.6235165)",,
4948202,,H. Unrubia Street,residential,False,False,109.964,,"LINESTRING (121.0713809 14.6267512, 121.0713121 14.626831, 121.0711245 14.627135, 121.0710569 14.6272713, 121.0710011 14.6274389, 121.0709651 14.6275124, 121.0709317 14.6275548, 121.0708647 14.6275785)",,
100583933,,Cabezas Street,residential,False,False,209.24800000000002,,"LINESTRING (121.0713809 14.6267512, 121.071664 14.6270378, 121.0716908 14.6270793, 121.0716828 14.6271364, 121.0715245 14.6275828, 121.07145 14.6278145, 121.0714226 14.6278423, 121.0713609 14.6278475, 121.0709612 14.627697, 121.0708647 14.6275785)",,
4948202,,H. Unrubia Street,residential,False,True,79.95,,"LINESTRING (121.0713809 14.6267512, 121.0715674 14.6265647, 121.0719184 14.6262552)",,
4948204,2,C. Aguinaldo Street,residential,False,False,39.315,,"LINESTRING (121.0708647 14.6275785, 121.0705223 14.627455)",,
4948202,,H. Unrubia Street,residential,False,True,109.964,,"LINESTRING (121.0708647 14.6275785, 121.0709317 14.6275548, 121.0709651 14.6275124, 121.0710011 14.6274389, 121.0710569 14.6272713, 121.0711245 14.627135, 121.0713121 14.626831, 121.0713809 14.6267512)",,
100583933,,Cabezas Street,residential,False,True,209.24800000000002,,"LINESTRING (121.0708647 14.6275785, 121.0709612 14.627697, 121.0713609 14.6278475, 121.0714226 14.6278423, 121.07145 14.6278145, 121.0715245 14.6275828, 121.0716828 14.6271364, 121.0716908 14.6270793, 121.071664 14.6270378, 121.0713809 14.6267512)",,
4948204,2,C. Aguinaldo Street,residential,False,False,61.586,,"LINESTRING (121.0700669 14.6273058, 121.0695242 14.6271297)",,
4948204,2,C. Aguinaldo Street,residential,False,True,51.73,,"LINESTRING (121.0700669 14.6273058, 121.0705223 14.627455)",,
4948207,2,Jose P. Rizal Street,tertiary,False,False,158.801,40,"LINESTRING (121.0700669 14.6273058, 121.070557 14.6259587)",8,
4948207,2,Jose P. Rizal Street,tertiary,False,True,96.83500000000001,40,"LINESTRING (121.0700669 14.6273058, 121.0700477 14.6273607, 121.0697784 14.6281307)",8,
4948204,2,C. Aguinaldo Street,residential,False,True,61.586,,"LINESTRING (121.0695242 14.6271297, 121.0700669 14.6273058)",,
699825161,,A. De Legaspi,residential,False,True,149.26100000000002,,"LINESTRING (121.0695242 14.6271297, 121.0696545 14.6268176, 121.0697091 14.6266314, 121.0697567 14.6264361, 121.0698587 14.6258326)",,
