osmid,oneway,lanes,ref,name,highway,maxspeed,width,reversed,length,geometry,access,tunnel
709096593,True,2,141,Valenzuela Street,primary,50,7.4,False,6.279,"LINESTRING (121.0146382 14.5988829, 121.0146716 14.5988366)",,
4588648,True,2,141,Paco-Santa Mesa Road,primary,50,,False,142.23,"LINESTRING (121.0146382 14.5988829, 121.0144573 14.5987508, 121.0143171 14.5986485, 121.0141261 14.5985113, 121.0139935 14.5984072, 121.0139077 14.5983337, 121.0138481 14.598275, 121.0137914 14.5982077, 121.0137477 14.5981339, 121.0137067 14.598059, 121.0136885 14.598018)",,
1076442002,False,4,,Old Santa Mesa Street,primary,50,9,True,11.267,"LINESTRING (121.0133643 14.6006894, 121.0132931 14.6007637)",,
"[1018627464, 4258656]",True,2,,Valenzuela Street,primary,50,7.9,False,243.22799999999998,"LINESTRING (121.0133643 14.6006894, 121.013489 14.6005006, 121.0137713 14.6000817, 121.01386 14.5999624, 121.0139879 14.5997904, 121.0140293 14.5997324, 121.0140654 14.5996817, 121.0143216 14.5993288, 121.0144669 14.5991241, 121.0144795 14.5991064, 121.0145897 14.5989511, 121.0146382 14.5988829)",,
97795570,True,3,130,Gregorio Araneta Avenue,primary,60,,False,16.549,"LINESTRING (121.0185708 14.605657, 121.0186777 14.60555)",,
"[921169755, 4970340, 1074882021]",True,"['4', '5']",180,Magsaysay Boulevard,primary,60,,False,246.188,"LINESTRING (121.0185708 14.605657, 121.0183728 14.6054674, 121.0178153 14.6049127, 121.0173861 14.6044856, 121.0171278 14.6042286, 121.0169691 14.6040761)",,
4268387,True,4,180,Magsaysay Boulevard,primary,60,,False,11.322,"LINESTRING (121.0158908 14.6030173, 121.0158032 14.6029609)",,
704801055,False,2,,Old Santa Mesa Street,primary,50,9,False,17.225,"LINESTRING (121.0116703 14.6023953, 121.0117583 14.6022659)",,
"[729164042, 805198994]",True,"['2', '3']",141,Valenzuela Street,primary,50,7.4,False,178.791,"LINESTRING (121.0146716 14.5988366, 121.0147139 14.5987808, 121.014871 14.598564, 121.0148985 14.5985265, 121.0151223 14.5982223, 121.0151346 14.5982055, 121.0153705 14.5978657, 121.0154179 14.5977982, 121.0155881 14.5975588, 121.0156179 14.5975151)",,
329609972,True,3,141,Valenzuela Street,primary,50,7.4,False,78.441,"LINESTRING (121.0156179 14.5975151, 121.0156659 14.59748, 121.0157051 14.597459, 121.0157844 14.5974317, 121.0158767 14.5974109, 121.0159535 14.5974045, 121.0159768 14.5974037, 121.0160056 14.5974028, 121.0160535 14.5974042, 121.0162045 14.5974156, 121.0163207 14.5974082)",,
4243614,True,3,183,Victorino Mapa Street,primary,60,9.9,False,97.715,"LINESTRING (121.0176006 14.5976601, 121.0175861 14.5977218, 121.0175816 14.5977436, 121.0174695 14.5981274, 121.0173419 14.598502)",,
"[24509080, 1068885503]",False,1,,Valenzuela Street,residential,20,,False,190.98600000000002,"LINESTRING (121.0176006 14.5976601, 121.0176542 14.597675, 121.0182868 14.597864, 121.0185326 14.5979347, 121.0186896 14.5979823, 121.018893 14.5980795, 121.0189424 14.5981164, 121.0189718 14.5981553, 121.0190111 14.5982418, 121.0190515 14.5983392, 121.0190845 14.5984212)",,
4637707,False,2,,B. Tuazon Street,residential,,,True,114.271,"LINESTRING (121.0119268 14.6059598, 121.012978 14.6061059)",,
185227305,False,2,,L. Roces Street,tertiary,,,False,34.998,"LINESTRING (121.0119268 14.6059598, 121.0121382 14.606199)",,
185227306,False,2,,Piña Avenue,tertiary,,,False,390.736,"LINESTRING (121.0119268 14.6059598, 121.0121502 14.60563, 121.0122953 14.6053668, 121.0123782 14.6052165, 121.0124081 14.6051682, 121.0124898 14.6050064, 121.0126854 14.6046147, 121.0130067 14.6040077, 121.0131992 14.6036457, 121.0133413 14.6033786, 121.0136326 14.6028603)",,
713599161,True,4,180,Aurora Boulevard,primary,60,,False,22.177,"LINESTRING (121.0187134 14.605801, 121.0185708 14.605657)",,
333172901,True,3,130,Gregorio Araneta Avenue,primary,60,,False,17.676,"LINESTRING (121.0188266 14.6056858, 121.0187134 14.605801)",,
704801055,False,2,,Old Santa Mesa Street,primary,50,9,True,17.225,"LINESTRING (121.0117583 14.6022659, 121.0116703 14.6023953)",,
917450542,False,2,,Old Santa Mesa Street,primary,50,9,False,21.88,"LINESTRING (121.0117583 14.6022659, 121.011885 14.602112)",,
917450543,True,4,180,Magsaysay Boulevard,primary,60,,False,180.65,"LINESTRING (121.0117583 14.6022659, 121.0134318 14.6023955)",,
1121111715,True,2,183,Victorino Mapa Street,primary,60,,False,17.309,"LINESTRING (121.0159493 14.6028723, 121.0158908 14.6030173)",,
709096588,True,3,180,Magsaysay Boulevard,primary,60,,False,30.453000000000003,"LINESTRING (121.0159493 14.6028723, 121.0160331 14.6029329, 121.0161638 14.6030504)",,
709096587,True,3,180,Aurora Boulevard,primary,60,,False,22.016,"LINESTRING (121.0186777 14.60555, 121.0188266 14.6056858)",,
107396682,True,3,183,Victorino Mapa Street,primary,60,,False,8.712,"LINESTRING (121.0161055 14.6024327, 121.0160854 14.6025086)",,
107396684,False,2,,Road 3,residential,,,False,21.248,"LINESTRING (121.0161055 14.6024327, 121.016301 14.6024596)",,
