osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,junction,bridge
595241312,2,8,Natalio Bacalso Avenue,trunk,False,False,173.41899999999998,"LINESTRING (123.6447943 10.1075623, 123.6440326 10.1067621, 123.6439187 10.1066429, 123.6437208 10.1064157)",,
799038988,,8;83,Carcar City Rotunda,trunk,True,False,31.564999999999998,"LINESTRING (123.6404935 10.1035059, 123.6404274 10.1035342, 123.6403555 10.1035387, 123.6402862 10.103519, 123.6402278 10.1034774)",roundabout,
800308534,,8,Natalio Bacalso Avenue,trunk,False,True,70.244,"LINESTRING (123.6404935 10.1035059, 123.6406006 10.103666, 123.6408696 10.1040174)",,
655680112,2,83,Carcar - Barili Road,trunk,False,True,195.676,"LINESTRING (123.6402278 10.1034774, 123.6399745 10.103665, 123.6397398 10.1038088, 123.639603 10.1038814, 123.6394119 10.1039712, 123.639093 10.1041192, 123.6388151 10.1042392, 123.6386659 10.1043212)",,
799038987,,8;83,Carcar City Rotunda,trunk,True,False,40.868,"LINESTRING (123.6402278 10.1034774, 123.6401915 10.1034277, 123.6401717 10.1033697, 123.6401699 10.1033085, 123.6401865 10.1032495, 123.64022 10.1031978, 123.6402686 10.1031594)",roundabout,
245886805,,,,residential,False,False,77.456,"LINESTRING (123.6374712 10.1049408, 123.636918 10.1045065)",,
208985619,,,,residential,False,False,209.54000000000002,"LINESTRING (123.6374712 10.1049408, 123.637832 10.1051872, 123.6382217 10.1054761, 123.638462 10.1056494, 123.6386417 10.105689, 123.6389042 10.1057345, 123.6391406 10.1057665)",,
655680112,2,83,Carcar - Barili Road,trunk,False,False,148.36399999999998,"LINESTRING (123.6374712 10.1049408, 123.6376039 10.1049039, 123.6377579 10.1048419, 123.6381941 10.1045865, 123.6383691 10.1044808, 123.6386659 10.1043212)",,
655680112,2,83,Carcar - Barili Road,trunk,False,True,66.952,"LINESTRING (123.6374712 10.1049408, 123.6373352 10.1049528, 123.6369626 10.1049868, 123.636862 10.1049939)",,
48734562,2,8,Natalio Bacalso Avenue,trunk,False,False,197.767,"LINESTRING (123.6402686 10.1031594, 123.6402063 10.1030617, 123.6401592 10.1029843, 123.6400445 10.1027894, 123.6399211 10.1025569, 123.639802 10.1023379, 123.639777 10.1022941, 123.6395681 10.1019274, 123.6393907 10.1016054)",,
"[48734569, 799038986]",,8;83,Carcar City Rotunda,trunk,True,False,71.291,"LINESTRING (123.6402686 10.1031594, 123.6403176 10.1031357, 123.6403721 10.103127, 123.640427 10.1031326, 123.6404785 10.1031521, 123.6405231 10.1031841, 123.6405569 10.1032252, 123.6405789 10.1032734, 123.6405878 10.1033256, 123.640583 10.1033782, 123.6405647 10.1034279, 123.6405342 10.1034714, 123.6404935 10.1035059)",roundabout,
259866296,,,,residential,False,True,81.671,"LINESTRING (123.6391406 10.1057665, 123.6396441 10.1052245)",,
656525263,,,,residential,False,True,78.483,"LINESTRING (123.6391406 10.1057665, 123.6396874 10.106223)",,
208985619,,,,residential,False,True,209.54000000000002,"LINESTRING (123.6391406 10.1057665, 123.6389042 10.1057345, 123.6386417 10.105689, 123.638462 10.1056494, 123.6382217 10.1054761, 123.637832 10.1051872, 123.6374712 10.1049408)",,
259866296,,,,residential,False,False,105.15599999999999,"LINESTRING (123.6391406 10.1057665, 123.6390673 10.1058429, 123.6389861 10.1059114, 123.6384056 10.1063741)",,
