osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,width
52955804,2,Zambales Highway,primary,False,False,49.304,"LINESTRING (119.9808568 15.3263442, 119.9809184 15.3267836)",,
28259607,2,Zambales Highway,primary,False,True,123.10600000000001,"LINESTRING (119.9808568 15.3263442, 119.9808215 15.3260533, 119.9807692 15.3256214, 119.980763 15.3255494, 119.980726 15.3253172, 119.980744 15.3252471)",,
210825583,,De La Rea Street,secondary,True,False,123.668,"LINESTRING (119.9808568 15.3263442, 119.9804046 15.3265664, 119.9799795 15.3267542, 119.9798299 15.3268474)",,
52955804,2,Zambales Highway,primary,False,False,349.938,"LINESTRING (119.9810497 15.3277191, 119.9810363 15.3278031, 119.9809693 15.3279105, 119.9808379 15.328067, 119.9802048 15.3286994, 119.9798684 15.3290417, 119.979592 15.3293229, 119.9788374 15.3300047)",,
52955804,2,Zambales Highway,primary,False,True,105.009,"LINESTRING (119.9810497 15.3277191, 119.980976 15.3272715, 119.9809419 15.3270276, 119.9809184 15.3267836)",,
343941170,,,tertiary,False,False,213.95099999999996,"LINESTRING (119.9810497 15.3277191, 119.9811159 15.3277365, 119.9812361 15.3277937, 119.9813695 15.3278889, 119.9814896 15.3280372, 119.9815553 15.3283645, 119.9816076 15.3287046, 119.9816808 15.3294043)",,
210921942,,,residential,False,False,33.531,"LINESTRING (119.976574 15.327064, 119.9764037 15.3268111)",,
307156957,2,J. P. Rizal Street,secondary,True,False,80.812,"LINESTRING (119.976574 15.327064, 119.9772518 15.3267464)",306,
210923524,,P. Zamora Street,residential,False,True,36.697,"LINESTRING (119.9772518 15.3267464, 119.9771206 15.3264416)",,
307156957,2,J. P. Rizal Street,secondary,True,False,121.349,"LINESTRING (119.9772518 15.3267464, 119.9782815 15.3262939)",306,
52955804,2,Zambales Highway,primary,False,True,147.046,"LINESTRING (119.977874 15.3309455, 119.9782952 15.3305417, 119.9785884 15.3302606, 119.9788374 15.3300047)",,
53627846,2,Govic Highway,secondary,False,False,135.014,"LINESTRING (119.977874 15.3309455, 119.9781543 15.3309331, 119.9787095 15.3307883, 119.9790971 15.3306809)",,
210921823,,,residential,False,False,150.802,"LINESTRING (119.9789524 15.3248089, 119.9801882 15.3241618)",,
210921823,,,residential,False,True,134.112,"LINESTRING (119.9789524 15.3248089, 119.9778557 15.3253885)",,
