osmid,highway,oneway,reversed,length,name,geometry,bridge,lanes,ref
97215559,residential,False,False,115.034,,"LINESTRING (125.0893797 7.0107765, 125.0884628 7.0112685)",,,
31461891,residential,False,False,73.738,Labastisa Street,"LINESTRING (125.0893797 7.0107765, 125.0892081 7.010439, 125.0891517 7.0103484, 125.0890659 7.0101914)",,,
31461891,residential,False,True,117.613,Labastisa Street,"LINESTRING (125.0893797 7.0107765, 125.089628 7.0112361, 125.0898979 7.0117006)",,,
"[97215557, 31461862, 97215559]",residential,False,True,130.374,,"LINESTRING (125.0893797 7.0107765, 125.0897738 7.0105639, 125.0899099 7.0104899, 125.0904247 7.01023)",yes,,
97215559,residential,False,True,115.034,,"LINESTRING (125.0884628 7.0112685, 125.0893797 7.0107765)",,,
185951267,residential,False,True,116.595,Perez Street,"LINESTRING (125.0884628 7.0112685, 125.0889531 7.0121973)",,,
97215559,residential,False,False,112.437,,"LINESTRING (125.0884628 7.0112685, 125.0880252 7.0115132, 125.087569 7.0117536)",,,
"[158177576, 185951267, 743723574]",residential,False,"[False, True]",229.586,Perez Street,"LINESTRING (125.0884628 7.0112685, 125.0879441 7.0102998, 125.087876 7.0101682, 125.0874892 7.0094439)",yes,,
108850867,secondary,True,False,88.243,Judge Dayao Street,"LINESTRING (125.0915511 7.0125752, 125.0908022 7.0128532)",,,
749294113,secondary,False,True,28.968,,"LINESTRING (125.0915511 7.0125752, 125.0918005 7.012494)",,,
31461838,trunk,True,False,172.512,Quezon Boulevard,"LINESTRING (125.0915511 7.0125752, 125.0914626 7.0123595, 125.0912212 7.011859, 125.0909865 7.0113904, 125.0908852 7.0111721)",,3,75
158177561,secondary,False,True,112.23,Jose Abad Santos Street,"LINESTRING (125.0889531 7.0121973, 125.0880574 7.0126752)",,2,
185951267,residential,False,False,116.595,Perez Street,"LINESTRING (125.0889531 7.0121973, 125.0884628 7.0112685)",,,
158177571,secondary,True,False,118.05499999999999,Jose Abad Santos Street,"LINESTRING (125.0889531 7.0121973, 125.0892617 7.012038, 125.0898529 7.0117168, 125.0898979 7.0117006)",,2,
31458292,residential,False,False,107.234,Osmena Drive,"LINESTRING (125.0934222 7.0086225, 125.0942883 7.0081854)",,2,
31458292,residential,False,True,116.515,Osmena Drive,"LINESTRING (125.0934222 7.0086225, 125.0924931 7.0091201)",,2,
158176630,residential,False,False,114.147,Plaridel Street,"LINESTRING (125.0934222 7.0086225, 125.0929103 7.0077305)",,2,
