osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,ref,name,width,bridge
252416762,2,tertiary,30,False,False,314.407,"LINESTRING (123.3623106 13.4495587, 123.3623866 13.4495679, 123.3624366 13.4496293, 123.3639791 13.4518437)",,,,
835943598,2,primary,50,False,False,38.092,"LINESTRING (123.3649724 13.456268, 123.3651834 13.4559937)",634,Baao - Iriga Road,6.7,
895231148,2,residential,30,False,True,84.274,"LINESTRING (123.3649724 13.456268, 123.3643609 13.4557982)",,,,
"[835943606, 835943598, 835943599]",2,primary,50,False,True,138.774,"LINESTRING (123.3649724 13.456268, 123.3648981 13.4563593, 123.3648457 13.4564345, 123.3648092 13.4564951, 123.3647827 13.4565747, 123.3647467 13.4566949, 123.364723 13.4568591, 123.3646739 13.4571995, 123.3646346 13.4574487)",634,Baao - Iriga Road,6.7,yes
"[895231148, 252416765]",2,residential,30,False,False,153.847,"LINESTRING (123.3649724 13.456268, 123.3658158 13.456903, 123.3660312 13.4566273)",,,,
51538082,2,primary,50,False,True,34.945,"LINESTRING (123.3691529 13.4522647, 123.3688381 13.4523356)",634,Rizal Street,6.7,
51538082,2,primary,50,False,False,41.231,"LINESTRING (123.3691529 13.4522647, 123.3694276 13.4522195, 123.3695294 13.4522066)",634,Rizal Street,6.7,
347562847,,residential,30,False,False,72.624,"LINESTRING (123.3691529 13.4522647, 123.3690878 13.4521045, 123.3687493 13.451754)",,,,
252416769,2,residential,30,False,False,88.136,"LINESTRING (123.365607 13.4554387, 123.3649639 13.4549518)",,,,
252416769,2,residential,30,False,True,117.369,"LINESTRING (123.365607 13.4554387, 123.3664605 13.4560907)",,,,
835943598,2,primary,50,False,True,39.119,"LINESTRING (123.365607 13.4554387, 123.365388 13.4557187)",634,Baao - Iriga Road,6.7,
835943598,2,primary,50,False,False,42.885999999999996,"LINESTRING (123.365607 13.4554387, 123.3656817 13.4553427, 123.3658439 13.4551294)",634,Baao - Iriga Road,6.7,
