osmid,highway,oneway,reversed,length,ref,name,geometry,maxspeed
106375009,tertiary,False,False,72.002,,,"LINESTRING (124.9958378 5.8615855, 124.9958614 5.8622326)",
744418487,primary,False,False,49.019,935,Sarangani-Sultan Kudarat Coastal Road,"LINESTRING (124.9958378 5.8615855, 124.9953966 5.8616269)",
850363666,residential,False,True,93.931,,,"LINESTRING (124.9958378 5.8615855, 124.9957292 5.8607477)",
744418487,primary,False,True,226.64499999999998,935,Sarangani-Sultan Kudarat Coastal Road,"LINESTRING (124.9958378 5.8615855, 124.9963649 5.8615028, 124.9965258 5.8614654, 124.9966425 5.8614187, 124.9969603 5.8612413, 124.9970998 5.8611359, 124.9973774 5.8608958, 124.9976252 5.8606993)",
106374995,residential,False,False,73.435,,,"LINESTRING (124.9935901 5.8616869, 124.9936304 5.8623461)",
106374995,residential,False,True,67.695,,,"LINESTRING (124.9935901 5.8616869, 124.9935418 5.86108)",
744418487,primary,False,False,48.283,935,Sarangani-Sultan Kudarat Coastal Road,"LINESTRING (124.9935901 5.8616869, 124.9931536 5.8616862)",
744418487,primary,False,True,50.882,935,Sarangani-Sultan Kudarat Coastal Road,"LINESTRING (124.9935901 5.8616869, 124.9940501 5.8616882)",
106374995,residential,False,False,67.695,,,"LINESTRING (124.9935418 5.86108, 124.9935901 5.8616869)",
471660721,residential,False,True,52.068,,,"LINESTRING (124.9935418 5.86108, 124.9940111 5.8610437)",
"[471660721, 106374948]",residential,False,"[False, True]",106.48599999999999,,,"LINESTRING (124.9935418 5.86108, 124.9931511 5.8611362, 124.9931331 5.8611452, 124.9931268 5.8611536, 124.9931221 5.8611699, 124.9931204 5.8611863, 124.9931536 5.8616862)",
106374932,residential,False,False,205.31,,,"LINESTRING (124.9978213 5.8639829, 124.9959677 5.8640789)",
106375058,residential,False,False,57.99,,,"LINESTRING (124.9978213 5.8639829, 124.9978468 5.8645038)",
106375058,residential,False,True,90.325,,,"LINESTRING (124.9978213 5.8639829, 124.9977611 5.8631728)",
858870654,residential,False,True,47.822,,,"LINESTRING (124.9978213 5.8639829, 124.9982536 5.8639773)",
