osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,width,bridge
4584962,True,Camilo Lirio Street,unclassified,30,False,60.895,,"LINESTRING (121.415026 14.1387397, 121.4144767 14.1386125)",,
25031273,False,Jose Rizal Avenue,secondary,40,False,153.17,2,"LINESTRING (121.415026 14.1387397, 121.4153341 14.137395)",,
119882560,False,Nagcarlan-Calumpang Road,secondary,40,True,75.331,,"LINESTRING (121.415026 14.1387397, 121.4149694 14.1391833, 121.4149557 14.1394134)",,
860564158,True,J. Coronado Street,secondary,30,False,47.177,,"LINESTRING (121.4167719 14.1372785, 121.4166567 14.1376878)",,
4584962,True,Camilo Lirio Street,unclassified,30,False,8.585,,"LINESTRING (121.4144767 14.1386125, 121.4144496 14.1385399)",,
"[682350384, 682350381, 682350382]",False,,residential,,True,35.311,,"LINESTRING (121.4144767 14.1386125, 121.414362 14.1386129, 121.4142761 14.1386083, 121.4142152 14.1386728, 121.4141909 14.1386993)",,
4584967,False,,secondary,40,True,56.526,2,"LINESTRING (121.4149601 14.1337147, 121.4154843 14.1337108)",,
1006877783,False,Calauan-Nagcarlan Road,secondary,40,True,189.212,2,"LINESTRING (121.4149601 14.1337147, 121.4145328 14.1337086, 121.4138938 14.1336969, 121.4135129 14.1337067, 121.4132076 14.1337402)",6.1,
25031332,False,Jose Rizal Avenue,secondary,40,True,117.355,2,"LINESTRING (121.4155151 14.1363543, 121.4153341 14.137395)",7.8,
"[4584972, 156579054, 28460487]",True,E. A. Fernandez Street,secondary,30,False,111.787,,"LINESTRING (121.4155151 14.1363543, 121.4159478 14.1364532, 121.4161877 14.1365056, 121.4163569 14.1365429, 121.4165237 14.1365864)",,yes
221156187,False,Jose Rizal Avenue,secondary,40,True,294.731,2,"LINESTRING (121.4155151 14.1363543, 121.415471 14.1359515, 121.4154178 14.1353904, 121.4154096 14.1350561, 121.4154153 14.1346853, 121.4154485 14.1342452, 121.4154843 14.1337108)",,
25031273,False,Jose Rizal Avenue,secondary,40,True,153.17,2,"LINESTRING (121.4153341 14.137395, 121.415026 14.1387397)",,
25031332,False,Jose Rizal Avenue,secondary,40,False,117.355,2,"LINESTRING (121.4153341 14.137395, 121.4155151 14.1363543)",7.8,
116445106,True,J. Coronado Street,secondary,30,False,68.61,,"LINESTRING (121.4169295 14.1366807, 121.4167719 14.1372785)",,
156579032,False,J. Coronado Street,tertiary,30,True,45.254000000000005,,"LINESTRING (121.4169295 14.1366807, 121.4169406 14.1366273, 121.4169468 14.136602, 121.4169589 14.1365346, 121.4169844 14.1362777)",,
4584961,True,A. Bonifacio Street,secondary,40,False,36.492,2,"LINESTRING (121.4166567 14.1376878, 121.4163272 14.1376129)",5.3,
35573984,False,J. Coronado Street,residential,30,False,77.765,,"LINESTRING (121.4166567 14.1376878, 121.4164762 14.1383649)",,
892509254,False,A. Bonifacio Street,secondary,40,False,44.662,2,"LINESTRING (121.4166567 14.1376878, 121.4170568 14.1377917)",5.3,
209632273,False,Maceda,residential,,True,30.185,,"LINESTRING (121.4121397 14.136823, 121.4118735 14.136739)",,
209632277,False,Monserrat,residential,,False,111.531,,"LINESTRING (121.4121397 14.136823, 121.4122322 14.135824)",,
23435524,False,Villegas,residential,,True,224.779,,"LINESTRING (121.4121397 14.136823, 121.4123218 14.1371786, 121.4122322 14.1380972, 121.4121638 14.1384757, 121.4121491 14.138555, 121.4121571 14.1385706, 121.4121719 14.1385784, 121.4123805 14.1385972)",,
23435740,False,Access Road,residential,,True,105.729,,"LINESTRING (121.4119467 14.1340764, 121.4118336 14.1350209)",,
1006877783,False,Calauan-Nagcarlan Road,secondary,40,False,142.054,2,"LINESTRING (121.4119467 14.1340764, 121.41223 14.1339479, 121.4125298 14.1338465, 121.4128728 14.1337795, 121.4132076 14.1337402)",6.1,
