osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,width,geometry
156751502,Pajarillo Avenue,residential,False,True,72.584,,,,,"LINESTRING (121.3236126 13.9591763, 121.3233378 13.9585805)"
746829432,Don V. Robles Avenue,primary,False,False,95.544,4,1,50,13.4,"LINESTRING (121.3236126 13.9591763, 121.3238131 13.9591062, 121.3240138 13.9590321, 121.324449 13.958895)"
746829432,Don V. Robles Avenue,primary,False,True,23.558,4,1,50,13.4,"LINESTRING (121.3236126 13.9591763, 121.3234955 13.9592313, 121.3234164 13.9592692)"
123530914,Recto Street,residential,False,False,61.716,2,,30,,"LINESTRING (121.3211755 13.9604135, 121.3212456 13.9606851, 121.3213383 13.960945)"
"[942753040, 942753056]",Don V. Robles Avenue,primary,False,True,153.36899999999997,4,1,50,13.4,"LINESTRING (121.3211755 13.9604135, 121.3211213 13.9604406, 121.3204627 13.9607756, 121.3199165 13.9610535)"
"[1232688330, 942753047]",Recto Street,primary,False,False,173.776,2,435,40,"['5.2', '6.7']","LINESTRING (121.3211755 13.9604135, 121.320992 13.9593998, 121.3209106 13.9588721)"
942753055,Don V. Robles Avenue,primary,False,False,118.35,4,1,50,13.4,"LINESTRING (121.3211755 13.9604135, 121.321898 13.9600391, 121.3221439 13.9599139)"
38560196,Doña Tating Street,primary,False,True,35.127,4,1,50,13.4,"LINESTRING (121.3208946 13.9638956, 121.3207429 13.9636161)"
123530915,Pasumbal Street,residential,False,False,41.05,1,,30,,"LINESTRING (121.3208946 13.9638956, 121.3212401 13.9637411)"
123530915,Pasumbal Street,residential,False,True,55.527,1,,30,,"LINESTRING (121.3208946 13.9638956, 121.3204259 13.9641017)"
38560196,Doña Tating Street,primary,False,False,69.13,4,1,50,13.4,"LINESTRING (121.3199997 13.9621495, 121.3202828 13.9627072)"
38560196,Doña Tating Street,primary,False,True,42.352,4,1,50,13.4,"LINESTRING (121.3199997 13.9621495, 121.3198176 13.9618121)"
123530903,Alabastro Street,residential,False,True,44.89,2,,30,,"LINESTRING (121.3199997 13.9621495, 121.3203801 13.9619861)"
123530903,Alabastro Street,residential,False,False,54.65,2,,30,,"LINESTRING (121.3199997 13.9621495, 121.3197396 13.9622646, 121.3195443 13.9623641)"
763937528,Recto Street,primary,False,False,24.101,2,435,40,6.7,"LINESTRING (121.3207017 13.9574519, 121.3206562 13.9572397)"
1232688327,Cattleya Street,residential,False,False,34.082,,,20,,"LINESTRING (121.3207017 13.9574519, 121.3210073 13.9573745)"
1232688329,Recto Street,primary,False,True,86.32600000000001,2,435,40,6.7,"LINESTRING (121.3207017 13.9574519, 121.3207448 13.9577208, 121.3207618 13.9578955, 121.3208085 13.9582211)"
38560196,Doña Tating Street,primary,False,False,42.352,4,1,50,13.4,"LINESTRING (121.3198176 13.9618121, 121.3199997 13.9621495)"
123529882,,residential,False,True,52.435,,,,,"LINESTRING (121.3198176 13.9618121, 121.3193777 13.9620124)"
"[942753056, 942753041]","['Don V. Robles Avenue', 'Doña Tating Street']",primary,False,"[False, True]",98.385,4,1,50,13.4,"LINESTRING (121.3198176 13.9618121, 121.3197062 13.9615888, 121.3196798 13.9615084, 121.3196662 13.9614207, 121.3196789 13.9613213, 121.3197132 13.9612318, 121.3197554 13.961178, 121.3198022 13.961134, 121.3198565 13.9610929, 121.3199165 13.9610535)"
79059047,,residential,False,False,48.922,,,,,"LINESTRING (121.3222485 13.9559041, 121.322147 13.9554753)"
79059047,,residential,False,True,107.231,,,,,"LINESTRING (121.3222485 13.9559041, 121.3225091 13.9568347)"
156751504,,residential,False,False,40.303,,,,,"LINESTRING (121.3222485 13.9559041, 121.3226177 13.9558494)"
"[156751504, 79059044]",,residential,False,"[False, True]",155.603,,,,,"LINESTRING (121.3222485 13.9559041, 121.3218615 13.955962, 121.3219475 13.9563172, 121.3221349 13.9569459)"
