osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,ref,bridge
43373452,2,Osmeña Street,tertiary,False,False,108.473,"LINESTRING (120.5439864 16.1078764, 120.5443995 16.1080452, 120.5445229 16.1081212, 120.5446798 16.108241, 120.544779 16.1084291)",,,
1107165046,,Caballero Street,secondary,False,False,85.597,"LINESTRING (120.5439864 16.1078764, 120.5438978 16.1077798, 120.5437826 16.107687, 120.5434835 16.1075169, 120.5433547 16.1074113)",40,,
1107165047,2,Caballero Street,secondary,False,True,61.19500000000001,"LINESTRING (120.5439864 16.1078764, 120.5440266 16.1080169, 120.5440374 16.1084214)",40,,
43373451,,Burgos Street,residential,False,False,112.178,"LINESTRING (120.5433547 16.1074113, 120.5431592 16.1084025)",,,
1107165046,,Caballero Street,secondary,False,True,85.59700000000001,"LINESTRING (120.5433547 16.1074113, 120.5434835 16.1075169, 120.5437826 16.107687, 120.5438978 16.1077798, 120.5439864 16.1078764)",40,,
43199815,2,Rizal Street,secondary,False,True,39.676,"LINESTRING (120.544083 16.1098941, 120.5444544 16.1098951)",40,,
43322739,,Rizal Street,tertiary,False,False,54.58,"LINESTRING (120.544083 16.1098941, 120.5435721 16.1098914)",,,
1016972941,2,Caballero Street,secondary,False,True,41.529,"LINESTRING (120.544083 16.1098941, 120.5441026 16.1102671)",40,,
1107165047,2,Caballero Street,secondary,False,False,83.371,"LINESTRING (120.544083 16.1098941, 120.5440722 16.1095823, 120.5440414 16.1091455)",40,,
43322739,,Rizal Street,tertiary,False,True,78.4,"LINESTRING (120.541268 16.1098464, 120.5420016 16.1098662)",,,
838162596,2,Legarda Street,tertiary,False,False,80.345,"LINESTRING (120.541268 16.1098464, 120.5414396 16.1091429)",,,
838162596,2,Legarda Street,tertiary,False,True,129.127,"LINESTRING (120.541268 16.1098464, 120.5410011 16.110979)",,,
43373435,,,residential,False,False,89.587,"LINESTRING (120.548531 16.113513, 120.5493696 16.1135068)",,,
43373435,,,residential,False,True,89.587,"LINESTRING (120.5493696 16.1135068, 120.548531 16.113513)",,,
43373443,,,tertiary,False,False,41.828,"LINESTRING (120.5493696 16.1135068, 120.5493308 16.1134734, 120.5493027 16.1134231, 120.5492758 16.1133535, 120.5492422 16.1131614)",,,
43373455,2,Fenoy Street,tertiary,False,False,79.471,"LINESTRING (120.542812 16.1110393, 120.5435559 16.111044)",,,
43373455,2,Fenoy Street,tertiary,False,True,17.659,"LINESTRING (120.542812 16.1110393, 120.5426467 16.1110385)",,,
43373440,2,Burgos Street,residential,False,False,227.92700000000002,"LINESTRING (120.542812 16.1110393, 120.5427503 16.1118393, 120.5425729 16.1130752)",,,
43373456,,Tavera Street,tertiary,False,False,167.612,"LINESTRING (120.5425729 16.1130752, 120.5441419 16.1130804)",,,
43373456,,Tavera Street,tertiary,False,True,125.789,"LINESTRING (120.5425729 16.1130752, 120.5413954 16.1130713)",,,
43373440,2,Burgos Street,residential,False,True,227.92700000000002,"LINESTRING (120.5425729 16.1130752, 120.5427503 16.1118393, 120.542812 16.1110393)",,,
114930741,2,Tavera Street,tertiary,False,False,105.758,"LINESTRING (120.5459886 16.1130701, 120.5469785 16.1130831)",,,
563002678,2,Sison Street,tertiary,False,False,164.87599999999998,"LINESTRING (120.5459886 16.1130701, 120.5460048 16.1132582, 120.5460088 16.1133497, 120.5460155 16.1134244, 120.5460262 16.1134708, 120.546037 16.113494, 120.546049 16.1135094, 120.5460638 16.1135197, 120.5461107 16.1135365, 120.5462489 16.1135391, 120.5463347 16.1135442, 120.5463762 16.1135519, 120.5464044 16.1135752, 120.5464259 16.1136138, 120.5464352 16.1136885, 120.5464246 16.1138522, 120.5464017 16.1142465)",,,
563002678,2,Sison Street,tertiary,False,True,224.578,"LINESTRING (120.5459886 16.1130701, 120.5459592 16.1119826, 120.5459022 16.1110524)",,,
43373455,2,Fenoy Street,tertiary,False,False,115.624,"LINESTRING (120.5459022 16.1110524, 120.5469845 16.1110438)",,,
43373455,2,Fenoy Street,tertiary,False,True,189.486,"LINESTRING (120.5459022 16.1110524, 120.5454983 16.1110451, 120.5448944 16.1110462, 120.5441286 16.1110356)",,,
563002678,2,Sison Street,tertiary,False,False,224.578,"LINESTRING (120.5459022 16.1110524, 120.5459592 16.1119826, 120.5459886 16.1130701)",,,
563002678,2,Sison Street,tertiary,False,True,126.31800000000001,"LINESTRING (120.5459022 16.1110524, 120.5458948 16.110787, 120.5458559 16.1099173)",,,
43373442,,Araneta Street,residential,False,False,117.668,"LINESTRING (120.5482113 16.1110426, 120.5482063 16.1099844)",,,
43373442,,Araneta Street,residential,False,True,223.844,"LINESTRING (120.5482113 16.1110426, 120.5481531 16.1130549)",,,
43373455,2,Fenoy Street,tertiary,False,False,104.663,"LINESTRING (120.5482113 16.1110426, 120.549191 16.1110343)",,,
43373455,2,Fenoy Street,tertiary,False,True,131.057,"LINESTRING (120.5482113 16.1110426, 120.5469845 16.1110438)",,,
43199815,2,Rizal Street,secondary,False,False,129.487,"LINESTRING (120.5482063 16.1099844, 120.5469949 16.1099448)",40,,
43199815,2,Rizal Street,secondary,False,True,107.81,"LINESTRING (120.5482063 16.1099844, 120.5492153 16.1100033)",40,,
43373442,,Araneta Street,residential,False,False,95.98,"LINESTRING (120.5482063 16.1099844, 120.5482179 16.1091213)",,,
43373442,,Araneta Street,residential,False,True,117.668,"LINESTRING (120.5482063 16.1099844, 120.5482113 16.1110426)",,,
43373442,,Araneta Street,residential,False,False,79.573,"LINESTRING (120.5482179 16.1091213, 120.5482361 16.1084059)",,,
43373442,,Araneta Street,residential,False,True,95.98,"LINESTRING (120.5482179 16.1091213, 120.5482063 16.1099844)",,,
43373457,2,Espiritu Street,residential,False,False,130.648,"LINESTRING (120.5482179 16.1091213, 120.546995 16.1091334)",,,
43373457,2,Espiritu Street,residential,False,True,106.539,"LINESTRING (120.5482179 16.1091213, 120.5492146 16.1091542)",,,
43373442,,Araneta Street,residential,False,True,79.573,"LINESTRING (120.5482361 16.1084059, 120.5482179 16.1091213)",,,
43373458,,Jenkins Street,tertiary,False,False,66.544,"LINESTRING (120.5482361 16.1084059, 120.5476132 16.1084074)",,,
43373458,,Jenkins Street,tertiary,False,True,109.919,"LINESTRING (120.5482361 16.1084059, 120.549265 16.1084116)",,,
43373443,,,tertiary,False,False,67.33,"LINESTRING (120.5492281 16.1130656, 120.5491997 16.1124607)",,,
43373443,,,tertiary,False,True,10.758,"LINESTRING (120.5492281 16.1130656, 120.5492422 16.1131614)",,,
43373444,,Tavera Street Extension,tertiary,False,True,102.53,"LINESTRING (120.5492281 16.1130656, 120.5482684 16.1130538)",,,
43373443,,,tertiary,False,True,67.33,"LINESTRING (120.5491997 16.1124607, 120.5492281 16.1130656)",,,
43373453,,Artacho Street,tertiary,False,True,158.611,"LINESTRING (120.5491997 16.1124607, 120.549191 16.1110343)",,,
1041665503,4,MacArthur Highway,trunk,False,False,119.362,"LINESTRING (120.5491997 16.1124607, 120.5482684 16.1130538)",60,2,
43373444,,Tavera Street Extension,tertiary,False,False,102.53,"LINESTRING (120.5482684 16.1130538, 120.5492281 16.1130656)",,,
114930741,2,Tavera Street,tertiary,False,True,12.318,"LINESTRING (120.5482684 16.1130538, 120.5481531 16.1130549)",,,
1041665503,4,MacArthur Highway,trunk,False,True,119.362,"LINESTRING (120.5482684 16.1130538, 120.5491997 16.1124607)",60,2,
"[168093387, 168093389, 1041665503]",4,MacArthur Highway,trunk,False,False,239.492,"LINESTRING (120.5482684 16.1130538, 120.547626 16.1134595, 120.5474831 16.1135544, 120.5464017 16.1142465)",60,2,yes
43373456,,Tavera Street,tertiary,False,True,167.612,"LINESTRING (120.5441419 16.1130804, 120.5425729 16.1130752)",,,
1016972941,2,Caballero Street,secondary,False,False,227.416,"LINESTRING (120.5441419 16.1130804, 120.5441482 16.1127971, 120.5441494 16.112743, 120.5441487 16.1118912, 120.5441473 16.1115562, 120.5441315 16.1110885, 120.5441286 16.1110356)",40,,
1016972941,2,Caballero Street,secondary,False,True,104.51299999999999,"LINESTRING (120.5441419 16.1130804, 120.5441326 16.1133136, 120.544095 16.1135416, 120.5440468 16.113704, 120.5439247 16.1139875)",40,,
43373449,2,Favila Street,residential,False,False,231.474,"LINESTRING (120.5413954 16.1130713, 120.5418091 16.1110279)",,,
43373456,,Tavera Street,tertiary,False,False,125.789,"LINESTRING (120.5413954 16.1130713, 120.5425729 16.1130752)",,,
43322739,,Rizal Street,tertiary,False,False,78.4,"LINESTRING (120.5420016 16.1098662, 120.541268 16.1098464)",,,
43373449,2,Favila Street,residential,False,False,79.84,"LINESTRING (120.5420016 16.1098662, 120.5421266 16.1091583)",,,
