osmid,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,bridge,access
692706979,A. Lasala,residential,False,False,85.798,,"LINESTRING (120.9162105 13.8549273, 120.9154402 13.8547375)",,,
28281963,P. Diokno Street,tertiary,False,False,170.711,2,"LINESTRING (120.9162105 13.8549273, 120.9164384 13.8549643, 120.9166874 13.8550022, 120.9167421 13.8550105, 120.9175977 13.8551386, 120.9177726 13.8551654)",,,
53256767,M.V. Matro,tertiary,False,False,151.38600000000002,2,"LINESTRING (120.9162105 13.8549273, 120.9162119 13.8548866, 120.9162341 13.8546099, 120.9162533 13.8544591, 120.916281 13.854257, 120.9163574 13.8539152, 120.9164349 13.8535861)",,,
685041628,M.V. Matro,residential,False,True,79.811,,"LINESTRING (120.9162105 13.8549273, 120.916097 13.8553683, 120.9160256 13.8556222)",,,
28281963,P. Diokno Street,tertiary,False,True,11.21,2,"LINESTRING (120.9191831 13.8553953, 120.9190817 13.8553736)",,,
692934974,Taal-San Luis Road,secondary,False,False,15.716999999999999,,"LINESTRING (120.9191831 13.8553953, 120.9191282 13.8554425, 120.9190759 13.8554909)",40,,
767941389,Muzon-San Luis Road,secondary,False,True,174.77200000000002,,"LINESTRING (120.9191831 13.8553953, 120.920466 13.8556122, 120.9207764 13.855673)",40,,
248694472,M.V. Matro,tertiary,False,False,38.591,2,"LINESTRING (120.9167653 13.8520093, 120.9168272 13.851756, 120.9168498 13.8516721)",,,
248694472,M.V. Matro,tertiary,False,True,53.738,2,"LINESTRING (120.9167653 13.8520093, 120.9167186 13.8522324, 120.9166662 13.8524829)",,,
692934973,,residential,False,False,208.392,,"LINESTRING (120.9167653 13.8520093, 120.9168839 13.8520402, 120.9169389 13.8520727, 120.9170475 13.8521561, 120.9179648 13.8523931, 120.9185991 13.8525532)",,,
53256767,M.V. Matro,tertiary,False,True,10.796,2,"LINESTRING (120.9164587 13.8534918, 120.9164349 13.8535861)",,,
"[231404440, 248694472, 53256767]",M.V. Matro,tertiary,False,False,114.401,2,"LINESTRING (120.9164587 13.8534918, 120.9165969 13.8528302, 120.9166189 13.8527137, 120.9166662 13.8524829)",,yes,
685041627,,residential,False,False,264.93899999999996,,"LINESTRING (120.9164587 13.8534918, 120.9171575 13.8536372, 120.9180835 13.853815, 120.9181774 13.853843, 120.918276 13.8538729, 120.9188412 13.85405)",,,
231404444,,residential,False,False,282.706,1,"LINESTRING (120.9166662 13.8524829, 120.9192127 13.8530754)",,,
248694472,M.V. Matro,tertiary,False,False,53.738,2,"LINESTRING (120.9166662 13.8524829, 120.9167186 13.8522324, 120.9167653 13.8520093)",,,
"[248694472, 231404440, 53256767]",M.V. Matro,tertiary,False,True,114.401,2,"LINESTRING (120.9166662 13.8524829, 120.9166189 13.8527137, 120.9165969 13.8528302, 120.9164587 13.8534918)",,yes,
