osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,maxspeed,bridge,access
184845871,False,2,Mariveles-Bagac Road,primary,True,76.329,"LINESTRING (120.4830002 14.4337335, 120.4823287 14.4339533)",,,,
180802119,False,,Bantayan Street,tertiary,True,110.929,"LINESTRING (120.4830002 14.4337335, 120.4832035 14.4340647, 120.4834046 14.4342387, 120.4836326 14.4343296, 120.4837437 14.434362)",,,,
184845871,False,2,Mariveles-Bagac Road,primary,False,59.686,"LINESTRING (120.4830002 14.4337335, 120.4832279 14.4335426, 120.4832949 14.4334399, 120.4833113 14.4333173)",,,,
184845871,False,2,Mariveles-Bagac Road,primary,False,76.329,"LINESTRING (120.4823287 14.4339533, 120.4830002 14.4337335)",,,,
184845871,False,2,Mariveles-Bagac Road,primary,True,80.569,"LINESTRING (120.4823287 14.4339533, 120.4816008 14.4341209)",,,,
184845896,False,,,residential,True,29.291,"LINESTRING (120.4823287 14.4339533, 120.4823087 14.434089, 120.4822582 14.4342055)",,,,
184758112,True,,Lakandula Street,secondary,False,31.741,"LINESTRING (120.486214 14.434154, 120.4864367 14.434341)",,,,
184765776,False,2,General Ricarte Street,primary,True,41.48,"LINESTRING (120.486214 14.434154, 120.4859229 14.4339097)",301,40,,
882691346,False,,,residential,True,46.205,"LINESTRING (120.486214 14.434154, 120.4859206 14.4344572)",,,,
31740593,False,2,P. Roman Boulevard,primary,False,93.885,"LINESTRING (120.486214 14.434154, 120.4863954 14.4339296, 120.4865215 14.4338023, 120.4866341 14.4336672, 120.4867655 14.433501)",301,50,,
184845871,False,2,Mariveles-Bagac Road,primary,True,74.265,"LINESTRING (120.4841285 14.4322685, 120.4836754 14.432772)",,,,
180772267,False,,,residential,False,106.809,"LINESTRING (120.4841285 14.4322685, 120.4844423 14.4319584, 120.4845949 14.4318585, 120.4848392 14.4316986, 120.4848965 14.43167)",,,,
"[180772268, 184757052, 184757054]",False,2,General Ricarte Street,secondary,True,228.15200000000002,"LINESTRING (120.4841285 14.4322685, 120.4837183 14.4319735, 120.4835909 14.4318551, 120.4834634 14.4317367, 120.4832963 14.4315812, 120.4829729 14.4312905, 120.4828468 14.4311606, 120.4826805 14.4310151, 120.482545 14.4309104)",301,,cantilever,
184765776,False,2,General Ricarte Street,primary,False,106.663,"LINESTRING (120.4841285 14.4322685, 120.4847653 14.4328275, 120.4848599 14.4329153)",301,40,,
181047276,False,,,residential,True,7.772,"LINESTRING (120.4833113 14.4333173, 120.4832409 14.4333019)",,,,
184845871,False,2,Mariveles-Bagac Road,primary,False,72.23,"LINESTRING (120.4833113 14.4333173, 120.4833762 14.4332085, 120.4834031 14.4331693, 120.4836754 14.432772)",,,,
184845871,False,2,Mariveles-Bagac Road,primary,True,59.686,"LINESTRING (120.4833113 14.4333173, 120.4832949 14.4334399, 120.4832279 14.4335426, 120.4830002 14.4337335)",,,,
184762118,False,,,residential,False,44.909,"LINESTRING (120.4829674 14.4368051, 120.4833255 14.4370121)",,,,
184762737,False,,Laya Street,tertiary,False,306.37299999999993,"LINESTRING (120.4829674 14.4368051, 120.483251 14.4364568, 120.4833671 14.4363142, 120.4833911 14.4362907, 120.4837882 14.4359012, 120.4839517 14.4357468, 120.4839974 14.4357037, 120.4842918 14.4353798, 120.4846277 14.4350206, 120.4848442 14.4347395)",,,,
184762737,False,,Laya Street,tertiary,True,93.571,"LINESTRING (120.4829674 14.4368051, 120.4829424 14.4368458, 120.482834 14.437022, 120.4828125 14.437057, 120.4826517 14.4372596, 120.4824385 14.4374672)",,,,
180802114,False,,Leoncio Morales Street,residential,False,121.524,"LINESTRING (120.4838097 14.4332984, 120.484676 14.4330309, 120.4848599 14.4329153)",,,,
665405423,False,,,unclassified,True,46.911,"LINESTRING (120.486693 14.4361349, 120.4864274 14.4364693)",,,,
665404748,False,,,unclassified,False,56.152,"LINESTRING (120.486693 14.4361349, 120.4869117 14.4358882, 120.4870974 14.4358863)",,,,
665404749,True,,Jose Sarreal Street,tertiary,False,149.66899999999998,"LINESTRING (120.486693 14.4361349, 120.4862827 14.4357946, 120.4856196 14.4352801)",,,,
665404750,True,,Lakandula Street,secondary,False,304.87300000000005,"LINESTRING (120.4864367 14.434341, 120.4867118 14.43456, 120.4870049 14.4347727, 120.4875898 14.4351106, 120.4881616 14.4356084, 120.4886623 14.4360231)",,,,
912593844,False,,Bantayan Street,tertiary,True,38.373,"LINESTRING (120.4851771 14.4348626, 120.4848442 14.4347395)",,,,
180802143,False,,P. Zamora Street,tertiary,False,85.786,"LINESTRING (120.4851771 14.4348626, 120.4854612 14.4344915, 120.485656 14.4342461)",,,,
"[180802107, 1265994483]",False,,P. Zamora Street,residential,True,118.799,"LINESTRING (120.4851771 14.4348626, 120.4848799 14.4352907, 120.4853546 14.4355972)",,,,
180802119,False,,Bantayan Street,tertiary,False,85.745,"LINESTRING (120.4844997 14.4346041, 120.4837437 14.434362)",,,,
180802119,False,,Bantayan Street,tertiary,True,40.036,"LINESTRING (120.4844997 14.4346041, 120.4848442 14.4347395)",,,,
180802139,False,,Sandatahan Street,residential,False,28.476,"LINESTRING (120.4844997 14.4346041, 120.4846541 14.4343962)",,,,
184765776,False,2,General Ricarte Street,primary,False,37.054,"LINESTRING (120.4856744 14.4336792, 120.4859229 14.4339097)",301,40,,
184765776,False,2,General Ricarte Street,primary,True,36.738,"LINESTRING (120.4856744 14.4336792, 120.4854273 14.4334514)",301,40,,
1265994482,False,,Laya Street,unclassified,True,50.469,"LINESTRING (120.4856744 14.4336792, 120.485391 14.4340407)",,,,
181047273,False,,Laya Street,residential,True,49.745999999999995,"LINESTRING (120.4856744 14.4336792, 120.4859016 14.4334127, 120.4859762 14.433341)",,,,
180802107,False,,,residential,False,150.829,"LINESTRING (120.4864274 14.4364693, 120.4853546 14.4355972)",,,,
665405423,False,,,unclassified,False,46.911,"LINESTRING (120.4864274 14.4364693, 120.486693 14.4361349)",,,,
