osmid,lanes,name,highway,oneway,reversed,length,ref,maxspeed,geometry,access,bridge
477808719,2,E. Aguinaldo Street,residential,False,True,38.985,,,"LINESTRING (122.1010602 13.9209196, 122.1010516 13.9212701)",,
1223738281,2,A. Bonifacio Street,primary,False,False,47.233,1,40,"LINESTRING (122.1010602 13.9209196, 122.1006252 13.9208731)",,
1223738291,2,A. Bonifacio Street,primary,False,True,76.561,1,40,"LINESTRING (122.1010602 13.9209196, 122.1017653 13.920995)",,
29025912,2,A. Bonifacio Street,primary,False,False,37.414,613,40,"LINESTRING (122.098543 13.9204975, 122.098881 13.9205722)",,
29025912,2,A. Bonifacio Street,primary,False,True,28.38,613,40,"LINESTRING (122.098543 13.9204975, 122.098286 13.9204435)",,
86198976,2,L. Jaena Street,residential,False,True,80.456,,,"LINESTRING (122.098543 13.9204975, 122.0987006 13.9197903)",,
834757259,2,A. Bonifacio Street,primary,False,True,36.057,613,40,"LINESTRING (122.0971075 13.919825, 122.0969277 13.9195517)",,
86198954,2,Capisonda Street,residential,False,False,151.47,,,"LINESTRING (122.0971075 13.919825, 122.0973275 13.9197113, 122.097451 13.9196531, 122.0977449 13.9196584, 122.0979847 13.9196831, 122.0984601 13.919759)",,
"[29025912, 834757259]",2,A. Bonifacio Street,primary,False,False,92.627,613,40,"LINESTRING (122.0971075 13.919825, 122.097316 13.9201356, 122.0974016 13.9202177, 122.0975037 13.9202777, 122.097734 13.9203303)",,
29025912,2,A. Bonifacio Street,primary,False,True,37.414,613,40,"LINESTRING (122.098881 13.9205722, 122.098543 13.9204975)",,
241780253,2,J. P. Rizal Street,primary,False,False,51.258,1,40,"LINESTRING (122.098881 13.9205722, 122.098759 13.9210177)",,
477810004,2,J. P. Rizal Street,residential,False,True,85.339,,,"LINESTRING (122.098881 13.9205722, 122.0990973 13.919834)",,
834757260,2,A. Bonifacio Street,primary,False,True,42.878,1,40,"LINESTRING (122.098881 13.9205722, 122.0992693 13.9206537)",,
86198978,2,A. Mabini Street,residential,False,False,53.62,,,"LINESTRING (122.0999336 13.9225662, 122.1000029 13.9220887)",,
86198986,2,E. Jacinto Street,residential,False,True,53.348,,,"LINESTRING (122.0999336 13.9225662, 122.1004188 13.9226578)",,
"[86198978, 86198989]",2,"['A. Mabini Street', 'Lakan Bugtali Boulevard']",residential,False,True,201.149,,,"LINESTRING (122.0999336 13.9225662, 122.099884 13.9228323, 122.0991569 13.9226351, 122.0983602 13.9224086)",designated,
241681281,,Paz del Castro Street,residential,False,False,5.984,,,"LINESTRING (122.1023802 13.9224118, 122.1023985 13.9224626)",,
241681281,,Paz del Castro Street,residential,False,True,35.726,,,"LINESTRING (122.1023802 13.9224118, 122.1023506 13.9220918)",,
477810102,,Lakan Bugtali Boulevard,residential,False,True,161.941,,,"LINESTRING (122.1023802 13.9224118, 122.1020409 13.9225106, 122.1017594 13.9225832, 122.1009362 13.9228072)",,
86198956,2,M.L. Quezon Street,residential,False,False,71.599,,,"LINESTRING (122.1007879 13.9193078, 122.1007122 13.9199475)",,
86198956,2,M.L. Quezon Street,residential,False,True,34.373,,,"LINESTRING (122.1007879 13.9193078, 122.1008269 13.919001)",,
86198975,,D. Arcaya Street,residential,False,True,48.891,,,"LINESTRING (122.1007879 13.9193078, 122.1003374 13.9192618)",,
241780253,2,J. P. Rizal Street,primary,False,False,27.566,1,40,"LINESTRING (122.0986155 13.9215665, 122.0985458 13.921805)",,
477808718,2,P. Tañada Street,residential,False,False,51.616,,,"LINESTRING (122.0986155 13.9215665, 122.0990783 13.9216835)",,
241780253,2,J. P. Rizal Street,primary,False,True,62.959,1,40,"LINESTRING (122.0986155 13.9215665, 122.0986352 13.9214913, 122.0987413 13.9210853, 122.098759 13.9210177)",,
86198958,2,D. Tañada Street,residential,False,False,50.307,,,"LINESTRING (122.097177 13.9206536, 122.0976329 13.9207478)",,
86198959,2,M.H. Del Pilar Street,residential,False,True,58.598,,,"LINESTRING (122.0978358 13.9223727, 122.0978893 13.9221829, 122.0979708 13.9218623)",,
86198968,,J. Tañada Street,residential,False,False,100.6,,,"LINESTRING (122.1030203 13.9211282, 122.1029887 13.9220324)",,
241780254,2,A. Bonifacio Street,primary,False,False,61.867999999999995,1,40,"LINESTRING (122.1030203 13.9211282, 122.1028919 13.9211134, 122.102686 13.921091, 122.1024513 13.9210609)",,
241780254,2,A. Bonifacio Street,primary,False,True,68.101,1,40,"LINESTRING (122.1030203 13.9211282, 122.1031278 13.9211405, 122.1036466 13.9212026)",,
29025912,2,A. Bonifacio Street,primary,False,False,60.892,613,40,"LINESTRING (122.097734 13.9203303, 122.098286 13.9204435)",,
86198991,,J. Tañada Street,residential,False,True,47.689,,,"LINESTRING (122.097734 13.9203303, 122.0976329 13.9207478)",,
"[29025912, 834757259]",2,A. Bonifacio Street,primary,False,True,92.62700000000001,613,40,"LINESTRING (122.097734 13.9203303, 122.0975037 13.9202777, 122.0974016 13.9202177, 122.097316 13.9201356, 122.0971075 13.919825)",,
86198975,,D. Arcaya Street,residential,False,False,27.062,,,"LINESTRING (122.0992859 13.9191054, 122.0995338 13.9191419)",,
477810004,2,J. P. Rizal Street,residential,False,False,83.535,,,"LINESTRING (122.0992859 13.9191054, 122.0990973 13.919834)",,
834757258,,D. Arcaya Street,residential,False,True,20.901,,,"LINESTRING (122.0992859 13.9191054, 122.0990947 13.9190756)",,
86198977,2,E. Caparros Street,residential,False,True,47.312,,,"LINESTRING (122.0984866 13.9219896, 122.0989134 13.9220867)",,
241703787,2,E. Caparros Street,residential,False,False,57.441,,,"LINESTRING (122.0984866 13.9219896, 122.0979708 13.9218623)",,
241780253,2,J. P. Rizal Street,primary,False,False,48.547,1,40,"LINESTRING (122.0984866 13.9219896, 122.0983602 13.9224086)",,
241780253,2,J. P. Rizal Street,primary,False,True,21.498,1,40,"LINESTRING (122.0984866 13.9219896, 122.0985458 13.921805)",,
86198952,,Lapu Lapu Street,residential,False,False,96.061,,,"LINESTRING (122.1035892 13.9220647, 122.1036466 13.9212026)",,
241681283,2,P. Burgos Street,residential,False,True,64.911,,,"LINESTRING (122.1035892 13.9220647, 122.1029887 13.9220324)",,
477808717,2,Capisonda Street,residential,False,True,50.291,,,"LINESTRING (122.1023195 13.9200361, 122.1018543 13.9200102)",,
86198979,1,Circumferencial Road,residential,False,True,136.75,,,"LINESTRING (122.1023195 13.9200361, 122.1022628 13.9199755, 122.1021824 13.9199021, 122.1012782 13.9193426)",,
"[835074740, 86198981]",2,M. Prinsipe Street,residential,False,False,136.279,,,"LINESTRING (122.1023195 13.9200361, 122.1025443 13.9201587, 122.102627 13.9202217, 122.1026502 13.9202755, 122.1026611 13.920347, 122.1025267 13.9207674, 122.1024513 13.9210609)",,
86198960,,Circumferential Road,residential,False,True,179.964,,,"LINESTRING (122.0971176 13.9234162, 122.0969358 13.9228923, 122.0967381 13.9222156, 122.0966381 13.9218666)",,
477808713,1,Marco Street,residential,False,True,165.70899999999997,,,"LINESTRING (122.0971176 13.9234162, 122.0972577 13.9238139, 122.0973328 13.9240547, 122.0974186 13.9243632, 122.0975024 13.9246867, 122.0975279 13.9247583, 122.0975712 13.9248373)",,
835074772,,Ipil-Ipil,unclassified,False,False,107.55,,,"LINESTRING (122.0971176 13.9234162, 122.0974305 13.9233513, 122.0980923 13.923215)",,
86198978,2,A. Mabini Street,residential,False,False,102.472,,,"LINESTRING (122.1000029 13.9220887, 122.1001115 13.9211732)",,
86198978,2,A. Mabini Street,residential,False,True,53.62,,,"LINESTRING (122.1000029 13.9220887, 122.0999336 13.9225662)",,
241681283,2,P. Burgos Street,residential,False,False,53.313,,,"LINESTRING (122.1000029 13.9220887, 122.1004887 13.9221755)",,
"[86198962, 183704900]",2,,residential,False,"[False, True]",161.828,,,"LINESTRING (122.1027866 13.9190321, 122.103181 13.9191062, 122.1031502 13.9192291, 122.1029417 13.9197255, 122.1027689 13.9200918)",,
86198962,2,,residential,False,True,54.083,,,"LINESTRING (122.1027866 13.9190321, 122.1025175 13.9189901, 122.1022938 13.9189447)",,
183704891,,,residential,False,True,68.775,,,"LINESTRING (122.1027866 13.9190321, 122.102696 13.9195141, 122.1026596 13.9196377)",yes,
86198965,,,residential,False,True,109.925,,,"LINESTRING (122.1017653 13.920995, 122.1018543 13.9200102)",,
241780254,2,A. Bonifacio Street,primary,False,True,74.401,1,40,"LINESTRING (122.1017653 13.920995, 122.1024513 13.9210609)",,
1223738291,2,A. Bonifacio Street,primary,False,False,76.561,1,40,"LINESTRING (122.1017653 13.920995, 122.1010602 13.9209196)",,
86198959,2,M.H. Del Pilar Street,residential,False,False,54.558,,,"LINESTRING (122.098737 13.9185191, 122.0986308 13.9189988)",,
86198979,1,Circumferencial Road,residential,False,False,25.023,,,"LINESTRING (122.098737 13.9185191, 122.098968 13.9184999)",,
86198979,1,Circumferencial Road,residential,False,True,174.12099999999998,,,"LINESTRING (122.098737 13.9185191, 122.0985545 13.9185459, 122.0983234 13.9186045, 122.0980972 13.9186911, 122.097874 13.9187938, 122.0976844 13.9189089, 122.0973088 13.9191928)",,
86198959,2,M.H. Del Pilar Street,residential,False,False,28.963,,,"LINESTRING (122.0985191 13.9195049, 122.0984601 13.919759)",,
86198959,2,M.H. Del Pilar Street,residential,False,True,57.553,,,"LINESTRING (122.0985191 13.9195049, 122.0986308 13.9189988)",,
86198987,2,V. Arcaya Street,residential,False,True,136.257,,,"LINESTRING (122.0985191 13.9195049, 122.0975412 13.9193005, 122.0973784 13.9192501, 122.0973088 13.9191928)",,
241681283,2,P. Burgos Street,residential,False,False,54.275,,,"LINESTRING (122.1004887 13.9221755, 122.1009844 13.9222577)",,
241681283,2,P. Burgos Street,residential,False,True,53.313,,,"LINESTRING (122.1004887 13.9221755, 122.1000029 13.9220887)",,
477808716,2,M.L. Quezon Street,residential,False,False,54.157,,,"LINESTRING (122.1004887 13.9221755, 122.1004188 13.9226578)",,
477808716,2,M.L. Quezon Street,residential,False,True,49.439,,,"LINESTRING (122.1004887 13.9221755, 122.1005486 13.9217347)",,
86198972,2,,residential,False,False,66.849,,,"LINESTRING (122.0990947 13.9190756, 122.0992317 13.9184893)",,
834757258,,D. Arcaya Street,residential,False,False,20.901,,,"LINESTRING (122.0990947 13.9190756, 122.0992859 13.9191054)",,
834757258,,D. Arcaya Street,residential,False,True,27.468,,,"LINESTRING (122.0990947 13.9190756, 122.0988438 13.9190342)",,
86198986,2,E. Jacinto Street,residential,False,False,53.348,,,"LINESTRING (122.1004188 13.9226578, 122.0999336 13.9225662)",,
86198986,2,E. Jacinto Street,residential,False,True,56.674,,,"LINESTRING (122.1004188 13.9226578, 122.1009439 13.9226605)",,
477808716,2,M.L. Quezon Street,residential,False,True,54.157,,,"LINESTRING (122.1004188 13.9226578, 122.1004887 13.9221755)",,
"[477808716, 477810102]",2,"['Lakan Bugtali Boulevard', 'M.L. Quezon Street']",residential,False,False,92.31700000000001,,,"LINESTRING (122.1004188 13.9226578, 122.1003919 13.9228893, 122.1003873 13.9229378, 122.1009362 13.9228072)",,
86198976,2,L. Jaena Street,residential,False,False,60.905,,,"LINESTRING (122.098968 13.9184999, 122.0988438 13.9190342)",,
86198979,1,Circumferencial Road,residential,False,False,28.486,,,"LINESTRING (122.098968 13.9184999, 122.0992317 13.9184893)",,
86198979,1,Circumferencial Road,residential,False,True,25.023,,,"LINESTRING (122.098968 13.9184999, 122.098737 13.9185191)",,
86198959,2,M.H. Del Pilar Street,residential,False,False,30.954,,,"LINESTRING (122.0981268 13.9211554, 122.0980697 13.9214282)",,
86198959,2,M.H. Del Pilar Street,residential,False,True,31.396,,,"LINESTRING (122.0981268 13.9211554, 122.0981862 13.920879)",,
86198969,2,Gomez Street,residential,False,True,62.584,,,"LINESTRING (122.0981268 13.9211554, 122.0975686 13.921003)",,
86198975,,D. Arcaya Street,residential,False,False,43.541,,,"LINESTRING (122.0999381 13.919206, 122.1003374 13.9192618)",,
86198975,,D. Arcaya Street,residential,False,True,44.214,,,"LINESTRING (122.0999381 13.919206, 122.0995338 13.9191419)",,
477808714,2,T. Tañada Street,residential,False,False,68.251,,,"LINESTRING (122.0999381 13.919206, 122.1000366 13.9185997)",,
477808714,2,T. Tañada Street,residential,False,True,77.267,,,"LINESTRING (122.0999381 13.919206, 122.099846 13.9198951)",,
86198962,2,,residential,False,False,46.401,,,"LINESTRING (122.1006292 13.9183951, 122.1010032 13.9186009)",,
86198962,2,,residential,False,True,60.89,,,"LINESTRING (122.1006292 13.9183951, 122.1001166 13.9181664)",,
86198988,,,residential,False,True,45.56,,,"LINESTRING (122.1006292 13.9183951, 122.1006477 13.9181608, 122.1006551 13.9179862)",,
835074772,,Ipil-Ipil,unclassified,False,True,107.55,,,"LINESTRING (122.0980923 13.923215, 122.0974305 13.9233513, 122.0971176 13.9234162)",,
"[241780253, 835074773, 183704871]",2,"['Maharlika Highway', 'J. P. Rizal Street']",primary,False,True,94.221,1,40,"LINESTRING (122.0980923 13.923215, 122.0981972 13.922908, 122.0982784 13.9226477, 122.098336 13.9224799, 122.0983602 13.9224086)",,yes
965338642,2,Maharlika Highway,primary,False,False,188.965,1,40,"LINESTRING (122.0980923 13.923215, 122.0979828 13.923559, 122.0979335 13.9237137, 122.0979081 13.9237825, 122.0978523 13.9239638, 122.0977936 13.9241461, 122.0975712 13.9248373)",,
86198980,2,A. Luna Street,residential,False,False,48.704,,,"LINESTRING (122.0991967 13.921086, 122.0992693 13.9206537)",,
86198980,2,A. Luna Street,residential,False,True,37.602,,,"LINESTRING (122.0991967 13.921086, 122.0991449 13.9214204)",,
