osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,bridge,width
29708443,T. Alvarez Street,tertiary,False,True,34.729,,,,"LINESTRING (121.6855557 13.9709534, 121.6854001 13.9712268)",,
902151356,J. P. Rizal Street,trunk,True,False,33.302,2,1,40,"LINESTRING (121.6855557 13.9709534, 121.6858243 13.9711009)",,
902151361,T. Alvarez Street,tertiary,False,False,44.373999999999995,2,,,"LINESTRING (121.6855557 13.9709534, 121.6856646 13.9707712, 121.6857615 13.9706079)",,
763589717,C. M. Recto Street,trunk,False,True,5.935,2,1,40,"LINESTRING (121.6842657 13.9706117, 121.6842107 13.9706123)",,
763589719,J. P. Rizal Street,trunk,True,False,41.478,2,1,40,"LINESTRING (121.6842657 13.9706117, 121.6843624 13.9705961, 121.6844385 13.9705881, 121.6844791 13.9705792, 121.6846351 13.9705182)",,
820304621,Tayabas-Pagbilao Road,secondary,False,False,47.416,2,,50,"LINESTRING (121.6827249 13.9712584, 121.6831125 13.9710575)",,
902151363,General Luna Street,residential,False,False,51.513,,,,"LINESTRING (121.6827249 13.9712584, 121.6828217 13.9713444, 121.6831484 13.9714554)",,
902151363,General Luna Street,residential,False,False,1.704,,,,"LINESTRING (121.6839955 13.9717305, 121.6840096 13.9717374)",,
29783164,De Castro Street,residential,False,False,55.109,2,,,"LINESTRING (121.6839955 13.9717305, 121.6840829 13.9715968, 121.6842495 13.9713008)",,
902151363,General Luna Street,residential,False,True,96.39,,,,"LINESTRING (121.6839955 13.9717305, 121.6834372 13.9715495, 121.6831484 13.9714554)",,
29708443,T. Alvarez Street,tertiary,False,False,36.304,,,,"LINESTRING (121.6849458 13.9720499, 121.6850961 13.9717578)",,
902151351,General Luna Street,residential,False,False,33.391,,,,"LINESTRING (121.6849458 13.9720499, 121.6852367 13.9721523)",,
902151358,General Luna Street,residential,False,True,106.83,,,,"LINESTRING (121.6849458 13.9720499, 121.6840096 13.9717374)",,
902151367,T. Alvarez Street,residential,False,True,46.537,,,,"LINESTRING (121.6849458 13.9720499, 121.6848238 13.9722634, 121.6847138 13.9724013)",,
902151351,General Luna Street,residential,False,False,37.173,,,,"LINESTRING (121.6852367 13.9721523, 121.6855607 13.9722659)",,
902151351,General Luna Street,residential,False,True,33.391,,,,"LINESTRING (121.6852367 13.9721523, 121.6849458 13.9720499)",,
29708196,Zamora Street,residential,False,False,97.65,,,,"LINESTRING (121.6852367 13.9721523, 121.6853829 13.9718827, 121.6856619 13.9713771)",,
902151351,General Luna Street,residential,False,False,127.726,,,,"LINESTRING (121.6855607 13.9722659, 121.6866734 13.9726577)",,
902151351,General Luna Street,residential,False,True,37.173,,,,"LINESTRING (121.6855607 13.9722659, 121.6852367 13.9721523)",,
