osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,tunnel,width,bridge,access
"[901569484, 901569485, 4304703]","['2', '4']",Victoria Street,tertiary,40,False,False,215.54399999999998,"LINESTRING (120.9806081 14.5903951, 120.9804886 14.5903076, 120.979866 14.5898551, 120.9796732 14.5897086, 120.9795158 14.5896116, 120.9794059 14.5895632, 120.979295 14.589536, 120.9792077 14.5895314, 120.9791014 14.5895342, 120.9790227 14.5895425, 120.9789625 14.5895494, 120.978951 14.5895512, 120.9789296 14.5895546, 120.97889 14.589564)",,,,,
123904461,5,Padre Burgos Avenue,primary,60,True,False,41.105000000000004,"LINESTRING (120.9806081 14.5903951, 120.9806184 14.590233, 120.9806645 14.5900306)",150;170,,,,
158627300,4,Ayala Boulevard,secondary,60,False,False,322.677,"LINESTRING (120.9826742 14.5861382, 120.9827462 14.5861883, 120.9828146 14.5862506, 120.9829139 14.5863688, 120.9833472 14.5869845, 120.9834581 14.5871421, 120.9844151 14.5884922)",180,,,,
158627311,4,Taft Avenue,primary,60,True,False,128.984,"LINESTRING (120.9826742 14.5861382, 120.9825569 14.5863294, 120.9822568 14.5868668, 120.982101 14.5871567)",170,,,,
1088187917,4,Taft Avenue,primary,60,True,False,53.864,"LINESTRING (120.982101 14.5871567, 120.981877 14.5875899)",170,,,,
"[809323035, 721131155, 787332300]","['4', '3']",A. Villegas Street,tertiary,40,True,False,340.53400000000005,"LINESTRING (120.982101 14.5871567, 120.9820438 14.5874821, 120.9820395 14.5876023, 120.9820401 14.5876652, 120.9820469 14.5877346, 120.9820728 14.587909, 120.9821338 14.5881621, 120.9821808 14.5883775, 120.9821984 14.5884638, 120.9822145 14.5885409, 120.9822237 14.5885991, 120.9822317 14.588688, 120.9822344 14.5887807, 120.9822313 14.5889675, 120.9822113 14.5892518, 120.9821938 14.5893687, 120.9821339 14.5897307, 120.9820722 14.590058, 120.9820606 14.5901841)",,,,,
161414124,5,Padre Burgos Avenue,primary,60,True,False,150.224,"LINESTRING (120.9812261 14.589089, 120.9811896 14.5892138, 120.9810877 14.5895452, 120.9808166 14.5903805)",150;170,,,,
16268780,2,,primary,60,True,False,93.68299999999999,"LINESTRING (120.9800574 14.5951019, 120.9798684 14.5946314, 120.979788 14.5944458, 120.9797305 14.5943212)",150,,,,
1126164115,4,Ayala Boulevard,secondary,60,False,True,35.375,"LINESTRING (120.9845996 14.5887555, 120.9844151 14.5884922)",180,,,,
696675893,2,Padre Burgos Avenue,primary,60,True,False,107.51299999999999,"LINESTRING (120.9806244 14.5947221, 120.9804965 14.5947089, 120.9802611 14.5945492, 120.9802046 14.5945141, 120.9801497 14.59448, 120.9800889 14.59445, 120.9800345 14.5944276, 120.9797305 14.5943212)",170,,,,
