osmid,lanes,name,highway,oneway,reversed,length,geometry,width,ref,maxspeed,bridge,access,junction
862982726,2,Osmeña Street,tertiary,False,True,64.818,"LINESTRING (121.1916775 14.4622651, 121.1911713 14.4625806)",,,,,,
38744792,2,Osmeña Street,tertiary,False,True,109.756,"LINESTRING (121.1916775 14.4622651, 121.1919572 14.4620976, 121.1923773 14.461846, 121.1925445 14.461746)",,,,,,
51675488,2,Santa Ursula Street,tertiary,True,False,48.760000000000005,"LINESTRING (121.1916775 14.4622651, 121.19189 14.4626062, 121.1919114 14.4626406)",,,,,,
41678167,2,A. Mabini Street,residential,True,False,104.498,"LINESTRING (121.1922613 14.4649351, 121.1913523 14.4652644)",,,,,,
692922975,2,J. P. Rizal Avenue,tertiary,True,False,39.81,"LINESTRING (121.1922613 14.4649351, 121.1923884 14.4652713)",,,,,,
55801106,2,Lopez Jaena Street,tertiary,True,False,134.344,"LINESTRING (121.1946399 14.4635302, 121.1939281 14.4645225)",,,,,,
692991408,2,Liwanag Street,tertiary,False,False,39.621,"LINESTRING (121.1946399 14.4635302, 121.1949643 14.4636984)",,,,,,
692991408,2,Liwanag Street,tertiary,False,True,44.115,"LINESTRING (121.1946399 14.4635302, 121.1942741 14.4633515)",,,,,,
692991409,1,Lopez Jaena Street,residential,False,False,113.05199999999999,"LINESTRING (121.1946399 14.4635302, 121.1948988 14.4631185, 121.1949471 14.4630281, 121.1950304 14.462872, 121.1951237 14.4626312)",3,,,,,
38744792,2,Osmeña Street,tertiary,False,False,109.756,"LINESTRING (121.1925445 14.461746, 121.1923773 14.461846, 121.1919572 14.4620976, 121.1916775 14.4622651)",,,,,,
"[51675481, 164775067]",,Liwanag Street,tertiary,True,False,227.40300000000002,"LINESTRING (121.1925445 14.461746, 121.1926548 14.4619623, 121.1927722 14.4621658, 121.1929467 14.4625911, 121.1929709 14.4626194, 121.1930979 14.4626992, 121.1935427 14.4629507, 121.1939205 14.4631786)",,,,,,
41678512,,,residential,False,False,46.727000000000004,"LINESTRING (121.1905822 14.4642748, 121.1907449 14.4642677, 121.1908476 14.4642576, 121.1909411 14.4642352, 121.1910093 14.4642142)",,,,,,
"[319584690, 962789323]",2,Osmeña Street,tertiary,True,False,235.363,"LINESTRING (121.1905822 14.4642748, 121.1905596 14.4641356, 121.1904471 14.4634294, 121.1903896 14.4631494, 121.1903923 14.4630895, 121.1904271 14.4630358, 121.1904832 14.4629992, 121.1911713 14.4625806)",,,,,,
274709433,,Paterno Street,residential,False,False,35.489,"LINESTRING (121.19094 14.4660826, 121.1906199 14.4661587)",,,,,,
